"time","y1","y2"
0,1,0
0.1,1,0
0.1,1,3
0.2,1,3
0.2,1,3
0.25,1,3
0.25,1,3
0.3,1,3
0.3,1,3
0.4,1,3
0.4,1,3
0.5,1,3
0.5,0,3
0.6,0,3
0.6,0,0
0.7,0,0
0.7,0,0
0.75,0,0
0.75,0,0
0.8,0,0
0.8,0,0
0.9,0,0
0.9,0,0
1,0,0
1,1,0
1.1,1,0
1.1,1,3
1.2,1,3
1.2,1,3
1.25,1,3
1.25,1,3
1.3,1,3
1.3,1,3
1.4,1,3
1.4,1,3
1.5,1,3
1.5,0,3
1.6,0,3
1.6,0,0
1.7,0,0
1.7,0,0
1.75,0,0
1.75,0,0
1.8,0,0
1.8,0,0
1.9,0,0
1.9,0,0
2,0,0
2,1,0
2.1,1,0
2.1,1,3
2.2,1,3
2.2,1,3
2.25,1,3
2.25,1,3
2.3,1,3
2.3,1,3
2.4,1,3
2.4,1,3
2.5,1,3
2.5,0,3
2.6,0,3
2.6,0,0
2.7,0,0
2.7,0,0
2.75,0,0
2.75,0,0
2.8,0,0
2.8,0,0
2.9,0,0
2.9,0,0
3,0,0
3,1,0
3.1,1,0
3.1,1,3
3.2,1,3
3.2,1,3
3.25,1,3
3.25,1,3
3.3,1,3
3.3,1,3
3.4,1,3
3.4,1,3
3.5,1,3
3.5,0,3
3.6,0,3
3.6,0,0
3.7,0,0
3.7,0,0
3.75,0,0
3.75,0,0
3.8,0,0
3.8,0,0
3.9,0,0
3.9,0,0
4,0,0
4,1,0
4.1,1,0
4.1,1,3
4.2,1,3
4.2,1,3
4.25,1,3
4.25,1,3
4.3,1,3
4.3,1,3
4.4,1,3
4.4,1,3
4.5,1,3
4.5,0,3
4.6,0,3
4.6,0,0
4.7,0,0
4.7,0,0
4.75,0,0
4.75,0,0
4.8,0,0
4.8,0,0
4.9,0,0
4.9,0,0
5,0,0
5,0,0
5,0,0
5.1,0,0
5.1,0,0
5.2,0,0
5.2,0,0
5.25,0,0
5.25,0,0
5.3,0,0
5.3,0,0
5.4,0,0
5.4,0,0
5.5,0,0
5.5,0,0
5.6,0,0
5.6,0,0
5.7,0,0
5.7,0,0
5.75,0,0
5.75,0,0
5.8,0,0
5.8,0,0
5.9,0,0
5.9,0,0
6,0,0
6,0,0
6.1,0,0
6.1,0,0
6.2,0,0
6.2,0,0
6.25,0,0
6.25,0,0
6.3,0,0
6.3,0,0
6.4,0,0
6.4,0,0
6.5,0,0
6.5,0,0
6.6,0,0
6.6,0,0
6.7,0,0
6.7,0,0
6.75,0,0
6.75,0,0
6.8,0,0
6.8,0,0
6.9,0,0
6.9,0,0
7,0,0
7,0,0
7.1,0,0
7.1,0,0
7.2,0,0
7.2,0,0
7.25,0,0
7.25,0,0
7.3,0,0
7.3,0,0
7.4,0,0
7.4,0,0
7.5,0,0
7.5,0,0
7.6,0,0
7.6,0,0
7.7,0,0
7.7,0,0
7.75,0,0
7.75,0,0
7.8,0,0
7.8,0,0
7.9,0,0
7.9,0,0
8,0,0
8,0,0
8.1,0,0
8.1,0,0
8.2,0,0
8.2,0,0
8.25,0,0
8.25,0,0
8.3,0,0
8.3,0,0
8.4,0,0
8.4,0,0
8.5,0,0
8.5,0,0
8.6,0,0
8.6,0,0
8.7,0,0
8.7,0,0
8.75,0,0
8.75,0,0
8.8,0,0
8.8,0,0
8.9,0,0
8.9,0,0
9,0,0
9,0,0
9.1,0,0
9.1,0,0
9.2,0,0
9.2,0,0
9.25,0,0
9.25,0,0
9.3,0,0
9.3,0,0
9.4,0,0
9.4,0,0
9.5,0,0
9.5,0,0
9.6,0,0
9.6,0,0
9.7,0,0
9.7,0,0
9.75,0,0
9.75,0,0
9.8,0,0
9.8,0,0
9.9,0,0
9.9,0,0
10,0,0
10,0,0
