"Time","qinj@expseu_","q@INJ01","sacp@INJ01","x1@INJ01","volume@INJ01","pa@DVALV01","lca@PUMP01","p1@PUMP01"
0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5.000000000000000E+01,1.000000000000000E-09,0.000000000000000E+00,1.000000000000000E+01,0.000000000000000E+00,2.500000000000000E+00
1.000000000000000E-05,-1.637955303378500E-09,-9.831609265711700E-09,4.999999998689000E+01,1.000000000000000E-09,-1.637955303378500E-15,9.935456431164500E+00,1.274403612530700E-08,2.499867014992200E+00
2.000000000000000E-05,-3.276556424473500E-09,-9.831616249752500E-09,4.999999998689000E+01,1.000000000000000E-09,-3.276556424473500E-15,9.935993237446000E+00,2.955929452989700E-08,2.500050666999000E+00
3.000000000000000E-05,-4.915157676770000E-09,-9.831609265711700E-09,4.999999998689000E+01,1.000000000000000E-09,-4.915157676770000E-15,9.974683965611501E+00,5.173866356894000E-08,2.500094872054700E+00
4.000000000000000E-05,-6.553759047968500E-09,-9.831609265711700E-09,4.999999998689000E+01,1.000000000000000E-09,-6.553759047968500E-15,9.961387778691201E+00,8.057503159760899E-08,2.499988348708100E+00
5.000000000000000E-05,-8.192360525874700E-09,-9.831616249752500E-09,4.999999998689000E+01,1.000000000000000E-09,-8.192360525874700E-15,9.939797598485100E+00,1.173612869710800E-07,2.500009277761800E+00
6.000000000000000E-05,-9.830962091403501E-09,-9.831609265711700E-09,4.999999998689000E+01,1.000000000000000E-09,-9.830962091403500E-15,9.957936999458600E+00,1.633903180445100E-07,2.500109800974200E+00
6.999999999999999E-05,-1.146956372466300E-08,-9.831609265711700E-09,4.999999998689000E+01,1.000000000000000E-09,-1.146956372466300E-14,9.967322925385201E+00,2.199550131730800E-07,2.500043766034300E+00
8.000000000000001E-05,-1.310816540567000E-08,-9.831602281670901E-09,4.999999998689000E+01,1.000000000000000E-09,-1.310816540567000E-14,9.952719727341201E+00,2.883482607119700E-07,2.500032396534200E+00
9.000000000000001E-05,-1.474676711099400E-08,-9.831602281670901E-09,4.999999998689000E+01,1.000000000000000E-09,-1.474676711099400E-14,9.952472786248601E+00,3.698629490163300E-07,2.500117041452600E+00
1.000000000000000E-04,-1.638536882296300E-08,-9.831595297630099E-09,4.999999998689000E+01,1.000000000000000E-09,-1.638536882296300E-14,9.963383872233299E+00,4.657919664413600E-07,2.500157655804700E+00
1.100000000000000E-04,-1.802397051822500E-08,-9.831609265711700E-09,4.999999998689000E+01,1.000000000000000E-09,-1.802397051822500E-14,9.960976633169500E+00,5.774282013422000E-07,2.500126691466600E+00
1.200000000000000E-04,-1.966257218161500E-08,-9.831609265711700E-09,4.999999998689000E+01,1.000000000000000E-09,-1.966257218161500E-14,9.956105631136699E+00,7.060645420740500E-07,2.500206189787100E+00
1.300000000000000E-04,-2.130117379636400E-08,-9.831651169956600E-09,4.999999998688900E+01,1.000000000000000E-09,-2.130117379636400E-14,9.961286255351100E+00,8.529938769920600E-07,2.500321090063900E+00
1.400000000000000E-04,-2.293977535559800E-08,-9.831609265711700E-09,4.999999998689000E+01,1.000000000000000E-09,-2.293977535559800E-14,9.964393257741200E+00,1.019508582538700E-06,2.500345790884800E+00
