Time,Out1,Out4,Out5,Out2_1,Out2_2,Out3,
0,2.68208e-310,9.1089e-307,4.34786e-315,1.0869e-311,2.84505e-310,9.10961e-307,
0.1,0.00499584,0.00483333,0.00467083,0.000166583,0.00499584,0.105,
0.2,0.0199334,0.0186667,0.0174001,0.00133067,0.0199334,0.220003,
0.3,0.0446635,0.040501,0.0363384,0.00447979,0.0446635,0.345021,
0.4,0.078939,0.0693387,0.0597384,0.0105817,0.078939,0.480091,
0.5,0.122417,0.104187,0.0859562,0.0205745,0.122417,0.625282,
0.6,0.174664,0.144059,0.113454,0.0353575,0.174664,0.780713,
0.7,0.235158,0.18798,0.140803,0.0557823,0.235158,0.946564,
0.8,0.303293,0.234989,0.166685,0.0826439,0.303293,1.1231,
0.9,0.37839,0.284143,0.189897,0.116673,0.37839,1.31066,
1,0.459698,0.334524,0.20935,0.158529,0.459698,1.50973,
1.1,0.546404,0.385241,0.224078,0.208793,0.546404,1.72089,
1.2,0.637642,0.435438,0.233233,0.267961,0.637642,1.9449,
1.3,0.732501,0.484296,0.23609,0.336442,0.732501,2.18268,
1.4,0.830033,0.53104,0.232047,0.41455,0.830033,2.43534,
1.5,0.929263,0.574944,0.220625,0.502505,0.929263,2.70422,
1.6,1.0292,0.615335,0.20147,0.600426,1.0292,2.9909,
1.7,1.12884,0.651596,0.174348,0.708335,1.12884,3.29723,
1.8,1.2272,0.683174,0.139147,0.826152,1.2272,3.62535,
1.9,1.32329,0.709579,0.0958687,0.9537,1.32329,3.97774,
2,1.41615,0.73039,0.0446327,1.0907,1.41615,4.35725,
2.1,1.50485,0.745256,-0.0143342,1.23679,1.50485,4.76711,
2.2,1.5885,0.7539,-0.0807004,1.3915,1.5885,5.211,
2.3,1.66628,0.75612,-0.154036,1.55429,1.66628,5.69308,
2.4,1.73739,0.751787,-0.233819,1.72454,1.73739,6.21802,
2.5,1.80114,0.74085,-0.319443,1.90153,1.80114,6.79105,
2.6,1.85689,0.723332,-0.410225,2.0845,1.85689,7.41806,
2.7,1.90407,0.699329,-0.505415,2.27262,1.90407,8.10559,
2.8,1.94222,0.66901,-0.604202,2.46501,1.94222,8.86093,
2.9,1.97096,0.632615,-0.705727,2.66075,1.97096,9.69217,
3,1.98999,0.59045,-0.809093,2.85888,1.98999,10.6083,
3.1,1.99914,0.542883,-0.91337,3.05842,1.99914,11.6193,
3.2,1.99829,0.490341,-1.01761,3.25837,1.99829,12.7362,
3.3,1.98748,0.433309,-1.12086,3.45775,1.98748,13.9712,
3.4,1.9668,0.372315,-1.22217,3.65554,1.9668,15.3377,
3.5,1.93646,0.307935,-1.32059,3.85078,1.93646,16.8506,
3.6,1.89676,0.240781,-1.4152,4.04252,1.89676,18.5262,
3.7,1.8481,0.171494,-1.50511,4.22984,1.8481,20.3828,
3.8,1.79097,0.10074,-1.58949,4.41186,1.79097,22.4401,
3.9,1.72593,0.029204,-1.66752,4.58777,1.72593,24.7203,
4,1.65364,-0.0424216,-1.73849,4.7568,1.65364,27.2475,
4.1,1.57482,-0.11344,-1.8017,4.91828,1.57482,30.0484,
4.2,1.49026,-0.18316,-1.85658,5.07158,1.49026,33.1525,
4.3,1.4008,-0.250899,-1.9026,5.21617,1.4008,36.5922,
4.4,1.30733,-0.315996,-1.93932,5.3516,1.30733,40.4033,
4.5,1.2108,-0.377813,-1.96642,5.47753,1.2108,44.6252,
4.6,1.11215,-0.435743,-1.98364,5.59369,1.11215,49.3014,
4.7,1.01239,-0.48922,-1.99083,5.69992,1.01239,54.4798,
4.8,0.912501,-0.537717,-1.98793,5.79616,0.912501,60.2134,
4.9,0.813488,-0.580759,-1.97501,5.88245,0.813488,66.5604,
5,0.716338,-0.617924,-1.95219,5.95892,0.716338,73.5853,
5.1,0.622022,-0.648848,-1.91972,6.02581,0.622022,81.359,
5.2,0.531483,-0.673227,-1.87794,6.08345,0.531483,89.9601,
5.3,0.445626,-0.690825,-1.82728,6.13227,0.445626,99.4751,
5.4,0.365307,-0.70147,-1.76825,6.17276,0.365307,109.999,
5.5,0.29133,-0.705062,-1.70145,6.20554,0.29133,121.639,
5.6,0.224434,-0.701567,-1.62757,6.23127,0.224434,134.51,
5.7,0.165287,-0.691026,-1.54734,6.25069,0.165287,148.741,
5.8,0.11448,-0.673547,-1.46157,6.2646,0.11448,164.475,
5.9,0.0725216,-0.649308,-1.37114,6.27388,0.0725216,181.868,
6,0.0398297,-0.618554,-1.27694,6.27942,0.0398297,201.095,
6.1,0.0167316,-0.581594,-1.17992,6.28216,0.0167316,222.346,
6.2,0.0034579,-0.538801,-1.08106,6.28309,0.0034579,245.835,
6.3,0.000141364,-0.490604,-0.98135,6.28319,0.000141364,271.794,
6.4,0.00681508,-0.437487,-0.881789,6.28345,0.00681508,300.484,
6.5,0.0234124,-0.379982,-0.783377,6.28488,0.0234124,332.19,
6.6,0.0497674,-0.318665,-0.687098,6.28846,0.0497674,367.228,
6.7,0.0856169,-0.254151,-0.593919,6.29515,0.0856169,405.948,
6.8,0.130603,-0.187085,-0.504773,6.30589,0.130603,448.736,
6.9,0.184275,-0.118139,-0.420552,6.32156,0.184275,496.019,
7,0.246098,-0.0480019,-0.342102,6.34301,0.246098,548.268,
7.1,0.315453,0.0226237,-0.270206,6.37103,0.315453,606.006,
7.2,0.391649,0.0930316,-0.205586,6.40633,0.391649,669.808,
7.3,0.473922,0.162517,-0.148888,6.44956,0.473922,740.312,
7.4,0.561453,0.230386,-0.100681,6.50129,0.561453,818.222,
7.5,0.653365,0.295959,-0.061447,6.562,0.653365,904.317,
7.6,0.74874,0.35858,-0.0315799,6.63208,0.74874,999.456,
7.7,0.846626,0.417624,-0.0113789,6.71183,0.846626,1104.59,
7.8,0.946045,0.472499,-0.00104692,6.80146,0.946045,1220.77,
7.9,1.046,0.522657,-0.000687913,6.90106,1.046,1349.16,
8,1.1455,0.567597,-0.0103063,7.01064,1.1455,1491.05,
8.1,1.24354,0.606869,-0.0298066,7.13011,1.24354,1647.84,
8.2,1.33915,0.64008,-0.0589948,7.25927,1.33915,1821.11,
8.3,1.43138,0.666899,-0.0975796,7.39783,1.43138,2012.6,
8.4,1.51929,0.687056,-0.145176,7.5454,1.51929,2224.22,
8.5,1.60201,0.700351,-0.201309,7.70151,1.60201,2458.08,
8.6,1.67872,0.706651,-0.265419,7.8656,1.67872,2716.54,
8.7,1.74865,0.705891,-0.336864,8.03703,1.74865,3002.16,
8.8,1.81109,0.69808,-0.414932,8.21508,1.81109,3317.82,
8.9,1.86544,0.683296,-0.498843,8.39898,1.86544,3666.67,
9,1.91113,0.661686,-0.587758,8.58788,1.91113,4052.2,
9.1,1.94772,0.633466,-0.68079,8.7809,1.94772,4478.28,
9.2,1.97484,0.598917,-0.777009,8.97711,1.97484,4949.16,
9.3,1.99223,0.558386,-0.875454,9.17555,1.99223,5469.57,
9.4,1.99969,0.512276,-0.975142,9.37522,1.99969,6044.7,
9.5,1.99717,0.461048,-1.07508,9.57515,1.99717,6680.32,
9.6,1.98469,0.405214,-1.17426,9.77433,1.98469,7382.79,
9.7,1.96236,0.345333,-1.2717,9.97176,1.96236,8159.15,
9.8,1.93043,0.282001,-1.36642,10.1665,1.93043,9017.15,
9.9,1.88919,0.215853,-1.45749,10.3575,1.88919,9965.4,
10,1.83907,0.147548,-1.54398,10.544,1.83907,11013.4,
