    "time","outputs[1]","outputs[2]","outputs[3]","outputs[4]"
         0,        10,         0,         0,         0
    0.0001, 9.9990017,0.00099999973,         0,         0
    0.0002, 9.9980065,0.0019999995,         0,         0
    0.0003, 9.9970143,0.0029999994,         0,         0
    0.0004, 9.9960253,0.0039999994,         0,         0
    0.0005, 9.9950395,0.0049999993,         0,         0
    0.0006, 9.9940567,0.0059999993,         0,         0
    0.0007, 9.9930772,0.0069999993,         0,         0
    0.0008, 9.9921007,0.0079999993,         0,         0
    0.0009, 9.9911274,0.0089999993,         0,         0
     0.001, 9.9901573,0.0099999992,         0,         0
    0.0011, 9.9891902,0.010999999,         0,         0
    0.0012, 9.9882264,0.011999999,         0,         0
    0.0013, 9.9872656,0.012999999,         0,         0
    0.0014,  9.986308,0.013999998,         0,         0
    0.0015, 9.9853536,0.014999998,         0,         0
    0.0016, 9.9844022,0.015999997,         0,         0
    0.0017,  9.983454,0.016999996,         0,         0
    0.0018,  9.982509,0.017999995,         0,         0
    0.0019, 9.9815671,0.018999994,         0,         0
     0.002, 9.9806283,0.019999993,         0,         0
    0.0021, 9.9796927,0.020999991,         0,         0
    0.0022, 9.9787602,0.021999989,         0,         0
    0.0023, 9.9778308,0.022999987,         0,         0
    0.0024, 9.9769046,0.023999985,         0,         0
    0.0025, 9.9759815,0.024999982,         0,         0
    0.0026, 9.9750615,0.025999979,         0,         0
    0.0027, 9.9741446,0.026999976,         0,         0
    0.0028, 9.9732309,0.027999973,         0,         0
    0.0029, 9.9723204,0.028999969,         0,         0
     0.003, 9.9714129,0.029999964,         0,         0
    0.0031, 9.9705086,0.03099996,         0,         0
    0.0032, 9.9696074,0.031999955,         0,         0
    0.0033, 9.9687093,0.032999949,         0,         0
    0.0034, 9.9678144,0.033999944,         0,         0
    0.0035, 9.9669225,0.034999937,         0,         0
    0.0036, 9.9660338,0.035999931,         0,         0
    0.0037, 9.9651483,0.036999923,         0,         0
    0.0038, 9.9642658,0.037999916,         0,         0
    0.0039, 9.9633865,0.038999908,         0,         0
     0.004, 9.9625103,0.039999899,         0,         0
    0.0041, 9.9616372,0.04099989,         0,         0
    0.0042, 9.9607672,0.04199988,         0,         0
    0.0043, 9.9599003,0.04299987,         0,         0
    0.0044, 9.9590366,0.043999859,         0,         0
    0.0045, 9.9581759,0.044999847,         0,         0
    0.0046, 9.9573184,0.045999835,         0,         0
    0.0047,  9.956464,0.046999822,         0,         0
    0.0048, 9.9556126,0.047999809,         0,         0
    0.0049, 9.9547644,0.048999795,         0,         0
     0.005, 9.9539193,0.04999978,         0,         0
    0.0051, 9.9530773,0.050999765,         0,         0
    0.0052, 9.9522384,0.051999749,         0,         0
    0.0053, 9.9514026,0.052999732,         0,         0
    0.0054, 9.9505699,0.053999714,         0,         0
    0.0055, 9.9497403,0.054999696,         0,         0
    0.0056, 9.9489138,0.055999677,         0,         0
    0.0057, 9.9480904,0.056999657,         0,         0
    0.0058, 9.9472701,0.057999636,         0,         0
    0.0059, 9.9464529,0.058999615,         0,         0
     0.006, 9.9456387,0.059999593,         0,         0
    0.0061, 9.9448277,0.060999569,         0,         0
    0.0062, 9.9440197,0.061999545,         0,         0
    0.0063, 9.9432148,0.06299952,         0,         0
    0.0064,  9.942413,0.063999495,         0,         0
    0.0065, 9.9416143,0.064999468,         0,         0
    0.0066, 9.9408187,0.06599944,         0,         0
    0.0067, 9.9400261,0.066999412,         0,         0
    0.0068, 9.9392366,0.067999382,         0,         0
    0.0069, 9.9384502,0.068999352,         0,         0
     0.007, 9.9376668,0.06999932,         0,         0
    0.0071, 9.9368865,0.070999288,         0,         0
    0.0072, 9.9361093,0.071999254,         0,         0
    0.0073, 9.9353351,0.07299922,         0,         0
    0.0074,  9.934564,0.073999184,         0,         0
    0.0075,  9.933796,0.074999147,         0,         0
    0.0076,  9.933031,0.07599911,         0,         0
    0.0077,  9.932269,0.076999071,         0,         0
    0.0078, 9.9315102,0.077999031,         0,         0
    0.0079, 9.9307543,0.07899899,         0,         0
     0.008, 9.9300015,0.079998947,         0,         0
    0.0081, 9.9292518,0.080998904,         0,         0
    0.0082, 9.9285051,0.081998859,         0,         0
    0.0083, 9.9277614,0.082998813,         0,         0
    0.0084, 9.9270208,0.083998766,         0,         0
    0.0085, 9.9262832,0.084998718,         0,         0
    0.0086, 9.9255486,0.085998669,         0,         0
    0.0087, 9.9248171,0.086998618,         0,         0
    0.0088, 9.9240886,0.087998566,         0,         0
    0.0089, 9.9233631,0.088998513,         0,         0
     0.009, 9.9226406,0.089998458,         0,         0
    0.0091, 9.9219212,0.090998402,         0,         0
    0.0092, 9.9212048,0.091998345,         0,         0
    0.0093, 9.9204914,0.092998286,         0,         0
    0.0094, 9.9197809,0.093998226,         0,         0
    0.0095, 9.9190735,0.094998165,         0,         0
    0.0096, 9.9183692,0.095998102,         0,         0
    0.0097, 9.9176678,0.096998038,         0,         0
    0.0098, 9.9169694,0.097997972,         0,         0
    0.0099,  9.916274,0.098997905,         0,         0
      0.01, 9.9155816,0.099997837,         0,         0
    0.0101, 9.9148921,0.10099777,         0,         0
    0.0102, 9.9142057, 0.1019977,         0,         0
    0.0103, 9.9135222,0.10299762,         0,         0
    0.0104, 9.9128418,0.10399755,         0,         0
    0.0105, 9.9121643,0.10499747,         0,         0
    0.0106, 9.9114898,0.10599739,         0,         0
    0.0107, 9.9108182,0.10699731,         0,         0
    0.0108, 9.9101496,0.10799723,         0,         0
    0.0109,  9.909484,0.10899715,         0,         0
     0.011, 9.9088214,0.10999707,         0,         0
    0.0111, 9.9081617,0.11099698,         0,         0
    0.0112, 9.9075049,0.11199689,         0,         0
    0.0113, 9.9068511,0.11299681,         0,         0
    0.0114, 9.9062003,0.11399671,         0,         0
    0.0115, 9.9055524,0.11499662,         0,         0
    0.0116, 9.9049074,0.11599653,         0,         0
    0.0117, 9.9042654,0.11699643,         0,         0
    0.0118, 9.9036263,0.11799633,         0,         0
    0.0119, 9.9029901,0.11899624,         0,         0
     0.012, 9.9023569,0.11999613,         0,         0
    0.0121, 9.9017266,0.12099603,         0,         0
    0.0122, 9.9010992,0.12199593,         0,         0
    0.0123, 9.9004747,0.12299582,         0,         0
    0.0124, 9.8998531,0.12399571,         0,         0
    0.0125, 9.8992345, 0.1249956,         0,         0
    0.0126, 9.8986187,0.12599549,         0,         0
    0.0127, 9.8980059,0.12699538,         0,         0
    0.0128, 9.8973959,0.12799526,         0,         0
    0.0129, 9.8967889,0.12899514,         0,         0
     0.013, 9.8961847,0.12999502,         0,         0
    0.0131, 9.8955834, 0.1309949,         0,         0
    0.0132,  9.894985,0.13199478,         0,         0
    0.0133, 9.8943895,0.13299465,         0,         0
    0.0134, 9.8937968,0.13399452,         0,         0
    0.0135,  9.893207,0.13499439,         0,         0
    0.0136, 9.8926201,0.13599426,         0,         0
    0.0137,  9.892036,0.13699413,         0,         0
    0.0138, 9.8914548,0.13799399,         0,         0
    0.0139, 9.8908765,0.13899385,         0,         0
     0.014,  9.890301,0.13999371,         0,         0
    0.0141, 9.8897283,0.14099357,         0,         0
    0.0142, 9.8891585,0.14199343,         0,         0
    0.0143, 9.8885915,0.14299328,         0,         0
    0.0144, 9.8880274,0.14399313,         0,         0
    0.0145,  9.887466,0.14499298,         0,         0
    0.0146, 9.8869075,0.14599283,         0,         0
    0.0147, 9.8863519,0.14699267,         0,         0
    0.0148,  9.885799,0.14799252,         0,         0
    0.0149, 9.8852489,0.14899236,         0,         0
     0.015, 9.8847017, 0.1499922,         0,         0
    0.0151, 9.8841573,0.15099203,         0,         0
    0.0152, 9.8836156,0.15199187,         0,         0
    0.0153, 9.8830767, 0.1529917,         0,         0
    0.0154, 9.8825407,0.15399153,         0,         0
    0.0155, 9.8820074,0.15499135,         0,         0
    0.0156, 9.8814769,0.15599118,         0,         0
    0.0157, 9.8809491,  0.156991,         0,         0
    0.0158, 9.8804242,0.15799082,         0,         0
    0.0159,  9.879902,0.15899064,         0,         0
     0.016, 9.8793825,0.15999045,         0,         0
    0.0161, 9.8788659,0.16099026,         0,         0
    0.0162, 9.8783519,0.16199007,         0,         0
    0.0163, 9.8778407,0.16298988,         0,         0
    0.0164, 9.8773323,0.16398968,         0,         0
    0.0165, 9.8768266,0.16498949,         0,         0
    0.0166, 9.8763236,0.16598929,         0,         0
    0.0167, 9.8758234,0.16698908,         0,         0
    0.0168, 9.8753258,0.16798888,         0,         0
    0.0169,  9.874831,0.16898867,         0,         0
     0.017, 9.8743389,0.16998846,         0,         0
    0.0171, 9.8738495,0.17098825,         0,         0
    0.0172, 9.8733628,0.17198803,         0,         0
    0.0173, 9.8728788,0.17298782,         0,         0
    0.0174, 9.8723975, 0.1739876,         0,         0
    0.0175, 9.8719189,0.17498737,         0,         0
    0.0176,  9.871443,0.17598715,         0,         0
    0.0177, 9.8709697,0.17698692,         0,         0
    0.0178, 9.8704991,0.17798669,         0,         0
    0.0179, 9.8700312,0.17898645,         0,         0
     0.018, 9.8695659,0.17998622,         0,         0
    0.0181, 9.8691033,0.18098598,         0,         0
    0.0182, 9.8686434,0.18198573,         0,         0
    0.0183, 9.8681861,0.18298549,         0,         0
    0.0184, 9.8677314,0.18398524,         0,         0
    0.0185, 9.8672793,0.18498499,         0,         0
    0.0186, 9.8668299,0.18598474,         0,         0
    0.0187, 9.8663831,0.18698448,         0,         0
    0.0188,  9.865939,0.18798422,         0,         0
    0.0189, 9.8654974,0.18898396,         0,         0
     0.019, 9.8650585,0.18998369,         0,         0
    0.0191, 9.8646221,0.19098343,         0,         0
    0.0192, 9.8641884,0.19198316,         0,         0
    0.0193, 9.8637572,0.19298288,         0,         0
    0.0194, 9.8633286,0.19398261,         0,         0
    0.0195, 9.8629026,0.19498233,         0,         0
    0.0196, 9.8624792,0.19598204,         0,         0
    0.0197, 9.8620583,0.19698176,         0,         0
    0.0198,   9.86164,0.19798147,         0,         0
    0.0199, 9.8612243,0.19898118,         0,         0
      0.02, 9.8608111,0.19998088,         0,         0
    0.0201, 9.8604004,0.20098059,         0,         0
    0.0202, 9.8599923,0.20198028,         0,         0
    0.0203, 9.8595868,0.20297998,         0,         0
    0.0204, 9.8591837,0.20397967,         0,         0
    0.0205, 9.8587832,0.20497936,         0,         0
    0.0206, 9.8583852,0.20597905,         0,         0
    0.0207, 9.8579897,0.20697873,         0,         0
    0.0208, 9.8575967,0.20797842,         0,         0
    0.0209, 9.8572062,0.20897809,         0,         0
     0.021, 9.8568182,0.20997777,         0,         0
    0.0211, 9.8564326,0.21097744,         0,         0
    0.0212, 9.8560496,0.21197711,         0,         0
    0.0213,  9.855669,0.21297677,         0,         0
    0.0214, 9.8552909,0.21397643,         0,         0
    0.0215, 9.8549153,0.21497609,         0,         0
    0.0216, 9.8545421,0.21597574,         0,         0
    0.0217, 9.8541714,0.21697539,         0,         0
    0.0218, 9.8538031,0.21797504,         0,         0
    0.0219, 9.8534372,0.21897469,         0,         0
     0.022, 9.8530738,0.21997433,         0,         0
    0.0221, 9.8527128,0.22097397,         0,         0
    0.0222, 9.8523542, 0.2219736,         0,         0
    0.0223,  9.851998,0.22297323,         0,         0
    0.0224, 9.8516442,0.22397286,         0,         0
