"time","step2.y","clutch3.f_normalized_res","J1.w_res","J2.w_res","J3.w_res","J4.w_res","J1.w","J2.w","J3.w","J4.w","clutch3.f_normalized","qtronic.silver.allow_non_virtual_can","qtronic.silver.env.PROCESSOR_LEVEL","qtronic.silver.env.NUMBER_OF_PROCESSORS","qtronic.silver.env.EulerSteps","qtronic.silver.real_time","qtronic.silver.env.Timestep","qtronic.silver.macro_step","qtronic.silver.version.sp","qtronic.silver.version.minor","qtronic.silver.version.major","qtronic.silver.internal.stepDisabled","qtronic.silver.internal.pauseDisabled"
         0,         0,         0,        10,         0,         0,         0,        10,         0,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.01,         0,         0,   9.91562, 0.0999975,         0,         0, 9.9156142,0.099997796,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.02,         0,         0,   9.86072,   0.19998,         0,         0, 9.8608417,0.19998084,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.03,         0,         0,   9.83117,  0.299932,         0,         0, 9.8313094,0.29993331,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.04,         0,         0,   9.81995,  0.399839,         0,         0,  9.820138,0.39983941,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.05,         0,         0,   9.81842,  0.499683,         0,         0, 9.8186572,0.49968338,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.06,         0,         0,   9.81701,  0.599449,         0,         0, 9.8172543,0.59944944,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.07,         0,         0,   9.80609,  0.699121,         0,         0, 9.8063165,0.69912184,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.08,         0,         0,   9.77693,  0.798684,         0,         0, 9.7771738,0.79868485,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.09,         0,         0,   9.72269,  0.898122,         0,         0, 9.7229485,0.89812273,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       0.1,         0,         0,   9.63898,  0.997419,         0,         0, 9.6392306,0.99741979,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
