"time","Ball1_0pos","Ball2_0pos","Ball1_0vel","Ball2_0vel"
0,10,10,15,15
0.1,11.4509,11.4509,14.019,14.019
0.2,12.8038,12.8038,13.038,13.038
0.3,14.0585,14.0585,12.057,12.057
0.4,15.2152,15.2152,11.076,11.076
0.5,16.2738,16.2738,10.095,10.095
0.6,17.2342,17.2342,9.114,9.114
0.7,18.0965,18.0965,8.133,8.133
0.8,18.8608,18.8608,7.152,7.152
0.9,19.527,19.527,6.171,6.171
1,20.095,20.095,5.19,5.19
1.1,20.565,20.565,4.209,4.209
1.2,20.9368,20.9368,3.228,3.228
1.3,21.2106,21.2106,2.247,2.247
1.4,21.3862,21.3862,1.266,1.266
1.5,21.4638,21.4638,0.285,0.285
1.6,21.4432,21.4432,-0.696,-0.696
1.7,21.3246,21.3246,-1.677,-1.677
1.8,21.1078,21.1078,-2.658,-2.658
1.9,20.7929,20.7929,-3.639,-3.639
2,20.38,20.38,-4.62,-4.62
2.1,19.8689,19.8689,-5.601,-5.601
2.2,19.2598,19.2598,-6.582,-6.582
2.3,18.5525,18.5525,-7.563,-7.563
2.4,17.7472,17.7472,-8.544,-8.544
2.5,16.8438,16.8438,-9.525,-9.525
2.6,15.8422,15.8422,-10.506,-10.506
2.7,14.7425,14.7425,-11.487,-11.487
2.8,13.5448,13.5448,-12.468,-12.468
2.9,12.249,12.249,-13.449,-13.449
3,10.855,10.855,-14.43,-14.43
3.1,9.36295,9.36295,-15.411,-15.411
3.2,7.7728,7.7728,-16.392,-16.392
3.3,6.08455,6.08455,-17.373,-17.373
3.4,4.2982,4.2982,-18.354,-18.354
3.5,2.41375,2.41375,-19.335,-19.335
3.6,0.4312,0.4312,-20.316,-20.316
3.62112,-1.10564e-010,-1.10564e-010,-20.5232,-20.5232
3.62112,0,0,16.4185,15.3924
3.7,1.26462,1.18367,15.6447,14.6185
3.8,2.78004,2.59648,14.6637,13.6375
3.9,4.19736,3.91118,13.6827,12.6565
4,5.51658,5.12778,12.7017,11.6755
4.1,6.73769,6.24629,11.7207,10.6945
4.2,7.86071,7.26669,10.7397,9.71353
4.3,8.88563,8.18899,9.75868,8.73253
4.4,9.81245,9.01319,8.77768,7.75153
4.5,10.6412,9.7393,7.79668,6.77053
4.6,11.3718,10.3673,6.81568,5.78953
4.7,12.0043,10.8972,5.83468,4.80853
4.8,12.5387,11.329,4.85368,3.82753
4.9,12.975,11.6627,3.87268,2.84653
5,13.3133,11.8983,2.89168,1.86553
5.1,13.5534,12.0358,1.91068,0.884526
5.2,13.6954,12.0752,0.929684,-0.0964741
5.3,13.7393,12.0165,-0.0513162,-1.07747
5.4,13.6851,11.8597,-1.03232,-2.05847
5.5,13.5329,11.6048,-2.01332,-3.03947
5.6,13.2825,11.2518,-2.99432,-4.02047
5.7,12.934,10.8007,-3.97532,-5.00147
5.8,12.4874,10.2515,-4.95632,-5.98247
5.9,11.9427,9.60423,-5.93732,-6.96347
6,11.2999,8.85883,-6.91832,-7.94447
6.1,10.5591,8.01534,-7.89932,-8.92547
6.2,9.72008,7.07374,-8.88032,-9.90647
6.3,8.783,6.03404,-9.86132,-10.8875
6.4,7.74782,4.89625,-10.8423,-11.8685
6.5,6.61454,3.66035,-11.8233,-12.8495
6.6,5.38315,2.32635,-12.8043,-13.8305
6.7,4.05367,0.894253,-13.7853,-14.8115
6.75921,3.22018,-3.31064e-011,-14.3662,-15.3924
6.75921,3.22018,0,-14.3662,11.5443
6.8,2.62609,0.46268,-14.7663,11.1442
6.9,1.10041,1.52805,-15.7473,10.1632
6.96842,-1.26835e-011,2.20046,-16.4185,9.49196
6.96842,0,2.20046,13.1348,9.49196
7,0.409893,2.49531,12.825,9.18217
7.1,1.64335,3.36448,11.844,8.20117
7.2,2.7787,4.13555,10.863,7.22017
7.3,3.81595,4.80852,9.88203,6.23917
7.4,4.75511,5.38338,8.90103,5.25817
7.5,5.59616,5.86015,7.92003,4.27717
7.6,6.33911,6.23882,6.93903,3.29617
7.7,6.98396,6.51938,5.95803,2.31517
7.8,7.53072,6.70185,4.97703,1.33417
7.9,7.97937,6.78622,3.99603,0.35317
8,8.32992,6.77248,3.01503,-0.62783
8.1,8.58238,6.66065,2.03403,-1.60883
8.2,8.73673,6.45072,1.05303,-2.58983
8.3,8.79298,6.14269,0.0720308,-3.57083
8.4,8.75114,5.73655,-0.908969,-4.55183
8.5,8.61119,5.23232,-1.88997,-5.53283
8.6,8.37314,4.62999,-2.87097,-6.51383
8.7,8.037,3.92955,-3.85197,-7.49483
8.8,7.60275,3.13102,-4.83297,-8.47583
8.9,7.0704,2.23439,-5.81397,-9.45683
9,6.43995,1.23965,-6.79497,-10.4378
9.1,5.71141,0.146822,-7.77597,-11.4188
9.11279,5.61117,-1.14722e-011,-7.90142,-11.5443
9.11279,5.61117,0,-7.90142,8.65821
9.2,4.88476,0.717795,-8.75697,7.80265
9.3,3.96001,1.44901,-9.73797,6.82165
9.4,2.93717,2.08213,-10.719,5.84065
9.5,1.81622,2.61714,-11.7,4.85965
9.6,0.597173,3.05406,-12.681,3.87865
9.64626,-6.04811e-011,3.223,-13.1348,3.4248
9.64626,0,3.223,10.5079,3.4248
9.7,0.550485,3.39287,9.98071,2.89765
9.8,1.49951,3.63359,8.99971,1.91665
9.9,2.35043,3.7762,8.01871,0.935654
10,3.10325,3.82072,7.03771,-0.0453464
10,3.10325,3.82072,7.03771,-0.0453464
