"time","FMU_Interface_OUT0_PrimaryAngle","FMU_Interface_OUT1_SecondaryAngle","FMU_Interface_OUT2_PrimarySpeed","FMU_Interface_OUT3_SecondarySpeed","FMU_Interface_OUT4_PrimaryAcceleration","FMU_Interface_OUT5_SecondaryAcceleration","FMU_Interface_OUT6_PrimaryTorque","FMU_Interface_OUT7_SecondaryTorque","FMU_Interface_OUT8_TorqueFriction","FMU_Interface_OUT9_SpringActualAngle"
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.00E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.60E-13,-1.07E-14,1.55E+02
2.00E-01,7.33E+01,7.33E+01,2.44E+02,2.44E+02,2.56E+02,2.56E+02,1.00E+01,-1.04E+01,-6.12E+00,1.55E+02
3.00E-01,2.93E+02,2.93E+02,4.89E+02,4.89E+02,2.56E+02,2.56E+02,1.00E+01,-1.06E+01,-7.09E+00,1.55E+02
4.00E-01,6.60E+02,6.60E+02,7.33E+02,7.33E+02,2.56E+02,2.56E+02,1.00E+01,-1.08E+01,-8.72E+00,1.55E+02
5.00E-01,1.17E+03,1.17E+03,9.78E+02,9.78E+02,2.56E+02,2.56E+02,1.00E+01,-1.10E+01,-6.37E+00,1.55E+02
6.00E-01,1.83E+03,1.83E+03,1.22E+03,1.22E+03,2.56E+02,2.56E+02,1.00E+01,-1.11E+01,2.12E+00,1.55E+02
7.00E-01,2.64E+03,2.64E+03,1.47E+03,1.47E+03,2.56E+02,2.56E+02,1.00E+01,-1.13E+01,1.81E+01,1.55E+02
8.00E-01,3.59E+03,3.59E+03,1.71E+03,1.71E+03,2.56E+02,2.56E+02,1.00E+01,-1.11E+01,2.29E+01,1.55E+02
9.00E-01,4.69E+03,4.69E+03,1.96E+03,1.96E+03,2.56E+02,2.56E+02,1.00E+01,-1.12E+01,3.03E+01,1.55E+02
1.00E+00,5.94E+03,5.94E+03,2.20E+03,2.20E+03,2.56E+02,2.56E+02,1.00E+01,-1.15E+01,1.49E+00,1.55E+02
1.10E+00,7.26E+03,7.26E+03,2.20E+03,2.20E+03,0.00E+00,0.00E+00,-1.00E+01,8.53E+00,-1.47E+00,1.55E+02
1.20E+00,8.58E+03,8.58E+03,2.20E+03,2.20E+03,-2.84E-09,-2.84E-09,-1.00E+01,8.53E+00,-1.47E+00,1.55E+02
1.30E+00,9.90E+03,9.90E+03,2.20E+03,2.20E+03,1.22E-15,1.22E-15,-1.00E+01,8.53E+00,-1.47E+00,1.55E+02
1.40E+00,1.12E+04,1.12E+04,2.20E+03,2.20E+03,1.40E-15,1.40E-15,-1.00E+01,8.53E+00,-1.47E+00,1.55E+02
1.50E+00,1.25E+04,1.25E+04,2.20E+03,2.20E+03,2.84E-09,2.84E-09,-1.00E+01,8.53E+00,-1.47E+00,1.55E+02
1.60E+00,1.39E+04,1.39E+04,2.20E+03,2.20E+03,2.84E-09,2.84E-09,-1.00E+01,8.53E+00,-1.47E+00,1.55E+02
1.70E+00,1.52E+04,1.52E+04,2.20E+03,2.20E+03,0.00E+00,0.00E+00,-1.00E+01,8.53E+00,-1.47E+00,1.55E+02
