"time","der_T","der_p"
0.000000,0.000000,0.000000
0.002000,0.000000,0.000000
0.004000,0.000000,0.000000
0.006000,0.000000,0.000000
0.008000,0.000000,0.000000
0.010000,0.000000,0.000000
0.012000,0.000000,0.000000
0.014000,0.000000,0.000000
0.016000,0.000000,0.000000
0.018000,0.000000,0.000000
0.020000,0.000000,0.000000
0.022000,0.000000,0.000000
0.024000,0.000000,0.000000
0.026000,0.000000,0.000000
0.028000,0.000000,0.000000
0.030000,0.000000,0.000000
0.032000,0.000000,0.000000
0.034000,0.000000,0.000000
0.036000,0.000000,0.000000
0.038000,0.000000,0.000000
0.040000,0.000000,0.000000
0.042000,0.000000,0.000000
0.044000,0.000000,0.000000
0.046000,0.000000,0.000000
0.048000,0.000000,0.000000
0.050000,0.000000,0.000000
0.052000,0.000000,0.000000
0.054000,0.000000,0.000000
0.056000,0.000000,0.000000
0.058000,0.000000,0.000000
0.060000,0.000000,0.000000
0.062000,0.000000,0.000000
0.064000,0.000000,0.000000
0.066000,0.000000,0.000000
0.068000,0.000000,0.000000
0.070000,0.000000,0.000000
0.072000,0.000000,0.000000
0.074000,0.000000,0.000000
0.076000,0.000000,0.000000
0.078000,0.000000,0.000000
0.080000,0.000000,0.000000
0.082000,0.000000,0.000000
0.084000,0.000000,0.000000
0.086000,0.000000,0.000000
0.088000,0.000000,0.000000
0.090000,0.000000,0.000000
0.092000,0.000000,0.000000
0.094000,0.000000,0.000000
0.096000,0.000000,0.000000
0.098000,0.000000,0.000000
0.100000,0.000000,0.000000
0.102000,0.000000,0.000000
0.104000,0.000000,0.000000
0.106000,0.000000,0.000000
0.108000,0.000000,0.000000
0.110000,0.000000,0.000000
0.112000,0.000000,0.000000
0.114000,0.000000,0.000000
0.116000,0.000000,0.000000
0.118000,0.000000,0.000000
0.120000,0.000000,0.000000
0.122000,0.000000,0.000000
0.124000,0.000000,0.000000
0.126000,0.000000,0.000000
0.128000,0.000000,0.000000
0.130000,0.000000,0.000000
0.132000,0.000000,0.000000
0.134000,0.000000,0.000000
0.136000,0.000000,0.000000
0.138000,0.000000,0.000000
0.140000,0.000000,0.000000
0.142000,0.000000,0.000000
0.144000,0.000000,0.000000
0.146000,0.000000,0.000000
0.148000,0.000000,0.000000
0.150000,0.000000,0.000000
0.152000,0.000000,0.000000
0.154000,0.000000,0.000000
0.156000,0.000000,0.000000
0.158000,0.000000,0.000000
0.160000,0.000000,0.000000
0.162000,0.000000,0.000000
0.164000,0.000000,0.000000
0.166000,0.000000,0.000000
0.168000,0.000000,0.000000
0.170000,0.000000,0.000000
0.172000,0.000000,0.000000
0.174000,0.000000,0.000000
0.176000,0.000000,0.000000
0.178000,0.000000,0.000000
0.180000,0.000000,0.000000
0.182000,0.000000,0.000000
0.184000,0.000000,0.000000
0.186000,0.000000,0.000000
0.188000,0.000000,0.000000
0.190000,0.000000,0.000000
0.192000,0.000000,0.000000
0.194000,0.000000,0.000000
0.196000,0.000000,0.000000
0.198000,0.000000,0.000000
0.200000,0.000000,0.000000
0.202000,0.000000,0.000000
0.204000,0.000000,0.000000
0.206000,0.000000,0.000000
0.208000,0.000000,0.000000
0.210000,0.000000,0.000000
0.212000,0.000000,0.000000
0.214000,0.000000,0.000000
0.216000,0.000000,0.000000
0.218000,0.000000,0.000000
0.220000,0.000000,0.000000
0.222000,0.000000,0.000000
0.224000,0.000000,0.000000
0.226000,0.000000,0.000000
0.228000,0.000000,0.000000
0.230000,0.000000,0.000000
0.232000,0.000000,0.000000
0.234000,0.000000,0.000000
0.236000,0.000000,0.000000
0.238000,0.000000,0.000000
0.240000,0.000000,0.000000
0.242000,0.000000,0.000000
0.244000,0.000000,0.000000
0.246000,0.000000,0.000000
0.248000,0.000000,0.000000
0.250000,0.000000,0.000000
0.252000,0.000000,0.000000
0.254000,0.000000,0.000000
0.256000,0.000000,0.000000
0.258000,0.000000,0.000000
0.260000,0.000000,0.000000
0.262000,0.000000,0.000000
0.264000,0.000000,0.000000
0.266000,0.000000,0.000000
0.268000,0.000000,0.000000
0.270000,0.000000,0.000000
0.272000,0.000000,0.000000
0.274000,0.000000,0.000000
0.276000,0.000000,0.000000
0.278000,0.000000,0.000000
0.280000,0.000000,0.000000
0.282000,0.000000,0.000000
0.284000,0.000000,0.000000
0.286000,0.000000,0.000000
0.288000,0.000000,0.000000
0.290000,0.000000,0.000000
0.292000,0.000000,0.000000
0.294000,0.000000,0.000000
0.296000,0.000000,0.000000
0.298000,0.000000,0.000000
0.300000,-0.000001,-0.000055
0.302000,-0.113765,-8.974774
0.304000,-0.225689,-17.300278
0.306000,-0.335781,-24.983952
0.308000,-0.444050,-32.033315
0.310000,-0.550505,-38.455888
0.312000,-0.655156,-44.259192
0.314000,-0.758013,-49.450748
0.316000,-0.859084,-54.038076
0.318000,-0.958378,-58.028643
0.320000,-1.055908,-61.430087
0.322000,-1.151680,-64.249865
0.324000,-1.245705,-66.495497
0.326000,-1.337992,-68.174505
0.328000,-1.428550,-69.294407
0.330000,-1.517389,-69.862726
0.332000,-1.604517,-69.886984
0.334000,-1.689946,-69.374702
0.336000,-1.773684,-68.333397
0.338000,-1.855740,-66.770588
0.340000,-1.936125,-64.693795
0.342000,-2.014847,-62.110539
0.344000,-2.091915,-59.028342
0.346000,-2.167340,-55.454799
0.348000,-2.241131,-51.397306
0.350000,-2.313297,-46.863430
0.352000,-2.383847,-41.860692
0.354000,-2.452792,-36.396611
0.356000,-2.520140,-30.478707
0.358000,-2.585900,-24.114500
0.360000,-2.650083,-17.311509
0.362000,-2.712697,-10.077366
0.364000,-2.773752,-2.419372
0.366000,-2.833258,5.654847
0.368000,-2.891224,14.137771
0.370000,-2.947659,23.021883
0.372000,-3.002573,32.299662
0.374000,-3.055975,41.963589
0.376000,-3.107873,52.005993
0.378000,-3.158279,62.419653
0.380000,-3.207202,73.196905
0.382000,-3.254650,84.330229
0.384000,-3.300634,95.812105
0.386000,-3.345162,107.635015
0.388000,-3.388243,119.791441
0.390000,-3.429888,132.273674
0.392000,-3.470106,145.074569
0.394000,-3.508906,158.186423
0.396000,-3.546298,171.601716
0.398000,-3.582291,185.312932
0.400000,-3.616894,199.312550
0.402000,-3.650117,213.593053
0.404000,-3.681969,228.146921
0.406000,-3.712459,242.966415
0.408000,-3.741597,258.044456
0.410000,-3.769393,273.373309
0.412000,-3.795856,288.945454
0.414000,-3.820994,304.753373
0.416000,-3.844819,320.789549
0.418000,-3.867338,337.046463
0.420000,-3.888561,353.516349
0.422000,-3.908498,370.192182
0.424000,-3.927158,387.066198
0.426000,-3.944551,404.130881
0.428000,-3.960686,421.378712
0.430000,-3.975572,438.802173
0.432000,-3.989219,456.393746
0.434000,-4.001635,474.145649
0.436000,-4.012831,492.050893
0.438000,-4.022816,510.101695
0.440000,-4.031599,528.290540
0.442000,-4.039190,546.609909
