"time","J1_w","J2_w","J3_w","J4_w"
6.19999990e-02,9.81605816e+00,6.19391859e-01,1.23234764e-14,1.23147630e-14
6.30000010e-02,9.81532669e+00,6.29361629e-01,1.15463186e-14,1.15376009e-14
6.40000030e-02,9.81447220e+00,6.39330447e-01,1.24344979e-14,1.24257878e-14
6.49999976e-02,9.81348419e+00,6.49298251e-01,1.15463186e-14,1.15375798e-14
6.59999996e-02,9.81235409e+00,6.59265041e-01,1.21014310e-14,1.20927082e-14
6.70000017e-02,9.81107426e+00,6.69230819e-01,1.07691633e-14,1.07603720e-14
6.80000037e-02,9.80963612e+00,6.79195523e-01,9.76996262e-15,9.76118990e-15
6.89999983e-02,9.80803013e+00,6.89159155e-01,1.07691633e-14,1.07602797e-14
7.00000003e-02,9.80624866e+00,6.99121773e-01,1.03250741e-14,1.03162633e-14
7.10000023e-02,9.80428314e+00,7.09083259e-01,1.26565416e-14,1.26475190e-14
7.19999969e-02,9.80212688e+00,7.19043612e-01,1.14352972e-14,1.14263762e-14
7.29999989e-02,9.79977131e+00,7.29002833e-01,1.34336986e-14,1.34243211e-14
7.40000010e-02,9.79720974e+00,7.38960981e-01,1.29896094e-14,1.29801548e-14
7.50000030e-02,9.79443359e+00,7.48917937e-01,1.52100554e-14,1.52002383e-14
7.59999976e-02,9.79143715e+00,7.58873701e-01,1.55431223e-14,1.55332730e-14
7.69999996e-02,9.78821182e+00,7.68828273e-01,1.65423231e-14,1.65321570e-14
7.80000016e-02,9.78475285e+00,7.78781652e-01,1.50990331e-14,1.50889060e-14
7.90000036e-02,9.78105259e+00,7.88733840e-01,1.73194792e-14,1.73090116e-14
7.99999982e-02,9.77710629e+00,7.98684776e-01,1.65423231e-14,1.65316555e-14
8.10000002e-02,9.77290630e+00,8.08634460e-01,1.73194792e-14,1.73084423e-14
8.20000023e-02,9.76844788e+00,8.18582833e-01,1.59872116e-14,1.59760036e-14
8.29999968e-02,9.76372528e+00,8.28529954e-01,1.58761893e-14,1.58648373e-14
8.39999989e-02,9.75873375e+00,8.38475823e-01,1.56541446e-14,1.56426335e-14
8.50000009e-02,9.75346851e+00,8.48420322e-01,1.47659662e-14,1.47544822e-14
8.60000029e-02,9.74792480e+00,8.58363509e-01,1.35447209e-14,1.35329700e-14
8.69999975e-02,9.74209785e+00,8.68305326e-01,1.42108547e-14,1.41991072e-14
8.79999995e-02,9.73598385e+00,8.78245831e-01,1.46549439e-14,1.46427162e-14
8.90000015e-02,9.72957897e+00,8.88184905e-01,1.35447209e-14,1.35320561e-14
9.00000036e-02,9.72288036e+00,8.98122668e-01,1.32116540e-14,1.31981616e-14
9.09999982e-02,9.71588421e+00,9.08058941e-01,1.50990331e-14,1.50848216e-14
9.20000002e-02,9.70858860e+00,9.17993844e-01,1.55431223e-14,1.55282993e-14
9.30000022e-02,9.70098877e+00,9.27927256e-01,1.38777878e-14,1.38626047e-14
9.39999968e-02,9.69308472e+00,9.37859237e-01,1.46549439e-14,1.46393907e-14
