"time","FMU_Interface_OUT0_Primary Ang","FMU_Interface_OUT1_Secondary A","FMU_Interface_OUT2_Primary Spe","FMU_Interface_OUT3_Secondary S","FMU_Interface_OUT4_Primary Acc","FMU_Interface_OUT5_Secondary A","FMU_Interface_OUT6_Primary Tor","FMU_Interface_OUT7_Secondary T","FMU_Interface_OUT8_Torque Fric","FMU_Interface_OUT9_Spring Actu"
0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,-3.59712E-13,-1.06687E-14,155
0.024,0,0,0,0,0,0,0,-3.59712E-13,-1.06687E-14,155
0.036,0,0,0,0,0,0,0,-3.59712E-13,-1.06687E-14,155
0.048,0,0,0,0,0,0,0,-3.59712E-13,-1.06687E-14,155
0.06,0,0,0,0,0,0,0,-3.59712E-13,-1.06687E-14,155
0.072,0,0,0,0,0,0,0,-3.59712E-13,-1.06687E-14,155
0.084,0,0,0,0,0,0,0,-3.59712E-13,-1.06687E-14,155
0.096,0,0,0,0,0,0,0,-3.59712E-13,-1.06687E-14,155
0.108,0.46699,0.468161,19.5311,19.5311,255.982,255.982,10,-10.0355,-5.88755,154.895
0.12,2.92747,2.9304,48.8644,48.8644,255.982,255.982,10,-10.0854,-5.88872,154.898
0.132,7.49995,7.50464,78.1978,78.1978,255.982,255.982,10,-10.1268,-5.89758,154.913
0.144,14.1844,14.1909,107.531,107.531,255.982,255.982,10,-10.1715,-4.3483,154.925
0.156,22.9809,22.9891,136.864,136.864,255.982,255.982,10,-10.2071,-4.33585,154.924
0.168,33.8894,33.8994,166.198,166.198,255.982,255.982,10,-10.2449,-6.13047,154.924
0.18,46.9099,46.9216,195.531,195.531,255.982,255.982,10,-10.2897,-6.37001,154.925
0.192,62.0424,62.0558,224.864,224.864,255.982,255.982,10,-10.3298,-0.501571,154.924
0.204,79.2868,79.3021,254.198,254.198,255.982,255.982,10,-10.3703,-6.12853,154.923
0.216,98.6433,98.6603,283.531,283.531,255.982,255.982,10,-10.4109,-3.73653,154.922
0.228,120.112,120.131,312.864,312.864,255.982,255.982,10,-10.454,2.27196,154.921
0.24,143.692,143.713,342.198,342.198,255.982,255.982,10,-10.4863,-0.737912,154.92
0.252,169.385,169.407,371.531,371.531,255.982,255.982,10,-10.5079,-4.96435,154.919
0.264,197.189,197.213,400.864,400.864,255.982,255.982,10,-10.5275,-5.14028,154.919
