"Time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]"
0,565.685,0,0,0,0,0,0
0,565.685,0,0,0,0,0,0
1.02e-05,565.345,0.00206849,-0.566721,0.564652,284.395,-565.687,281.292
2.02e-05,565.011,0.00412055,-0.567735,0.563614,285.928,-565.675,279.747
3.02e-05,564.677,0.0062058,-0.568813,0.562607,287.441,-565.642,278.201
4.02e-05,564.343,0.00958665,-0.572477,0.56289,288.965,-565.617,276.652
5.02e-05,564.009,0.0129727,-0.576146,0.563174,290.491,-565.591,275.1
6.02e-05,563.675,0.0163537,-0.5798,0.563446,292.015,-565.561,273.546
7.02e-05,563.341,0.0197289,-0.583436,0.563708,293.535,-565.525,271.989
8.02e-05,563.008,0.0230983,-0.587056,0.563958,295.053,-565.483,270.43
9.02e-05,562.674,0.026462,-0.590659,0.564197,296.568,-565.435,268.867
0.0001002,562.34,0.0298196,-0.594244,0.564425,298.08,-565.382,267.303
0.0001102,562.006,0.0331715,-0.597813,0.564642,299.589,-565.324,265.735
0.0001202,561.672,0.0365175,-0.601365,0.564847,301.095,-565.26,264.165
0.0001302,561.338,0.0398576,-0.604899,0.565042,302.598,-565.19,262.592
0.0001402,561.004,0.0430859,-0.610354,0.567268,304.045,-565.004,260.959
0.0001502,560.67,0.0461608,-0.633472,0.587311,305.416,-564.67,259.255
0.0001602,560.337,0.0492353,-0.677431,0.628196,306.786,-564.337,257.551
0.0001702,560.003,0.0523093,-0.741744,0.689434,308.156,-564.003,255.847
0.0001802,559.669,0.0553827,-0.825964,0.770582,309.526,-563.669,254.143
0.0001902,559.335,0.0584556,-0.929609,0.871153,310.896,-563.336,252.44
0.0002002,559.002,0.061528,-1.0522,0.990671,312.265,-563.003,250.737
0.0002102,558.668,0.0645997,-1.19326,1.12866,313.635,-562.669,249.035
0.0002202,558.335,0.0676708,-1.35232,1.28465,315.004,-562.336,247.333
0.0002302,558.001,0.0707412,-1.52891,1.45817,316.372,-562.003,245.631
0.0002402,557.668,0.073811,-1.72254,1.64873,317.741,-561.67,243.93
0.0002502,557.335,0.07688,-1.93273,1.85585,319.109,-561.338,242.229
0.0002602,557.002,0.0799482,-2.15899,2.07904,320.477,-561.005,240.528
0.0002702,556.669,0.0830157,-2.40086,2.31784,321.844,-560.673,238.829
0.0002802,556.337,0.0860823,-2.65785,2.57177,323.212,-560.341,237.129
0.0002902,556.004,0.0891481,-2.92948,2.84033,324.579,-560.009,235.43
0.0003002,555.672,0.092213,-3.21528,3.12307,325.945,-559.677,233.732
0.0003102,555.34,0.095277,-3.51476,3.41948,327.311,-559.346,232.034
0.0003202,555.008,0.09834,-3.82744,3.7291,328.677,-559.015,230.337
0.0003302,554.677,0.101402,-4.15285,4.05144,330.043,-558.684,228.641
0.0003402,554.345,0.104463,-4.49049,4.38602,331.408,-558.353,226.945
0.0003502,554.014,0.107523,-4.83988,4.73236,332.773,-558.022,225.25
0.0003602,553.683,0.110582,-5.20054,5.08996,334.137,-557.692,223.555
0.0003702,553.352,0.11364,-5.57199,5.45835,335.501,-557.362,221.861
0.0003802,553.022,0.116697,-5.95374,5.83705,336.865,-557.032,220.168
0.0003902,552.692,0.119753,-6.34531,6.22556,338.228,-556.703,218.475
0.0004002,552.362,0.122807,-6.74621,6.6234,339.591,-556.374,216.783
0.0004102,552.032,0.12586,-7.15595,7.03009,340.953,-556.045,215.092
0.0004202,551.703,0.128912,-7.57405,7.44514,342.314,-555.717,213.402
0.0004302,551.374,0.131963,-8.00003,7.86807,343.676,-555.388,211.713
0.0004402,551.045,0.135012,-8.4334,8.29838,345.036,-555.06,210.024
0.0004502,550.716,0.13806,-8.87366,8.7356,346.397,-554.733,208.336
