"time","y","y1","y2","y3","y4","y5","y6","Q","QI"
0,0,0,1,0,1,0,0,1,0
0.00019531,0,0,1,0,1,0,0,1,0
0.00097656,0,0,1,0,1,0,0,1,0
0.00488281,0,0,1,0,1,0,0,1,0
0.01,0,0,1,0,1,0,0,1,0
0.01,0,0,1,0,1,0,0,1,0
0.01,0,0,1,0,1,0,0,1,0
0.01019531,0,0,1,0,1,0,0,1,0
0.01097656,0,0,1,0,1,0,0,1,0
0.01488281,0,0,1,0,1,0,0,1,0
0.02,0,0,1,0,1,0,0,1,0
0.02,0,0,1,0,1,0,0,1,0
0.02,0,0,1,0,1,0,0,1,0
0.02019531,0,0,1,0,1,0,0,1,0
0.02097656,0,0,1,0,1,0,0,1,0
0.02488281,0,0,1,0,1,0,0,1,0
0.03,0,0,1,0,1,0,0,1,0
0.03,0,0,1,0,1,0,0,1,0
0.03,0,0,1,0,1,0,0,1,0
0.03019531,0,0,1,0,1,0,0,1,0
0.03097656,0,0,1,0,1,0,0,1,0
0.03488281,0,0,1,0,1,0,0,1,0
0.04,0,0,1,0,1,0,0,1,0
0.04,0,0,1,0,1,0,0,1,0
0.04,0,0,1,0,1,0,0,1,0
0.04019531,0,0,1,0,1,0,0,1,0
0.04097656,0,0,1,0,1,0,0,1,0
0.04488281,0,0,1,0,1,0,0,1,0
0.05,0,0,1,0,1,0,0,1,0
0.05,0,0,1,0,1,0,0,1,0
0.05,0,0,1,0,1,0,0,1,0
0.05019531,0,0,1,0,1,0,0,1,0
0.05097656,0,0,1,0,1,0,0,1,0
0.05488281,0,0,1,0,1,0,0,1,0
0.06,0,0,1,0,1,0,0,1,0
0.06,0,0,1,0,1,0,0,1,0
0.06,0,0,1,0,1,0,0,1,0
0.06019531,0,0,1,0,1,0,0,1,0
0.06097656,0,0,1,0,1,0,0,1,0
0.06488281,0,0,1,0,1,0,0,1,0
0.07,0,0,1,0,1,0,0,1,0
0.07,0,0,1,0,1,0,0,1,0
0.07,0,0,1,0,1,0,0,1,0
0.07019531,0,0,1,0,1,0,0,1,0
0.07097656,0,0,1,0,1,0,0,1,0
0.07488281,0,0,1,0,1,0,0,1,0
0.08,0,0,1,0,1,0,0,1,0
0.08,0,0,1,0,1,0,0,1,0
0.08,0,0,1,0,1,0,0,1,0
0.08019531,0,0,1,0,1,0,0,1,0
0.08097656,0,0,1,0,1,0,0,1,0
0.08488281,0,0,1,0,1,0,0,1,0
0.09,0,0,1,0,1,0,0,1,0
0.09,0,0,1,0,1,0,0,1,0
0.09,0,0,1,0,1,0,0,1,0
0.09019531,0,0,1,0,1,0,0,1,0
0.09097656,0,0,1,0,1,0,0,1,0
0.09488281,0,0,1,0,1,0,0,1,0
0.1,0,0,1,0,1,0,0,1,0
0.1,0,0,1,0,1,0,0,1,0
0.1,0,0,1,0,1,0,0,1,0
0.10019531,0,0,1,0,1,0,0,1,0
0.10097656,0,0,1,0,1,0,0,1,0
0.10488281,0,0,1,0,1,0,0,1,0
0.11,0,0,1,0,1,0,0,1,0
0.11,0,0,1,0,1,0,0,1,0
0.11,0,0,1,0,1,0,0,1,0
