"time","x@mass2port","output@integrator"
0,-1,1.521
0.01,-0.9999513947,1.520514782
0.02,-0.9998055407,1.519059368
0.03,-0.9995622532,1.51663371
0.04,-0.9992212079,1.513237861
0.05,-0.9987819864,1.508871877
0.06,-0.9982440495,1.503535829
0.07,-0.9976067125,1.497229805
0.08,-0.9968691856,1.489953902
0.09,-0.9960305329,1.48170824
0.1,-0.9950896838,1.472492966
0.11,-0.9940454202,1.462308266
0.12,-0.9928963388,1.451154331
0.13,-0.9916408884,1.439031373
0.14,-0.990277355,1.42593963
0.15,-0.9888038499,1.411879362
0.16,-0.9872182915,1.396850866
0.17,-0.9855183863,1.38085446
0.18,-0.9837016282,1.3638905
0.19,-0.981765277,1.34595938
0.2,-0.9797063367,1.327061534
0.21,-0.9775215215,1.307197443
0.22,-0.9752072622,1.286367632
0.23,-0.9727596563,1.264572685
0.24,-0.9701744383,1.241813243
0.25,-0.9674469435,1.218090023
0.26,-0.9645721043,1.193403854
0.27,-0.9615443015,1.16775561
0.28,-0.9583574,1.141146267
0.29,-0.9550046586,1.11357692
0.3,-0.9514786515,1.085048798
0.31,-0.9477711797,1.055563279
0.32,-0.9438731665,1.025121903
0.33,-0.9397745337,0.993726433
0.34,-0.9354640532,0.9613788673
0.35,-0.9309291693,0.9280814953
0.36,-0.9261557833,0.8938369773
0.37,-0.9211280368,0.8586483164
0.38,-0.9158278549,0.8225190753
0.39,-0.9102347389,0.7854533987
0.4,-0.9043250569,0.7474562254
0.41,-0.8980715414,0.7085333878
0.42,-0.8914424782,0.6686919328
0.43,-0.8844005136,0.6279404983
0.44,-0.8769013605,0.5862897101
0.45,-0.8688917652,0.5437529597
0.46,-0.8603068781,0.5003472765
0.47,-0.851066508,0.4560948831
0.48,-0.8410696101,0.4110254508
0.49,-0.8301860784,0.3651796216
0.5,-0.8182439266,0.3186155044
0.51,-0.8050082231,0.2714190046
0.52,-0.7901449326,0.2237251167
0.53,-0.7731537522,0.1757614766
0.54,-0.7532330991,0.1279512787
0.55,-0.7289808821,0.08119957562
0.56,-0.6976916668,0.03787738839
0.57,-0.6544888255,0.005842669099
0.58,-0.6010184247,0.003552520796
0.59,-0.5534382862,0.02914122166
0.6,-0.513956125,0.06553005566
0.61,-0.4794796359,0.1058205843
0.62,-0.4480946157,0.1476221672
0.63,-0.4187088613,0.1898916041
0.64,-0.3906386824,0.2320766286
0.65,-0.3634111596,0.273836651
0.66,-0.3366663638,0.3149307881
0.67,-0.3101036653,0.3551637232
0.68,-0.2834482437,0.3943536974
0.69,-0.2564260031,0.4323072174
0.7,-0.22874158,0.4687921634
0.71,-0.2000556832,0.5035008231
0.72,-0.1699610584,0.5359914306
0.73,-0.137963091,0.5655868891
0.74,-0.1034957093,0.5912047435
0.75,-0.06607225264,0.6111195376
0.76,-0.02577567254,0.6228870268
0.77,0.01599956899,0.6241923238
0.78,0.05682693236,0.6147201168
0.79,0.09497105751,0.5964820113
0.8,0.1300997545,0.5720216744
0.81,0.1626264878,0.5432446605
0.82,0.1931208652,0.5113624768
0.83,0.2220983591,0.4771290854
0.84,0.2499855904,0.4410305514
0.85,0.2771356698,0.4033996013
0.86,0.3038521936,0.364482237
0.87,0.3304122911,0.3244783707
0.88,0.3570885896,0.2835703214
0.89,0.3841730365,0.2419477023
0.9,0.4120077715,0.1998369954
0.91,0.4410325848,0.1575483732
0.92,0.4718688461,0.1155684549
0.93,0.5054859145,0.07478181221
0.94,0.5435516142,0.03711589893
0.95,0.5889497495,0.007856640343
0.96,0.6422714823,0.001974177454
0.97,0.6888098612,0.02879921207
0.98,0.7223958558,0.07055123689
0.99,0.7479882077,0.1168057423
1,0.7687691543,0.1644766031
1.01,0.786361738,0.2124524756
1.02,0.8016722957,0.2602345606
1.03,0.815256029,0.3075621331
1.04,0.8274783875,0.3542836575
1.05,0.8385935338,0.4003040017
1.06,0.8487859747,0.4455598509
1.07,0.8581942935,0.4900070994
1.08,0.8669254885,0.5336138696
1.09,0.8750640844,0.5763564301
1.1,0.8826781385,0.6182166664
1.11,0.8898233516,0.6591804473
1.12,0.8965459495,0.6992365686
1.13,0.9028847512,0.7383759928
1.14,0.908872711,0.7765913202
1.15,0.9145380602,0.8138764419
1.16,0.919905185,0.8502262398
1.17,0.9249953013,0.8856364015
1.18,0.9298269895,0.9201032569
1.19,0.934416624,0.9536236282
1.2,0.9387786997,0.9861948108
1.21,0.9429261073,1.017814474
1.22,0.9468703659,1.048480556
1.23,0.9506218179,1.07819122
1.24,0.9541897639,1.106944853
1.25,0.9575825917,1.134740037
1.26,0.960807898,1.161575515
1.27,0.9638725803,1.18745016
1.28,0.9667829094,1.212362964
1.29,0.9695445958,1.23631302
1.3,0.9721628467,1.259299518
1.31,0.9746424243,1.281321729
1.32,0.9769876812,1.302379
1.33,0.9792026235,1.322470735
1.34,0.9812908992,1.341596378
1.35,0.9832558434,1.359755425
1.36,0.9851005118,1.376947429
1.37,0.9868277042,1.393171985
1.38,0.9884399745,1.408428733
1.39,0.9899396754,1.422717353
1.4,0.9913289379,1.436037544
1.41,0.9926097022,1.448389029
1.42,0.9937837148,1.45977155
1.43,0.9948525539,1.470184892
1.44,0.995817637,1.479628857
1.45,0.9966802289,1.488103272
1.46,0.9974414493,1.495607985
1.47,0.9981022731,1.502142864
1.48,0.9986635382,1.507707801
