time,volume@INJ01,q@INJ01
0.0,0.0,0.0
1e-05,-1.63795518586e-15,-9.831609265710001e-09
1e-05,-1.63795518586e-15,-9.831609265710001e-09
2e-05,-3.27655630529e-15,-9.83163720187e-09
2e-05,-3.27655630529e-15,-9.83163720187e-09
2.9999999999999997e-05,-4.9151575577099995e-15,-9.831602281669999e-09
2.9999999999999997e-05,-4.9151575577099995e-15,-9.831602281669999e-09
4e-05,-6.5537589289399985e-15,-9.831609265710001e-09
4e-05,-6.5537589289399985e-15,-9.831609265710001e-09
5e-05,-8.19236040535e-15,-9.831609265710001e-09
5e-05,-8.19236040535e-15,-9.831609265710001e-09
5.9999999999999995e-05,-9.83096197061e-15,-9.831609265710001e-09
5.9999999999999995e-05,-9.83096197061e-15,-9.831609265710001e-09
7e-05,-1.14695636018e-14,-9.83161624975e-09
7e-05,-1.14695636018e-14,-9.83161624975e-09
8e-05,-1.3108165282600001e-14,-9.83161624975e-09
8e-05,-1.3108165282600001e-14,-9.83161624975e-09
9e-05,-1.47467669972e-14,-9.831588313590001e-09
9e-05,-1.47467669972e-14,-9.831588313590001e-09
0.0001,-1.63853687004e-14,-9.831609265710001e-09
0.0001,-1.63853687004e-14,-9.831609265710001e-09
0.00011,-1.8023970396499998e-14,-9.831609265710001e-09
0.00011,-1.8023970396499998e-14,-9.831609265710001e-09
0.00011999999999999999,-1.9662572058799997e-14,-9.83161624975e-09
0.00011999999999999999,-1.9662572058799997e-14,-9.83161624975e-09
0.00013000000000000002,-2.13011736804e-14,-9.83146260085e-09
0.00013000000000000002,-2.13011736804e-14,-9.83146260085e-09
0.00014,-2.29397752303e-14,-9.83162323379e-09
0.00014,-2.29397752303e-14,-9.83162323379e-09
0.00015,-2.45783767224e-14,-9.83161624975e-09
0.00015,-2.45783767224e-14,-9.83161624975e-09
0.00016,-2.6216978145e-14,-9.83159529763e-09
0.00016,-2.6216978145e-14,-9.83159529763e-09
0.00016999999999999999,-2.7855579495199997e-14,-9.83161624975e-09
0.00016999999999999999,-2.7855579495199997e-14,-9.83161624975e-09
0.00018,-2.94941807807e-14,-9.831602281669999e-09
0.00018,-2.94941807807e-14,-9.831602281669999e-09
0.00018999999999999998,-3.11327820036e-14,-9.83163720187e-09
0.00018999999999999998,-3.11327820036e-14,-9.83163720187e-09
0.0002,-3.27713831832e-14,-9.831609265710001e-09
0.0002,-3.27713831832e-14,-9.831609265710001e-09
0.00021,-3.44099843235e-14,-9.831602281669999e-09
0.00021,-3.44099843235e-14,-9.831602281669999e-09
0.00022,-3.60485854389e-14,-9.831602281669999e-09
0.00022,-3.60485854389e-14,-9.831602281669999e-09
0.00022999999999999998,-3.7687186542e-14,-9.83161624975e-09
0.00022999999999999998,-3.7687186542e-14,-9.83161624975e-09
0.00023999999999999998,-3.93257876506e-14,-9.83163720187e-09
0.00023999999999999998,-3.93257876506e-14,-9.83163720187e-09
0.00025,-4.0964388777e-14,-9.83161624975e-09
