Time,Piston_frame_0a_r_00_1_,Piston_frame_0a_r_00_2_,Piston_frame_0a_r_00_3_
0,0.15,0.4,0
0.001,0.15,0.4,0
0.001,0.15,0.4,0
0.002,0.15,0.4,0
0.002,0.15,0.4,0
0.003,0.15,0.4,0
0.003,0.15,0.4,0
0.004,0.15,0.4,0
0.004,0.15,0.4,0
0.005,0.15,0.4,0
0.005,0.15,0.4,0
0.006,0.15,0.4,0
0.006,0.15,0.4,0
0.007,0.15,0.4,0
0.007,0.15,0.4,0
0.008,0.15,0.4,0
0.008,0.15,0.4,0
0.009,0.15,0.4,0
0.009,0.15,0.4,0
0.01,0.15,0.4,0
0.01,0.15,0.4,0
0.011,0.15,0.4,0
0.011,0.15,0.4,0
0.012,0.15,0.4,0
0.012,0.15,0.4,0
0.013,0.15,0.4,0
0.013,0.15,0.4,0
0.014,0.15,0.4,0
0.014,0.15,0.4,0
0.015,0.15,0.4,0
0.015,0.15,0.4,0
0.016,0.15,0.4,0
0.016,0.15,0.4,0
0.017,0.15,0.4,0
0.017,0.15,0.399999,0
0.018,0.15,0.399999,0
0.018,0.15,0.399999,0
0.019,0.15,0.399999,0
0.019,0.15,0.399999,0
0.02,0.15,0.399999,0
0.02,0.15,0.399999,0
0.021,0.15,0.399999,0
0.021,0.15,0.399999,0
0.022,0.15,0.399999,0
0.022,0.15,0.399999,0
0.023,0.15,0.399999,0
0.023,0.15,0.399998,0
0.024,0.15,0.399998,0
0.024,0.15,0.399998,0
0.025,0.15,0.399998,0
0.025,0.15,0.399998,0
0.026,0.15,0.399998,0
0.026,0.15,0.399997,0
0.027,0.15,0.399997,0
0.027,0.15,0.399996,0
0.028,0.15,0.399996,0
0.028,0.15,0.399996,0
0.029,0.15,0.399996,0
0.029,0.15,0.399995,0
0.03,0.15,0.399995,0
0.03,0.15,0.399994,0
0.031,0.15,0.399994,0
0.031,0.15,0.399992,0
0.032,0.15,0.399992,0
0.032,0.15,0.399991,0
0.033,0.15,0.399991,0
0.033,0.15,0.399989,0
0.034,0.15,0.399989,0
0.034,0.15,0.399986,0
0.035,0.15,0.399986,0
0.035,0.15,0.399983,0
0.036,0.15,0.399983,0
0.036,0.15,0.39998,0
0.037,0.15,0.39998,0
0.037,0.15,0.399975,0
0.038,0.15,0.399975,0
0.038,0.15,0.39997,0
0.039,0.15,0.39997,0
0.039,0.15,0.399964,0
0.04,0.15,0.399964,0
0.04,0.15,0.399956,0
0.041,0.15,0.399956,0
0.041,0.15,0.399947,0
0.042,0.15,0.399947,0
0.042,0.15,0.399935,0
0.043,0.15,0.399935,0
0.043,0.15,0.399921,0
0.044,0.15,0.399921,0
0.044,0.15,0.399905,0
0.045,0.15,0.399905,0
0.045,0.15,0.399884,0
0.046,0.15,0.399884,0
0.046,0.15,0.39986,0
0.047,0.15,0.39986,0
0.047,0.15,0.39983,0
0.048,0.15,0.39983,0
0.048,0.15,0.399793,0
0.049,0.15,0.399793,0
0.049,0.15,0.399749,0
0.05,0.15,0.399749,0
0.05,0.15,0.399696,0
0.051,0.15,0.399696,0
0.051,0.15,0.399631,0
0.052,0.15,0.399631,0
0.052,0.15,0.399552,0
0.053,0.15,0.399552,0
0.053,0.15,0.399457,0
0.054,0.15,0.399457,0
0.054,0.15,0.399342,0
0.055,0.15,0.399342,0
0.055,0.15,0.399202,0
0.056,0.15,0.399202,0
0.056,0.15,0.399034,0
0.057,0.15,0.399034,0
0.057,0.15,0.39883,0
0.058,0.15,0.39883,0
0.058,0.15,0.398584,0
0.059,0.15,0.398584,0
0.059,0.15,0.398288,0
0.06,0.15,0.398288,0
0.06,0.15,0.397932,0
0.061,0.15,0.397932,0
0.061,0.15,0.397503,0
0.062,0.15,0.397503,0
0.062,0.15,0.396989,0
0.063,0.15,0.396989,0
0.063,0.15,0.396374,0
0.064,0.15,0.396374,0
0.064,0.15,0.39564,0
0.065,0.15,0.39564,0
0.065,0.15,0.394767,0
0.066,0.15,0.394767,0
0.066,0.15,0.393732,0
0.067,0.15,0.393732,0
0.067,0.15,0.39251,0
0.068,0.15,0.39251,0
0.068,0.15,0.391075,0
0.069,0.15,0.391075,0
0.069,0.15,0.389396,0
0.07,0.15,0.389396,0
0.07,0.15,0.387444,0
0.071,0.15,0.387444,0
0.071,0.15,0.385189,0
0.072,0.15,0.385189,0
0.072,0.15,0.3826,0
0.073,0.15,0.3826,0
0.073,0.15,0.379647,0
0.074,0.15,0.379647,0
0.074,0.15,0.376303,0
0.075,0.15,0.376303,0
0.075,0.15,0.372545,0
0.076,0.15,0.372545,0
0.076,0.15,0.36835,0
0.077,0.15,0.36835,0
0.077,0.15,0.363702,0
0.078,0.15,0.363702,0
0.078,0.15,0.358591,0
0.079,0.15,0.358591,0
0.079,0.15,0.35301,0
0.08,0.15,0.35301,0
0.08,0.15,0.34696,0
0.081,0.15,0.34696,0
0.081,0.15,0.340445,0
0.082,0.15,0.340445,0
0.082,0.15,0.33348,0
0.083,0.15,0.33348,0
0.083,0.15,0.326086,0
0.084,0.15,0.326086,0
0.084,0.15,0.318291,0
0.085,0.15,0.318291,0
0.085,0.15,0.310136,0
0.086,0.15,0.310136,0
0.086,0.15,0.301669,0
0.087,0.15,0.301669,0
0.087,0.15,0.292954,0
0.088,0.15,0.292954,0
0.088,0.15,0.284066,0
0.089,0.15,0.284066,0
0.089,0.15,0.275094,0
0.09,0.15,0.275094,0
0.09,0.15,0.266143,0
0.091,0.15,0.266143,0
0.091,0.15,0.257329,0
0.092,0.15,0.257329,0
0.092,0.15,0.248779,0
0.093,0.15,0.248779,0
0.093,0.15,0.240625,0
0.094,0.15,0.240625,0
0.094,0.15,0.232995,0
0.095,0.15,0.232995,0
0.095,0.15,0.226006,0
0.096,0.15,0.226006,0
0.096,0.15,0.219755,0
0.097,0.15,0.219755,0
0.097,0.15,0.214315,0
0.098,0.15,0.214315,0
0.098,0.15,0.209733,0
0.099,0.15,0.209733,0
0.099,0.15,0.206031,0
0.1,0.15,0.206031,0
0.1,0.15,0.203216,0
0.101,0.15,0.203216,0
0.101,0.15,0.201283,0
0.102,0.15,0.201283,0
0.102,0.15,0.200225,0
0.103,0.15,0.200225,0
0.103,0.15,0.200034,0
0.104,0.15,0.200034,0
0.104,0.15,0.20071,0
0.105,0.15,0.20071,0
0.105,0.15,0.202257,0
0.106,0.15,0.202257,0
0.106,0.15,0.204684,0
0.107,0.15,0.204684,0
0.107,0.15,0.207998,0
0.108,0.15,0.207998,0
0.108,0.15,0.212206,0
0.109,0.15,0.212206,0
0.109,0.15,0.217302,0
0.11,0.15,0.217302,0
0.11,0.15,0.223267,0
0.111,0.15,0.223267,0
0.111,0.15,0.230062,0
0.112,0.15,0.230062,0
0.112,0.15,0.237629,0
0.113,0.15,0.237629,0
0.113,0.15,0.245889,0
0.114,0.15,0.245889,0
0.114,0.15,0.25475,0
0.115,0.15,0.25475,0
0.115,0.15,0.264111,0
0.116,0.15,0.264111,0
0.116,0.15,0.273863,0
0.117,0.15,0.273863,0
0.117,0.15,0.283898,0
0.118,0.15,0.283898,0
0.118,0.15,0.294111,0
0.119,0.15,0.294111,0
0.119,0.15,0.304401,0
0.12,0.15,0.304401,0
0.12,0.15,0.314672,0
0.121,0.15,0.314672,0
0.121,0.15,0.324831,0
0.122,0.15,0.324831,0
0.122,0.15,0.33479,0
0.123,0.15,0.33479,0
0.123,0.15,0.344463,0
0.124,0.15,0.344463,0
0.124,0.15,0.353761,0
0.125,0.15,0.353761,0
0.125,0.15,0.362589,0
0.126,0.15,0.362589,0
0.126,0.15,0.37084,0
0.127,0.15,0.37084,0
0.127,0.15,0.378393,0
0.128,0.15,0.378393,0
0.128,0.15,0.385101,0
0.129,0.15,0.385101,0
0.129,0.15,0.390794,0
0.13,0.15,0.390794,0
0.13,0.15,0.395278,0
0.131,0.15,0.395278,0
0.131,0.15,0.398357,0
0.132,0.15,0.398357,0
0.132,0.15,0.399862,0
0.133,0.15,0.399862,0
0.133,0.15,0.399702,0
0.134,0.15,0.399702,0
0.134,0.15,0.397874,0
0.135,0.15,0.397874,0
0.135,0.15,0.394452,0
0.136,0.15,0.394452,0
0.136,0.15,0.389552,0
0.137,0.15,0.389552,0
0.137,0.15,0.383315,0
0.138,0.15,0.383315,0
0.138,0.15,0.375885,0
0.139,0.15,0.375885,0
0.139,0.15,0.367397,0
0.14,0.15,0.367397,0
0.14,0.15,0.357982,0
0.141,0.15,0.357982,0
0.141,0.15,0.347756,0
0.142,0.15,0.347756,0
0.142,0.15,0.336836,0
0.143,0.15,0.336836,0
0.143,0.15,0.325337,0
0.144,0.15,0.325337,0
0.144,0.15,0.313384,0
0.145,0.15,0.313384,0
0.145,0.15,0.301115,0
0.146,0.15,0.301115,0
0.146,0.15,0.28869,0
0.147,0.15,0.28869,0
0.147,0.15,0.276294,0
0.148,0.15,0.276294,0
0.148,0.15,0.264139,0
0.149,0.15,0.264139,0
0.149,0.15,0.252462,0
0.15,0.15,0.252462,0
0.15,0.15,0.241518,0
0.151,0.15,0.241518,0
0.151,0.15,0.231552,0
0.152,0.15,0.231552,0
0.152,0.15,0.222778,0
0.153,0.15,0.222778,0
0.153,0.15,0.215355,0
0.154,0.15,0.215355,0
0.154,0.15,0.209375,0
0.155,0.15,0.209375,0
0.155,0.15,0.204873,0
0.156,0.15,0.204873,0
0.156,0.15,0.201842,0
0.157,0.15,0.201842,0
0.157,0.15,0.200261,0
0.158,0.15,0.200261,0
0.158,0.15,0.200112,0
0.159,0.15,0.200112,0
0.159,0.15,0.201394,0
0.16,0.15,0.201394,0
0.16,0.15,0.204122,0
0.161,0.15,0.204122,0
0.161,0.15,0.208318,0
0.162,0.15,0.208318,0
0.162,0.15,0.214001,0
0.163,0.15,0.214001,0
0.163,0.15,0.221165,0
0.164,0.15,0.221165,0
0.164,0.15,0.229753,0
0.165,0.15,0.229753,0
0.165,0.15,0.239656,0
0.166,0.15,0.239656,0
0.166,0.15,0.25071,0
0.167,0.15,0.25071,0
0.167,0.15,0.262715,0
0.168,0.15,0.262715,0
0.168,0.15,0.275451,0
0.169,0.15,0.275451,0
0.169,0.15,0.288695,0
0.17,0.15,0.288695,0
0.17,0.15,0.302228,0
0.171,0.15,0.302228,0
0.171,0.15,0.315841,0
0.172,0.15,0.315841,0
0.172,0.15,0.329334,0
0.173,0.15,0.329334,0
0.173,0.15,0.342502,0
0.174,0.15,0.342502,0
0.174,0.15,0.355128,0
0.175,0.15,0.355128,0
0.175,0.15,0.366959,0
0.176,0.15,0.366959,0
0.176,0.15,0.377681,0
0.177,0.15,0.377681,0
0.177,0.15,0.386886,0
0.178,0.15,0.386886,0
0.178,0.15,0.394055,0
0.179,0.15,0.394055,0
0.179,0.15,0.398593,0
0.18,0.15,0.398593,0
0.18,0.15,0.399989,0
0.181,0.15,0.399989,0
0.181,0.15,0.398052,0
0.182,0.15,0.398052,0
0.182,0.15,0.392992,0
0.183,0.15,0.392992,0
0.183,0.15,0.385273,0
0.184,0.15,0.385273,0
0.184,0.15,0.375408,0
0.185,0.15,0.375408,0
0.185,0.15,0.363863,0
0.186,0.15,0.363863,0
0.186,0.15,0.351013,0
0.187,0.15,0.351013,0
0.187,0.15,0.337167,0
0.188,0.15,0.337167,0
0.188,0.15,0.322598,0
0.189,0.15,0.322598,0
0.189,0.15,0.307564,0
0.19,0.15,0.307564,0
0.19,0.15,0.292339,0
0.191,0.15,0.292339,0
0.191,0.15,0.277223,0
0.192,0.15,0.277223,0
0.192,0.15,0.262561,0
0.193,0.15,0.262561,0
0.193,0.15,0.248736,0
0.194,0.15,0.248736,0
0.194,0.15,0.236146,0
0.195,0.15,0.236146,0
0.195,0.15,0.225155,0
0.196,0.15,0.225155,0
0.196,0.15,0.216036,0
0.197,0.15,0.216036,0
0.197,0.15,0.208945,0
0.198,0.15,0.208945,0
0.198,0.15,0.203928,0
0.199,0.15,0.203928,0
0.199,0.15,0.200959,0
0.2,0.15,0.200959,0
0.2,0.15,0.2,0
0.201,0.15,0.2,0
0.201,0.15,0.201035,0
0.202,0.15,0.201035,0
0.202,0.15,0.20408,0
0.203,0.15,0.20408,0
0.203,0.15,0.209178,0
0.204,0.15,0.209178,0
0.204,0.15,0.216361,0
0.205,0.15,0.216361,0
0.205,0.15,0.2256,0
0.206,0.15,0.2256,0
0.206,0.15,0.236772,0
0.207,0.15,0.236772,0
0.207,0.15,0.249645,0
0.208,0.15,0.249645,0
0.208,0.15,0.2639,0
0.209,0.15,0.2639,0
0.209,0.15,0.279181,0
0.21,0.15,0.279181,0
0.21,0.15,0.295122,0
0.211,0.15,0.295122,0
0.211,0.15,0.311374,0
0.212,0.15,0.311374,0
0.212,0.15,0.327597,0
0.213,0.15,0.327597,0
0.213,0.15,0.343448,0
0.214,0.15,0.343448,0
0.214,0.15,0.358543,0
0.215,0.15,0.358543,0
0.215,0.15,0.372409,0
0.216,0.15,0.372409,0
0.216,0.15,0.384403,0
0.217,0.15,0.384403,0
0.217,0.15,0.393638,0
0.218,0.15,0.393638,0
0.218,0.15,0.399024,0
0.219,0.15,0.399024,0
0.219,0.15,0.399643,0
0.22,0.15,0.399643,0
0.22,0.15,0.395356,0
0.221,0.15,0.395356,0
0.221,0.15,0.386858,0
0.222,0.15,0.386858,0
0.222,0.15,0.375158,0
0.223,0.15,0.375158,0
0.223,0.15,0.361153,0
0.224,0.15,0.361153,0
0.224,0.15,0.345527,0
0.225,0.15,0.345527,0
0.225,0.15,0.328806,0
0.226,0.15,0.328806,0
0.226,0.15,0.311428,0
0.227,0.15,0.311428,0
0.227,0.15,0.293813,0
0.228,0.15,0.293813,0
0.228,0.15,0.276412,0
0.229,0.15,0.276412,0
0.229,0.15,0.259713,0
0.23,0.15,0.259713,0
0.23,0.15,0.244277,0
0.231,0.15,0.244277,0
0.231,0.15,0.230655,0
0.232,0.15,0.230655,0
0.232,0.15,0.21931,0
0.233,0.15,0.21931,0
0.233,0.15,0.210527,0
0.234,0.15,0.210527,0
0.234,0.15,0.204412,0
0.235,0.15,0.204412,0
0.235,0.15,0.200931,0
0.236,0.15,0.200931,0
0.236,0.15,0.200027,0
0.237,0.15,0.200027,0
0.237,0.15,0.201681,0
0.238,0.15,0.201681,0
0.238,0.15,0.20593,0
0.239,0.15,0.20593,0
0.239,0.15,0.212838,0
0.24,0.15,0.212838,0
0.24,0.15,0.22242,0
0.241,0.15,0.22242,0
0.241,0.15,0.23456,0
0.242,0.15,0.23456,0
0.242,0.15,0.248963,0
0.243,0.15,0.248963,0
0.243,0.15,0.265181,0
0.244,0.15,0.265181,0
0.244,0.15,0.2827,0
0.245,0.15,0.2827,0
0.245,0.15,0.300996,0
0.246,0.15,0.300996,0
0.246,0.15,0.319565,0
0.247,0.15,0.319565,0
0.247,0.15,0.337913,0
0.248,0.15,0.337913,0
0.248,0.15,0.355496,0
0.249,0.15,0.355496,0
0.249,0.15,0.371638,0
0.25,0.15,0.371638,0
0.25,0.15,0.385387,0
0.251,0.15,0.385387,0
0.251,0.15,0.395359,0
0.252,0.15,0.395359,0
0.252,0.15,0.399874,0
0.253,0.15,0.399874,0
0.253,0.15,0.397842,0
0.254,0.15,0.397842,0
0.254,0.15,0.389728,0
0.255,0.15,0.389728,0
0.255,0.15,0.377033,0
0.256,0.15,0.377033,0
0.256,0.15,0.361234,0
0.257,0.15,0.361234,0
0.257,0.15,0.343417,0
0.258,0.15,0.343417,0
0.258,0.15,0.324366,0
0.259,0.15,0.324366,0
0.259,0.15,0.304713,0
0.26,0.15,0.304713,0
0.26,0.15,0.285056,0
0.261,0.15,0.285056,0
0.261,0.15,0.266031,0
0.262,0.15,0.266031,0
0.262,0.15,0.248352,0
0.263,0.15,0.248352,0
0.263,0.15,0.232762,0
0.264,0.15,0.232762,0
0.264,0.15,0.219901,0
0.265,0.15,0.219901,0
0.265,0.15,0.210174,0
0.266,0.15,0.210174,0
0.266,0.15,0.203708,0
0.267,0.15,0.203708,0
0.267,0.15,0.200452,0
0.268,0.15,0.200452,0
0.268,0.15,0.200332,0
0.269,0.15,0.200332,0
0.269,0.15,0.203342,0
0.27,0.15,0.203342,0
0.27,0.15,0.209559,0
0.271,0.15,0.209559,0
0.271,0.15,0.219049,0
0.272,0.15,0.219049,0
0.272,0.15,0.231733,0
0.273,0.15,0.231733,0
0.273,0.15,0.247282,0
0.274,0.15,0.247282,0
0.274,0.15,0.265128,0
0.275,0.15,0.265128,0
0.275,0.15,0.284583,0
0.276,0.15,0.284583,0
0.276,0.15,0.304947,0
0.277,0.15,0.304947,0
0.277,0.15,0.325545,0
0.278,0.15,0.325545,0
0.278,0.15,0.34569,0
0.279,0.15,0.34569,0
0.279,0.15,0.36458,0
0.28,0.15,0.36458,0
0.28,0.15,0.381106,0
0.281,0.15,0.381106,0
0.281,0.15,0.393579,0
0.282,0.15,0.393579,0
0.282,0.15,0.399706,0
0.283,0.15,0.399706,0
0.283,0.15,0.397757,0
0.284,0.15,0.397757,0
0.284,0.15,0.388281,0
0.285,0.15,0.388281,0
0.285,0.15,0.373409,0
0.286,0.15,0.373409,0
0.286,0.15,0.355129,0
0.287,0.15,0.355129,0
0.287,0.15,0.334817,0
0.288,0.15,0.334817,0
0.288,0.15,0.313442,0
0.289,0.15,0.313442,0
0.289,0.15,0.29181,0
0.29,0.15,0.29181,0
0.29,0.15,0.270726,0
0.291,0.15,0.270726,0
0.291,0.15,0.251073,0
0.292,0.15,0.251073,0
0.292,0.15,0.233793,0
0.293,0.15,0.233793,0
0.293,0.15,0.219717,0
0.294,0.15,0.219717,0
0.294,0.15,0.209354,0
0.295,0.15,0.209354,0
0.295,0.15,0.202845,0
0.296,0.15,0.202845,0
0.296,0.15,0.200107,0
0.297,0.15,0.200107,0
0.297,0.15,0.20106,0
0.298,0.15,0.20106,0
0.298,0.15,0.205737,0
0.299,0.15,0.205737,0
0.299,0.15,0.214247,0
0.3,0.15,0.214247,0
0.3,0.15,0.226607,0
0.301,0.15,0.226607,0
0.301,0.15,0.242538,0
0.302,0.15,0.242538,0
0.302,0.15,0.261407,0
0.303,0.15,0.261407,0
0.303,0.15,0.282359,0
0.304,0.15,0.282359,0
0.304,0.15,0.304494,0
0.305,0.15,0.304494,0
0.305,0.15,0.326944,0
0.306,0.15,0.326944,0
0.306,0.15,0.348817,0
0.307,0.15,0.348817,0
0.307,0.15,0.369034,0
0.308,0.15,0.369034,0
0.308,0.15,0.385998,0
0.309,0.15,0.385998,0
0.309,0.15,0.397208,0
0.31,0.15,0.397208,0
0.31,0.15,0.399687,0
0.311,0.15,0.399687,0
0.311,0.15,0.392516,0
0.312,0.15,0.392516,0
0.312,0.15,0.37791,0
0.313,0.15,0.37791,0
0.313,0.15,0.3587,0
0.314,0.15,0.3587,0
0.314,0.15,0.336875,0
0.315,0.15,0.336875,0
0.315,0.15,0.313761,0
0.316,0.15,0.313761,0
0.316,0.15,0.290388,0
0.317,0.15,0.290388,0
0.317,0.15,0.26777,0
0.318,0.15,0.26777,0
0.318,0.15,0.247008,0
0.319,0.15,0.247008,0
0.319,0.15,0.229248,0
0.32,0.15,0.229248,0
0.32,0.15,0.215419,0
0.321,0.15,0.215419,0
0.321,0.15,0.20598,0
0.322,0.15,0.20598,0
0.322,0.15,0.200959,0
0.323,0.15,0.200959,0
0.323,0.15,0.200228,0
0.324,0.15,0.200228,0
0.324,0.15,0.20376,0
0.325,0.15,0.20376,0
0.325,0.15,0.21167,0
0.326,0.15,0.21167,0
0.326,0.15,0.224037,0
0.327,0.15,0.224037,0
0.327,0.15,0.240617,0
0.328,0.15,0.240617,0
0.328,0.15,0.260691,0
0.329,0.15,0.260691,0
0.329,0.15,0.283216,0
0.33,0.15,0.283216,0
0.33,0.15,0.307084,0
0.331,0.15,0.307084,0
0.331,0.15,0.33122,0
0.332,0.15,0.33122,0
0.332,0.15,0.354488,0
0.333,0.15,0.354488,0
0.333,0.15,0.375418,0
0.334,0.15,0.375418,0
0.334,0.15,0.391679,0
0.335,0.15,0.391679,0
0.335,0.15,0.399702,0
0.336,0.15,0.399702,0
0.336,0.15,0.396545,0
0.337,0.15,0.396545,0
0.337,0.15,0.383414,0
0.338,0.15,0.383414,0
0.338,0.15,0.363937,0
0.339,0.15,0.363937,0
0.339,0.15,0.340972,0
0.34,0.15,0.340972,0
0.34,0.15,0.316323,0
0.341,0.15,0.316323,0
0.341,0.15,0.291304,0
0.342,0.15,0.291304,0
0.342,0.15,0.267143,0
0.343,0.15,0.267143,0
0.343,0.15,0.245168,0
0.344,0.15,0.245168,0
0.344,0.15,0.226738,0
0.345,0.15,0.226738,0
0.345,0.15,0.212895,0
0.346,0.15,0.212895,0
0.346,0.15,0.204071,0
0.347,0.15,0.204071,0
0.347,0.15,0.200213,0
0.348,0.15,0.200213,0
0.348,0.15,0.201185,0
0.349,0.15,0.201185,0
0.349,0.15,0.207031,0
0.35,0.15,0.207031,0
0.35,0.15,0.217904,0
0.351,0.15,0.217904,0
0.351,0.15,0.23374,0
0.352,0.15,0.23374,0
0.352,0.15,0.253909,0
0.353,0.15,0.253909,0
0.353,0.15,0.277265,0
0.354,0.15,0.277265,0
0.354,0.15,0.302474,0
0.355,0.15,0.302474,0
0.355,0.15,0.328236,0
0.356,0.15,0.328236,0
0.356,0.15,0.353199,0
0.357,0.15,0.353199,0
0.357,0.15,0.375617,0
0.358,0.15,0.375617,0
0.358,0.15,0.392663,0
0.359,0.15,0.392663,0
0.359,0.15,0.399965,0
0.36,0.15,0.399965,0
0.36,0.15,0.394427,0
0.361,0.15,0.394427,0
0.361,0.15,0.378371,0
0.362,0.15,0.378371,0
0.362,0.15,0.356179,0
0.363,0.15,0.356179,0
0.363,0.15,0.330881,0
0.364,0.15,0.330881,0
0.364,0.15,0.304372,0
0.365,0.15,0.304372,0
0.365,0.15,0.27814,0
0.366,0.15,0.27814,0
0.366,0.15,0.253689,0
0.367,0.15,0.253689,0
0.367,0.15,0.232631,0
0.368,0.15,0.232631,0
0.368,0.15,0.216376,0
0.369,0.15,0.216376,0
0.369,0.15,0.205662,0
0.37,0.15,0.205662,0
0.37,0.15,0.200535,0
0.371,0.15,0.200535,0
0.371,0.15,0.200823,0
0.372,0.15,0.200823,0
0.372,0.15,0.206539,0
0.373,0.15,0.206539,0
0.373,0.15,0.217865,0
0.374,0.15,0.217865,0
0.374,0.15,0.234735,0
0.375,0.15,0.234735,0
0.375,0.15,0.25639,0
0.376,0.15,0.25639,0
0.376,0.15,0.28145,0
0.377,0.15,0.28145,0
0.377,0.15,0.30834,0
0.378,0.15,0.30834,0
0.378,0.15,0.335529,0
0.379,0.15,0.335529,0
0.379,0.15,0.361345,0
0.38,0.15,0.361345,0
0.38,0.15,0.383392,0
0.381,0.15,0.383392,0
0.381,0.15,0.397566,0
0.382,0.15,0.397566,0
0.382,0.15,0.398624,0
0.383,0.15,0.398624,0
0.383,0.15,0.385987,0
0.384,0.15,0.385987,0
0.384,0.15,0.364532,0
0.385,0.15,0.364532,0
0.385,0.15,0.338608,0
0.386,0.15,0.338608,0
0.386,0.15,0.310812,0
0.387,0.15,0.310812,0
0.387,0.15,0.282972,0
0.388,0.15,0.282972,0
0.388,0.15,0.256815,0
0.389,0.15,0.256815,0
0.389,0.15,0.234197,0
0.39,0.15,0.234197,0
0.39,0.15,0.216793,0
0.391,0.15,0.216793,0
0.391,0.15,0.2055,0
0.392,0.15,0.2055,0
0.392,0.15,0.200377,0
0.393,0.15,0.200377,0
0.393,0.15,0.20123,0
0.394,0.15,0.20123,0
0.394,0.15,0.208104,0
0.395,0.15,0.208104,0
0.395,0.15,0.221197,0
0.396,0.15,0.221197,0
0.396,0.15,0.240298,0
0.397,0.15,0.240298,0
0.397,0.15,0.264322,0
0.398,0.15,0.264322,0
0.398,0.15,0.291545,0
0.399,0.15,0.291545,0
0.399,0.15,0.320154,0
0.4,0.15,0.320154,0
0.4,0.15,0.348348,0
0.401,0.15,0.348348,0
0.401,0.15,0.373892,0
0.402,0.15,0.373892,0
0.402,0.15,0.393091,0
0.403,0.15,0.393091,0
0.403,0.15,0.399958,0
0.404,0.15,0.399958,0
0.404,0.15,0.390952,0
0.405,0.15,0.390952,0
0.405,0.15,0.370373,0
0.406,0.15,0.370373,0
0.406,0.15,0.343875,0
0.407,0.15,0.343875,0
0.407,0.15,0.314877,0
0.408,0.15,0.314877,0
0.408,0.15,0.285589,0
0.409,0.15,0.285589,0
0.409,0.15,0.257993,0
0.41,0.15,0.257993,0
0.41,0.15,0.234203,0
0.411,0.15,0.234203,0
0.411,0.15,0.21613,0
0.412,0.15,0.21613,0
0.412,0.15,0.204766,0
0.413,0.15,0.204766,0
0.413,0.15,0.200139,0
0.414,0.15,0.200139,0
0.414,0.15,0.202045,0
0.415,0.15,0.202045,0
0.415,0.15,0.210586,0
0.416,0.15,0.210586,0
0.416,0.15,0.225948,0
0.417,0.15,0.225948,0
0.417,0.15,0.247654,0
0.418,0.15,0.247654,0
0.418,0.15,0.274182,0
0.419,0.15,0.274182,0
0.419,0.15,0.303479,0
0.42,0.15,0.303479,0
0.42,0.15,0.333491,0
0.421,0.15,0.333491,0
0.421,0.15,0.362017,0
0.422,0.15,0.362017,0
0.422,0.15,0.385832,0
0.423,0.15,0.385832,0
0.423,0.15,0.399158,0
0.424,0.15,0.399158,0
0.424,0.15,0.39563,0
0.425,0.15,0.39563,0
0.425,0.15,0.377168,0
0.426,0.15,0.377168,0
0.426,0.15,0.350654,0
0.427,0.15,0.350654,0
0.427,0.15,0.320685,0
0.428,0.15,0.320685,0
0.428,0.15,0.289994,0
0.429,0.15,0.289994,0
0.429,0.15,0.260841,0
0.43,0.15,0.260841,0
0.43,0.15,0.235597,0
0.431,0.15,0.235597,0
0.431,0.15,0.216463,0
0.432,0.15,0.216463,0
0.432,0.15,0.204607,0
0.433,0.15,0.204607,0
0.433,0.15,0.200068,0
0.434,0.15,0.200068,0
0.434,0.15,0.202626,0
0.435,0.15,0.202626,0
0.435,0.15,0.212427,0
0.436,0.15,0.212427,0
0.436,0.15,0.229628,0
0.437,0.15,0.229628,0
0.437,0.15,0.253482,0
0.438,0.15,0.253482,0
0.438,0.15,0.28208,0
0.439,0.15,0.28208,0
0.439,0.15,0.313076,0
0.44,0.15,0.313076,0
0.44,0.15,0.344142,0
0.441,0.15,0.344142,0
0.441,0.15,0.37252,0
0.442,0.15,0.37252,0
0.442,0.15,0.393596,0
0.443,0.15,0.393596,0
0.443,0.15,0.399655,0
0.444,0.15,0.399655,0
0.444,0.15,0.38706,0
0.445,0.15,0.38706,0
0.445,0.15,0.362332,0
0.446,0.15,0.362332,0
0.446,0.15,0.332121,0
0.447,0.15,0.332121,0
0.447,0.15,0.300161,0
0.448,0.15,0.300161,0
0.448,0.15,0.269078,0
0.449,0.15,0.269078,0
0.449,0.15,0.241478,0
0.45,0.15,0.241478,0
0.45,0.15,0.219953,0
0.451,0.15,0.219953,0
