"time","Losses","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","uDC"
0.000000,480.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,565.685425
0.000030,798.304416,0.006070,-0.568684,0.562614,287.376909,-565.648599,278.271690,564.693689
0.000136,792.676871,0.041758,-0.606906,0.565148,303.452735,-565.147532,261.694797,561.147490
0.000200,789.423999,0.061467,-1.048633,0.987167,312.237923,-563.009268,250.771345,559.008358
0.000400,799.300548,0.122746,-6.734508,6.611763,339.563276,-556.380536,216.817260,552.368303
0.000600,827.840545,0.183541,-15.962165,15.778624,366.701389,-549.861748,183.160360,545.831107
0.000800,859.416493,0.243611,-24.855242,24.611631,393.538959,-543.466244,149.927285,539.417864
0.001000,877.974565,0.302721,-29.601161,29.298440,419.939417,-537.157913,117.218496,533.100087
0.001200,867.771885,0.360635,-26.544350,26.183715,445.742548,-530.849660,85.107112,526.797993
0.001400,814.697387,0.417126,-12.290684,11.873558,470.766896,-524.407135,53.640239,520.384019
0.001493,766.373381,0.441512,-0.952874,0.511362,481.411650,-516.336782,34.925132,517.310523
0.001600,744.164340,0.449948,-0.923638,0.473690,483.847668,-495.718845,11.871177,513.746637
0.001800,736.580402,0.491520,-0.935712,0.444192,501.296477,-477.632812,-23.663665,507.072529
0.001886,733.047694,0.508189,-0.938528,0.430339,508.195608,-469.270552,-38.925056,504.201162
0.002000,734.159806,6.452203,-6.850772,0.398569,504.426338,-451.497910,-52.928427,500.414043
0.002200,850.565264,43.879395,-44.220976,0.341581,498.119305,-419.850350,-78.268955,494.032201
0.002400,1111.468486,111.876357,-112.159602,0.283245,492.581365,-387.913270,-104.668095,488.358314
0.002600,1518.191813,205.322204,-205.545995,0.223791,488.176359,-355.983772,-132.192588,483.766467
0.002800,2069.835732,318.481310,-318.644764,0.163454,485.194649,-324.324321,-160.870328,480.558493
0.003000,2757.866118,445.148835,-445.251306,0.102472,483.845803,-293.158728,-190.687075,478.956369
0.003200,3561.953071,578.802412,-578.843497,0.041085,484.253587,-262.669282,-221.584306,479.096909
0.003400,4447.636676,712.762259,-712.741795,-0.020464,486.453159,-232.994621,-253.458538,481.028627
0.003600,5366.147577,840.353358,-840.271427,-0.081932,490.390494,-204.229259,-286.161235,484.710848
0.003800,6256.508854,955.069817,-954.926740,-0.143077,495.924001,-176.423621,-319.500380,490.014994
0.004000,7049.731032,1050.732371,-1050.528714,-0.203657,502.827927,-149.585522,-353.242405,496.727669
0.004200,7674.731143,1121.638750,-1121.375317,-0.263433,510.798141,-123.682508,-387.115634,504.556147
0.004400,8065.311145,1162.694442,-1162.372272,-0.322170,519.460829,-98.645487,-420.815342,513.136799
0.004600,8167.759486,1169.556762,-1169.177127,-0.379635,528.378573,-74.371720,-454.006853,522.040894
0.004800,7947.571637,1138.703232,-1138.267631,-0.435602,537.066381,-50.732116,-486.334265,530.790482
0.005000,7395.972220,1067.601245,-1067.111396,-0.489849,544.994464,-27.572267,-517.422197,538.860840
0.005200,6532.919918,954.662053,-954.119889,-0.542164,551.613804,-4.724597,-546.889206,545.706123
0.005233,6361.984071,931.727291,-931.176611,-0.550680,552.549804,-0.934609,-551.615194,546.688003
0.005400,5423.703792,808.134268,-790.161104,-17.973164,556.388140,-0.772187,-555.615953,550.790956
0.005600,4235.430647,644.174215,-559.662513,-84.511702,559.005636,-0.475150,-558.530486,553.802916
0.005800,3105.592416,463.790907,-263.372638,-200.418269,559.244458,-0.062954,-559.181504,554.518412
0.005949,2319.410684,319.196540,-0.379294,-318.817245,468.680483,89.385636,-558.066119,553.429221
0.006000,2254.531006,316.834670,-0.203765,-316.630905,380.602927,176.837726,-557.440653,552.808302
0.006200,2241.126922,317.551368,-0.143186,-317.408182,349.077642,205.891331,-554.968973,550.335122
0.006400,2298.909605,330.962550,-0.082042,-330.880508,317.331810,235.289337,-552.621147,547.960408
0.006600,2408.524532,353.030128,-0.020575,-353.009553,285.551509,264.976799,-550.528308,545.823369
0.006800,2549.345245,379.554891,0.040974,-379.595865,253.898736,294.873001,-548.771737,544.013683
0.007000,2698.659763,406.240744,0.102361,-406.343105,222.507259,324.868802,-547.376062,542.564572
