"Time","speed@expseu_","heat@expseu_","torque@expseu_","tempc@tpf_st_chamber","tau@tpf_st_chamber","press@tpf_st_chamber","dm2@tpf_pump","out2@division"
0.000000000000000E+00,1.000000000000000E+02,1.000000000000000E+05,5.542113338010400E-01,1.990395669635000E+01,2.500000000000000E+01,2.337000000000000E-02,1.303208228903200E-01,2.400000000000000E-01
1.000000000000000E+00,9.450848750590001E+01,1.000000000000000E+05,7.300177881576400E-01,2.815840971462200E+01,2.579611425499800E+01,3.835198510626500E-02,8.663880009518800E-02,2.479611425499800E-01
2.000000000000000E+00,8.889604985840000E+01,1.000000000000000E+05,8.881716915710600E-01,3.498667554880300E+01,2.624013631949900E+01,5.646624115908900E-02,4.032705682098700E-02,2.524013631949900E-01
3.000000000000000E+00,8.320594033380000E+01,1.000000000000000E+05,1.030234211485100E+00,4.108764944815700E+01,2.647071802356000E+01,7.849403022320800E-02,1.620444488668200E-02,2.547071802356000E-01
4.000000000000000E+00,7.747269406280000E+01,1.000000000000000E+05,1.157213061420200E+00,4.687285303245400E+01,2.659187969973800E+01,1.058580533993700E-01,3.486126587946800E-03,2.559187969973800E-01
5.000000000000000E+00,7.173301170160001E+01,1.000000000000000E+05,1.265074123013600E+00,5.254419911918000E+01,2.666372921250000E+01,1.402615895410900E-01,0.000000000000000E+00,2.566372921250000E-01
6.000000000000000E+00,6.603426005359999E+01,1.000000000000000E+05,1.345564712356400E+00,5.822604324277800E+01,2.673690609738900E+01,1.839035170359600E-01,0.000000000000000E+00,2.573690609738900E-01
7.000000000000000E+00,6.044621612690000E+01,1.000000000000000E+05,1.383962303758500E+00,6.392267709155200E+01,2.681574463768900E+01,2.387827592439100E-01,0.000000000000000E+00,2.581574463768900E-01
8.000000000000000E+00,5.507014173580000E+01,1.000000000000000E+05,1.362109685295900E+00,6.962815101245999E+01,2.689987467327400E+01,3.071012041576100E-01,0.000000000000000E+00,2.589987467327400E-01
9.000000000000000E+00,5.004425604080000E+01,1.000000000000000E+05,1.258553053488400E+00,7.533657522991000E+01,2.698893824248100E+01,3.913213040091000E-01,0.000000000000000E+00,2.598893824248100E-01
1.000000000000000E+01,4.554916315110000E+01,1.000000000000000E+05,1.048431129164900E+00,8.104275692827299E+01,2.708259698220000E+01,4.941745501585700E-01,0.000000000000000E+00,2.608259698220000E-01
1.100000000000000E+01,4.181334396150000E+01,1.000000000000000E+05,7.034176766781800E-01,8.674141988904699E+01,2.718051801939200E+01,6.186445450812000E-01,0.000000000000000E+00,2.618051801939200E-01
1.200000000000000E+01,3.912272743600000E+01,1.000000000000000E+05,1.852780475534900E-01,9.242765296380701E+01,2.728237884289800E+01,7.679614877516600E-01,0.000000000000000E+00,2.628237884289700E-01
1.300000000000000E+01,3.791167787700000E+01,1.000000000000000E+05,-6.584983407737300E-01,9.808980514869199E+01,2.738736858149800E+01,9.453450590228700E-01,0.000000000000000E+00,2.638736858149800E-01
1.400000000000000E+01,3.890759835110000E+01,1.000000000000000E+05,-1.861819265216800E+00,1.037264935034800E+02,2.749537073932800E+01,1.154451712680300E+00,0.000000000000000E+00,2.649537073932800E-01
1.500000000000000E+01,4.272458115530000E+01,1.000000000000000E+05,-3.424495652099000E+00,1.093356099565300E+02,2.760621971910300E+01,1.399121461918300E+00,0.000000000000000E+00,2.660621971910200E-01
1.600000000000000E+01,5.009001218830000E+01,1.000000000000000E+05,-5.443384450954100E+00,1.149117418733900E+02,2.771950200768400E+01,1.683189348419700E+00,0.000000000000000E+00,2.671950200768500E-01
1.700000000000000E+01,6.190920596010000E+01,1.000000000000000E+05,-8.001132673393400E+00,1.204486664592700E+02,2.783471939858600E+01,2.010473076484500E+00,0.000000000000000E+00,2.683471939858600E-01
1.800000000000000E+01,7.923381103080000E+01,9.991356052160000E+04,-1.118503588902100E+01,1.259388329065600E+02,2.795124062316000E+01,2.384634627575800E+00,0.000000000000000E+00,2.695124062316000E-01
1.900000000000000E+01,1.032359600650000E+02,9.803036248890001E+04,-1.509060747818300E+01,1.313726954797400E+02,2.806823278036400E+01,2.808980504182100E+00,0.000000000000000E+00,2.706823278036400E-01
2.000000000000000E+01,1.350713287140000E+02,9.442129173339999E+04,-1.981005282347300E+01,1.367331047384300E+02,2.818446357460900E+01,3.285725719470200E+00,0.000000000000000E+00,2.718446357460900E-01
2.100000000000000E+01,1.756980783580000E+02,8.900571609560000E+04,-2.532907309241400E+01,1.419073740881900E+02,2.829616702359500E+01,3.806032716295200E+00,0.000000000000000E+00,2.729616702359500E-01
2.200000000000000E+01,2.256687210490000E+02,8.185790981329999E+04,-3.153435488970800E+01,1.467855368580300E+02,2.839913282239700E+01,4.355534010950600E+00,0.000000000000000E+00,2.739913282239600E-01
2.300000000000000E+01,2.849351009620000E+02,7.323206433050000E+04,-3.818190053179600E+01,1.512523979531400E+02,2.848854728712000E+01,4.913005442407000E+00,0.000000000000000E+00,2.748854728712100E-01
2.400000000000000E+01,3.527460825350000E+02,6.354343618300000E+04,-4.491069715635100E+01,1.551964396092900E+02,2.855931415236700E+01,5.451488765894200E+00,0.000000000000000E+00,2.755931415236700E-01
2.500000000000000E+01,4.276553290160000E+02,5.331588284700000E+04,-5.129425965532800E+01,1.585207706971900E+02,2.860655136626900E+01,5.941126836833300E+00,0.000000000000000E+00,2.760655136627000E-01
2.600000000000000E+01,5.076476366070000E+02,4.310631366890000E+04,-5.690771686929400E+01,1.611535315222700E+02,2.862618290043300E+01,6.353284348360800E+00,0.000000000000000E+00,2.762618290043400E-01
