"time","k","x","der(x)"
0.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,-1.00000000000000E+00
1.00000000000000E-01,1.00000000000000E+00,9.08220305236276E-01,-9.08220305236276E-01
2.00000000000000E-01,1.00000000000000E+00,8.23254984550326E-01,-8.23254984550326E-01
3.00000000000000E-01,1.00000000000000E+00,7.45262473972472E-01,-7.45262473972472E-01
4.00000000000000E-01,1.00000000000000E+00,6.74316688482852E-01,-6.74316688482852E-01
5.00000000000000E-01,1.00000000000000E+00,6.09966031573891E-01,-6.09966031573891E-01
6.00000000000000E-01,1.00000000000000E+00,5.51693125621159E-01,-5.51693125621159E-01
7.00000000000000E-01,1.00000000000000E+00,4.98959960403382E-01,-4.98959960403382E-01
8.00000000000000E-01,1.00000000000000E+00,4.51255929420260E-01,-4.51255929420260E-01
9.00000000000000E-01,1.00000000000000E+00,4.08107937462837E-01,-4.08107937462837E-01
1.00000000000000E+00,1.00000000000000E+00,3.69127514500267E-01,-3.69127514500267E-01
