"time","der_p","der_T"
0.322,-65.44219304181001,-1.198880261219538
0.324,-67.4034238638418,-1.2920322788792657
0.326,-68.80179391177171,-1.3834509984809995
0.328,-69.64482353134906,-1.4731458508436317
0.33,-69.94003301838893,-1.5611262659505982
0.332,-69.69494261867749,-1.6474016729501189
0.334,-68.91707252809772,-1.7319815001551038
0.336,-67.61394289254542,-1.8148751750435674
0.338,-65.79307380800026,-1.8960921242584705
0.34,-63.461985320461736,-1.9756417736077134
0.342,-60.62819742596673,-2.053533548064516
0.344,-57.29923007067828,-2.129776871767381
0.346,-53.48260315079108,-2.2043811680202636
0.348,-49.185836512575634,-2.277355859292313
0.35,-44.41644995240824,-2.3487103672183913
0.352,-39.181963216755435,-2.418454112598993
0.354,-33.48989600212997,-2.486596515400348
0.356,-27.34776795521907,-2.5531469947543926
0.358,-20.763098672739602,-2.6181149689590653
0.36,-13.743407701600518,-2.681509855478303
0.362,-6.296214538775757,-2.7433410709420154
0.364,1.5709613686091188,-2.803618031146393
0.366,9.850600623327182,-2.862350151053895
0.368,18.5351838780183,-2.9195468447932122
0.37,27.61719183511775,-2.9752175256596
0.372,37.08910524697569,-3.029371606114844
0.374,46.94340491582386,-3.08201849778749
0.376,57.17257169363586,-3.1331676114722855
0.378,67.76908648228903,-3.182828357131418
0.38,78.72543023345429,-3.2310101438935837
0.382,90.03408394866165,-3.2777223800545996
0.384,101.68752867918795,-3.3229744730773483
0.386,113.67824552622949,-3.366775829591741
0.388,125.9987156407559,-3.4091358553950806
0.39,138.64142022346107,-3.4500639554521637
0.392,151.59884052490918,-3.4895695338947763
0.394,164.86345784545426,-3.5276619940228273
0.396,178.4277535351547,-3.5643507383032325
0.398,192.28420899392518,-3.599645168370913
0.4,206.42530567149328,-3.6335546850287455
0.402,220.84352506723172,-3.6660886882471733
0.404,235.5313487303548,-3.6972565771647687
0.406,250.48125825978946,-3.7270677500881684
0.408,265.68573530420946,-3.755531604491999
0.41,281.1372615620759,-3.782657537019454
0.412,296.8283187815418,-3.808454943481906
0.414,312.7513887605379,-3.8329332188591416
0.416,328.89895334667403,-3.856101757299287
0.418,345.2634944373254,-3.877969952119423
0.42,361.8374939795819,-3.898547195804967
0.422,378.61343397015037,-3.917842880010291
0.424,395.58379645553066,-3.935866395558639
0.426,412.7410635318726,-3.952627132442402
0.428,430.0777173450641,-3.968134479822472
0.43,447.5862400906804,-3.982397826029611
0.432,465.25911401387657,-3.9954265585632696
0.434,483.08882140957996,-4.007230064092391
0.436,501.0678446223361,-4.017817728455331
0.438,519.1886660464002,-4.027198936659951
0.44,537.4437681256875,-4.035383072883687
0.442,555.825633353661,-4.042379520473667
0.444,574.326744273528,-4.0481976619467845
0.446,592.9395834781368,-4.052846878989782
0.448,611.656633609866,-4.056336552459359
0.45,630.470377360875,-4.058676062382446
0.452,649.3732974727905,-4.059874787955706
0.454,668.3578767369569,-4.059942107546212
0.456,687.4165979943311,-4.058887398691751
0.458,706.5419441354206,-4.056720038099494
0.46,725.7263981003329,-4.053449401648102
0.462,744.9624428788165,-4.049084864386419
0.464,764.2425615101076,-4.043635800533733
0.466,783.5592370831774,-4.037111583480503
0.468,802.9049527364683,-4.029521585788032
0.47,822.272191657991,-4.0208751791881445
0.472,841.6534370853224,-4.011181734583887
0.474,861.0411723056471,-4.000450622049425
0.476,880.4278806556533,-3.9886912108303236
0.478,899.8060455216249,-3.975912869343242
0.48,919.16815033939,-3.9621249651762103
0.482,938.5066785942015,-3.9473368650885203
0.484,957.8141138209537,-3.9315579350114382
0.486,977.0829396039513,-3.9147975400478847
0.488,996.3056395771255,-3.8970650444723134
0.49,1015.4746974239772,-3.8783698117309924
0.492,1034.5825968773493,-3.858721204441895
0.494,1053.6218217196927,-3.8381285843954305
0.496,1072.5848557828444,-3.8166013125541034
0.498,1091.4641829482412,-3.7941487490523857
0.5,1110.2522871468,-3.770780253197027
0.502,1128.9416523588638,-3.7465051834671375
0.504,1147.5247626142464,-3.721332897514492
0.506,1165.9941019922808,-3.6952727521629853
0.508,1184.3421546216518,-3.6683341034095656
0.51,1202.5614046806652,-3.640526306423686
0.512,1220.6443363969065,-3.6118587155478297
0.514,1238.5834340475717,-3.582340684297161
0.516,1256.3711819591306,-3.5519815653598297
0.518,1274.0000645075893,-3.5207907105970744
0.52,1291.4625661182793,-3.4887774710434893
0.522,1308.7511712660512,-3.4559511969067414
0.524,1325.8583644751766,-3.422321237567819
0.526,1342.776630319277,-3.387896941581164
0.528,1359.498453421379,-3.352687656674943
0.53,1376.0163184539608,-3.3167027297509257
0.532,1392.3227101387847,-3.2799515068843865
0.534,1408.410113247155,-3.242443333324391
0.536,1424.2710125996018,-3.204187553494081
0.538,1439.8978930661308,-3.165193510990168
0.54,1455.2832395660644,-3.1254705485838317
0.542,1470.4195370680907,-3.085028008220386
0.544,1485.2992705903032,-3.043875231019192
0.546,1499.9149252001473,-3.002021557274133
0.548,1514.2589860143105,-2.9594763264531028
0.55,1528.3239381989247,-2.916248877199098
0.552,1542.10226696935,-2.8723485473291213
0.554,1555.5864575903784,-2.8277846738352475
0.556,1568.7689953761287,-2.7825665928843133
0.558,1581.642365689977,-2.7367036398180304
0.56,1594.1990539446156,-2.690205149152659
0.562,1606.431545602095,-2.6430804545798803
0.564,1618.3323261736584,-2.5953388889663294
0.566,1629.893881219949,-2.54698978435422
0.568,1641.1086963508449,-2.4980424719605105
0.57,1651.9692572255567,-2.4485062821779255
0.572,1662.4680495525195,-2.398390544574685
0.574,1672.5975590893988,-2.347704587894188
0.576,1682.3502716432638,-2.2964577400560664
0.578,1691.718673070297,-2.2446593281553344
0.58,1700.6952492760843,-2.192318678463007
0.582,1709.272486215314,-2.139445116425684
0.584,1717.4428698920096,-2.0860479666666922
0.586,1725.1988863593415,-2.0321365529847535
0.588,1732.5330217198007,-1.9777201983551336
0.59,1739.437762125061,-1.9228082249292044
0.592,1745.9055937760518,-1.867409954034901
0.594,1751.9290029228405,-1.8115347061764262
0.596,1757.5004758647801,-1.7551918010348788
0.598,1762.6124989504303,-1.6983905574676492
0.6,1767.257558577459,-1.6411402935088781
0.602,1771.4281411928123,-1.583450326369666
0.604,1775.1167332925775,-1.525329972437869
0.606,1778.315821422062,-1.4667885472784947
0.608,1781.0178921756665,-1.4078353656336309
0.61,1783.2154321970434,-1.3484797414225196
0.612,1784.9009281789229,-1.2887309877416833
0.614,1786.0668668633148,-1.2285984168646715
0.616,1786.7057350412574,-1.168091340242939
0.618,1786.810019553012,-1.107219068505167
0.62,1786.3722072879127,-1.0459909114577772
0.622,1785.3847851845235,-0.9844161780849168
0.624,1783.8402402304405,-0.9225041765484993
0.626,1781.731059462441,-0.8602642141880843
0.628,1779.0497299663652,-0.7977055975216875
0.63,1775.7887388772504,-0.7348376322448942
0.632,1771.9405733791496,-0.6716696232316782
0.634,1767.497720705274,-0.6082108745342539
0.636,1762.4526681378684,-0.5444706893831591
0.638,1756.7979030083281,-0.48045837018733306
0.64,1750.5259126971014,-0.416183218533993
0.642,1743.629184633738,-0.3516545351893948
0.644,1736.1002062968048,-0.28688162009804163
0.646,1727.9314652139897,-0.22187377238350658
0.648,1719.1154489620135,-0.15664029034811333
0.65,1709.644645166646,-0.09119047147304626
0.652,1699.5115415027165,-0.0255336124185922
0.654,1688.7086256941084,0.04032099097581465
0.656,1677.2283855136998,0.10636404369162089
0.658,1665.0633087834713,0.17258625153083096
0.66,1652.2058833743579,0.23897832111620498
0.662,1638.6485972063383,0.30553095989095325
0.664,1624.383938248428,0.37223487611867284
0.666,1609.4043945186163,0.4390807788834681
0.668,1593.7024540839036,0.506059378089572
0.67,1577.2706050603183,0.5731613844614057
0.672,1560.1013356128326,0.6403775095435345
0.674,1542.1871339554443,0.7076984657004861
0.676,1523.5204883510964,0.7751149661165775
0.678,1504.0938871117335,0.8426177247961515
0.68,1483.8998185982587,0.9101974565631863
0.682,1462.9307712205446,0.9778448770612881
0.684,1441.1792334373995,1.04555070275362
0.686,1418.6376937565988,1.113305650922816
0.688,1395.2986407348728,1.181100439670899
0.69,1371.154562977876,1.248925787919155
0.692,1346.1979491401983,1.3167724154080926
0.694,1320.4212879253714,1.3846310426973314
0.696,1293.8170680858389,1.4524923911655079
0.698,1266.3777784229646,1.5203471830101738
0.7,1252.3409955626305,1.554241782965403
0.702,1252.3377164874596,1.554186908894406
0.704,1252.3344376025652,1.554132037779055
0.706,1252.331158907937,1.5540771696191484
0.708,1252.3278804035524,1.5540223044144474
0.71,1252.3246020894044,1.553967442164757
0.712,1252.3213239654774,1.5539125828698621
