"Time","y_sum - Integer output signal","y_product - Integer output signal","y_triggeredAdd - Integer output signal","y_multiSwitch - Output depending on expression"
0,1,0,0,4
0,1,0,0,4
0.006,1,0,0,4
0.009,1,0,0,4
0.012,1,0,0,4
0.015,1,0,0,4
0.018,1,0,0,4
0.021,1,0,0,4
0.024,1,0,0,4
0.027,1,0,0,4
0.03,1,0,0,4
0.033,1,0,0,4
0.036,1,0,0,4
0.039,1,0,0,4
0.042,1,0,0,4
0.045,1,0,0,4
0.048,1,0,0,4
0.051,1,0,0,4
0.054,1,0,0,4
0.057,1,0,0,4
0.06,1,0,0,4
0.063,1,0,0,4
0.066,1,0,0,4
0.069,1,0,0,4
0.072,1,0,0,4
0.075,1,0,0,4
0.078,1,0,0,4
0.081,1,0,0,4
0.084,1,0,0,4
0.087,1,0,0,4
0.09,1,0,0,4
0.093,1,0,0,4
0.096,1,0,0,4
0.099,1,0,0,4
0.102,1,0,0,4
0.105,1,0,0,4
0.108,1,0,0,4
0.111,1,0,0,4
0.114,1,0,0,4
0.117,1,0,0,4
0.12,1,0,0,4
0.123,1,0,0,4
0.126,1,0,0,4
0.129,1,0,0,4
0.132,1,0,0,4
0.135,1,0,0,4
0.138,1,0,0,4
0.141,1,0,0,4
0.144,1,0,0,4
0.147,1,0,0,4
0.15,1,0,0,4
0.153,1,0,0,4
0.156,1,0,0,4
0.159,1,0,0,4
0.162,1,0,0,4
0.165,1,0,0,4
0.168,1,0,0,4
0.171,1,0,0,4
0.174,1,0,0,4
0.177,1,0,0,4
0.18,1,0,0,4
0.183,1,0,0,4
0.186,1,0,0,4
0.189,1,0,0,4
0.192,1,0,0,4
0.195,1,0,0,4
0.198,1,0,0,4
0.201,1,0,0,4
0.204,1,0,0,4
0.207,1,0,0,4
0.21,1,0,0,4
0.213,1,0,0,4
0.216,1,0,0,4
0.219,1,0,0,4
0.222,1,0,0,4
0.225,1,0,0,4
0.228,1,0,0,4
0.231,1,0,0,4
0.234,1,0,0,4
0.237,1,0,0,4
