    "time",     "uDC",  "iAC[1]",  "iAC[2]",  "iAC[3]",  "uAC[1]",  "uAC[2]",  "uAC[3]",  "Losses"
    0.0056, 553.79584, 644.49958,-559.96736,-84.532223, 558.99919,-0.47543466,-558.52376, 4237.4726
    0.0057, 554.45637, 556.30671,-419.96268,-136.34402, 559.43152,-0.28361837, -559.1479, 3655.2488
    0.0058, 554.51555, 464.13014,-263.68547,-200.44467, 559.24225,-0.063240742,  -559.179,   3107.43
    0.0059, 553.94755,   368.142,-91.356376,-276.78563, 558.40593,0.18542906,-558.59136, 2616.9461
     0.006, 552.80893, 317.07522,-0.20376502,-316.87145, 380.60349, 176.83827,-557.44176, 2255.7998
    0.0061, 551.57365, 315.59344,-0.17356126,-315.41987, 364.88249, 191.32106,-556.20355,  2238.964
    0.0062, 550.34194, 317.73483,-0.14318589,-317.59165, 349.08109, 205.89507,-554.97616, 2242.1126
    0.0063, 549.13509, 323.05091,-0.11266986,-322.93824, 333.22497,   220.555,-553.77997,  2263.043
    0.0064, 547.97133, 331.08857,-0.082042333,-331.00652, 317.33737, 235.29495,-552.63232, 2299.6105
    0.0065, 546.86869, 341.29612,-0.051333834,-341.24479, 301.44201, 250.10812,-551.55013, 2349.1778
    0.0066, 545.83957, 353.14785,-0.02057467,-353.12728, 285.55972, 264.98503,-550.54474,  2409.206
    0.0067, 544.89328, 366.11185,0.010204798,-366.12205,  269.7098, 279.91461,-549.62441, 2477.0506
    0.0068, 544.03569, 379.65082,0.040974195,-379.69179, 253.90985, 294.88408,-548.79393, 2549.9346
    0.0069,  543.2689, 393.22468,0.071703156,-393.29638, 238.17555, 309.87878,-548.05432, 2624.9422
     0.007, 542.59135, 406.29424,0.10236135, -406.3966, 222.52075,  324.8822,-547.40295, 2699.0334
    0.0071,  541.9979, 418.32495,0.13291853,-418.45787, 206.95746, 339.87613,-546.83359, 2769.0701
    0.0072, 541.47986, 428.79042,0.16334454,-428.95376,  191.4959, 354.84061,-546.33651, 2831.8543
    0.0073, 541.02505, 437.17582,0.19360934,-437.36943, 176.14449, 369.75402,-545.89851, 2884.1774
    0.0074, 540.61817, 442.98021,0.22368307,-443.20389, 160.90999, 384.59328,-545.50327, 2922.8744
    0.0075, 540.24054,  445.7204,0.25353606,-445.97393, 145.79741, 399.33373,-545.13114, 2944.8944
    0.0076, 539.87002, 444.93559,0.28313885,-445.21873, 130.80998, 413.94911,-544.75909, 2947.3839
    0.0077, 539.48149, 440.18937,0.31246219,-440.50183,  115.9493,  428.4118, -544.3611, 2927.7614
    0.0078, 539.04707, 431.07231,0.34147718,-431.41379, 101.21547, 442.69299,-543.90846, 2883.7979
    0.0079,  538.5363, 417.20438,0.37015518,-417.57453, 86.607219, 456.76277,-543.36999, 2813.6965
     0.008, 537.91636, 398.23748,0.39846788,-398.63595, 72.121938, 470.59021,-542.71215, 2716.1715
    0.0081, 537.15221, 373.85787,0.42638733,-374.28426, 57.755759, 484.14351,-541.89927, 2590.5218
    0.0082, 536.20683, 343.78831,  0.453886, -344.2422, 43.503665, 497.39012,-540.89378, 2436.6961
    0.0083, 535.04145, 307.78987,0.48093673,-308.27081,  29.35961, 510.29682,-539.65643, 2255.3472
    0.0084, 533.61583, 265.66363,0.50751283,-266.17114, 15.316626, 522.82996,-538.14659, 2047.8747
    0.0085, 531.88858, 217.25243,0.53358809,-217.78602, 1.3669588, 534.95559,-536.32254, 1816.4532
    0.0086, 529.82405, 159.21497, 7.0099264, -166.2249, 0.1522049, 533.99622,-534.14843, 1563.2462
    0.0087, 527.41951, 87.082722, 28.692651,-115.77537,0.058390012, 531.56292,-531.62131, 1322.5888
    0.0088, 524.68198,0.81877571, 65.482172,-66.300947,-0.064663331,  528.8127,-528.74804, 1102.9084
    0.0089, 521.78065,0.33194582,  67.21445,-67.546396,-96.984103, 525.91436,-428.93026, 1016.4197
     0.009, 518.91444,0.30282597, 76.119597,-76.422423,-110.11983, 523.06594,-412.94611, 1037.8254
    0.0091, 516.12959,0.27340727, 91.950281,-92.223688,-123.45259, 520.31272,-396.86013, 1090.7214
    0.0092,  513.4721,0.24371876, 114.14772,-114.39144, -136.9903, 517.69961, -380.7093, 1174.0793
    0.0093, 510.98209,0.21378971, 142.13344,-142.34723,-150.73781, 515.26554,-364.52773,  1287.078
    0.0094,  508.6963,0.18364968, 175.29329,-175.47694,-164.69809, 513.04605,-348.34796, 1428.8866
    0.0095, 506.64693,0.15332842, 212.97587, -213.1292,-178.87172, 511.07201,-332.20029, 1598.4998
    0.0096, 504.86173,0.12285584, 254.50816,-254.63102,-193.25694, 509.36985, -316.1129, 1794.6667
    0.0097, 503.36429,0.092262003, 299.19427,-299.28653,-207.84983, 507.96175,-300.11192, 2015.7568
    0.0098, 502.17293,0.061577141, 346.31826,-346.37983,-222.64371, 506.86462,-284.22091, 2259.6567
    0.0099, 501.30207,0.030831896, 395.15318,-395.18401,-237.62974,  506.0914,-268.46166, 2523.7268
      0.01,  500.7597,5.5903189e-005, 444.95976,-444.95981,-252.79635, 505.64861,-252.85225, 2804.7168
    0.0101, 500.55003,-0.030720668, 494.99656,-494.96583,-268.12984, 505.53898,-237.40914, 3098.7825
    0.0102, 500.67269,-0.061474463, 544.52206,-544.46058,-283.61759, 505.76066,-222.14307, 3401.4765
    0.0103, 501.12221,-0.092154709, 592.79802,-592.70586,-299.23075,  506.3067,-207.07595, 3707.7709
    0.0104, 501.88768,-0.1227419, 639.09474,  -638.972,-314.95338, 507.16473,-192.21136, 4012.1228
    0.0105, 502.95326,-0.15322077, 682.69626,-682.54304, -330.7692, 508.31748,-177.54828, 4308.5659
    0.0106, 504.29845,-0.18354337,   722.905,-722.72146,-346.64331, 509.74306,-163.09975, 4590.8172
    0.0107, 505.89833,-0.21367585,  759.0458,-758.83212,-362.54562, 511.41519,-148.86957, 4852.4099
    0.0108, 507.72361,-0.24361505, 790.46979,-790.22618,-378.45928, 513.30328,-134.84399, 5086.8469
    0.0109, 509.74079,-0.27331227, 816.55903,-816.28572,-394.34257, 515.37261,-121.03003, 5287.7501
     0.011, 511.91236,-0.30270719, 836.72984,-836.42713,-410.14599, 517.58449, -107.4385, 5449.0316
    0.0111, 514.19703,-0.33183273,  850.4365,-850.10467, -425.8648, 519.89653,-94.031734, 5565.1035
    0.0112, 516.54997,-0.36066607, 857.17428,-856.81361,-441.46467, 522.26292,-80.798242, 5631.0101
    0.0113, 518.92317,-0.38906276,  856.4828,-856.09374,-456.84892,  524.6347,-67.785774, 5642.5672
    0.0114, 521.26569,-0.41707863,  847.9491,-847.53202,-472.01958, 526.96012,-54.940537, 5596.6388
    0.0115, 523.52403,-0.44482493, 831.21034,-830.76551,-487.00516, 529.18495,-42.179785, 5491.2473
    0.0116, 525.64242,-0.47201022, 805.95581, -805.4838,-501.63175,  531.2528,-29.621054, 5325.4891
    0.0117, 527.56322,-0.49857496, 771.92933,-771.43075,-515.84049, 533.10551,-17.265025, 5099.8986
    0.0118, 529.22724,-0.52499307, 728.93105,-728.40606,-529.83855,  534.6835,-4.8449545, 4816.7121
    0.0119, 530.57334, -3.625748, 678.27821,-674.65246,-535.25417,  535.9252,-0.67102604, 4476.0437
     0.012, 531.57321,-19.308485, 624.77962,-605.47113,-536.21623, 536.80239,-0.58616206, 4107.3292
    0.0121,  532.2075,-48.324475,  568.6749,-520.35042,-536.82342, 537.29545,-0.47202547, 3724.1122
    0.0122, 532.45849,-90.542971, 509.85354,-419.31057,-537.05781, 537.38658,-0.32876727, 3337.1097
    0.0123, 532.30834,-145.82896, 448.22823,-302.39927,-536.90132, 537.05789,-0.15657016, 2959.7785
    0.0124, 531.73853,  -214.043, 383.73192,-169.68892,-536.33523, 536.29088,0.044354034, 2608.2105
    0.0125, 530.72948,-295.03836, 316.31898,-21.280623,-535.33977, 535.06601,0.27375746, 2301.0363
    0.0126, 529.46576, -317.1553, 317.37909,-0.22379094,-534.09922,  378.9452, 155.15403, 2198.3765
    0.0127, 528.28963,-333.13707, 333.33079,-0.19371796,-532.95503, 363.33659, 169.61844, 2273.6233
    0.0128, 527.23279,-352.94681, 353.11026,-0.1634538,-531.93778, 347.69587, 184.24191, 2371.7724
    0.0129, 526.31927,-376.01399, 376.14702,-0.13302833,-531.07037, 332.04942, 199.02096, 2490.6747
     0.013, 525.56858,-401.74461, 401.84708,-0.10247156,-530.37111, 316.42139, 213.94973, 2627.9674
