"time","C1_v","C3_v","C5_v","L1_i","L2_i"
0,0,0,0,0,0
0.1,0,0,0,0,0
0.2,0,0,0,0,0
0.3,0,0,0,0,0
0.4,0,0,0,0,0
0.5,0,0,0,0,0
0.6,0,0,0,0,0
0.7,0,0,0,0,0
0.8,0,0,0,0,0
0.9,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1.1,0.0736489,0.00831374,0.00431633,0.00252489,0.000233029
1.2,0.141529,0.0160953,0.00812131,0.00983993,0.00093007
1.3,0.203761,0.0235426,0.011574,0.0215633,0.00209137
1.4,0.260478,0.0308391,0.0148176,0.0373041,0.00372146
1.5,0.31184,0.038168,0.0179922,0.0566373,0.00582918
1.6,0.358021,0.045689,0.0212163,0.0791427,0.00842853
1.7,0.399207,0.053539,0.024589,0.104408,0.0115383
1.8,0.435595,0.0618354,0.0281944,0.132027,0.0151814
1.9,0.467395,0.0706776,0.0321043,0.161603,0.019384
2,0.494826,0.0801485,0.0363788,0.192747,0.0241751
2.1,0.518116,0.0903087,0.0410631,0.225086,0.0295868
2.2,0.537502,0.101203,0.046192,0.258252,0.0356536
2.3,0.553221,0.112867,0.0518006,0.291901,0.0424073
2.4,0.565522,0.125313,0.0579068,0.325696,0.0498837
2.5,0.57465,0.138544,0.0645291,0.35933,0.0581129
2.6,0.580859,0.152547,0.0716738,0.392501,0.0671281
2.7,0.584391,0.167298,0.0793478,0.424944,0.0769534
2.8,0.585501,0.182757,0.0875475,0.456402,0.0876157
2.9,0.584428,0.198879,0.0962702,0.48665,0.0991305
3,0.581419,0.215603,0.105504,0.515477,0.111515
3.1,0.576707,0.232863,0.115239,0.542702,0.124774
3.2,0.570524,0.250583,0.125458,0.568166,0.13891
3.3,0.563092,0.268681,0.136142,0.591731,0.153916
3.4,0.554626,0.287072,0.147273,0.613285,0.169778
3.5,0.54533,0.305662,0.158826,0.632738,0.186474
3.6,0.535401,0.324358,0.170779,0.650022,0.203972
3.7,0.525023,0.343063,0.183103,0.665092,0.222236
3.8,0.51437,0.361676,0.195771,0.677924,0.241217
3.9,0.503606,0.3801,0.208753,0.688512,0.260863
4,0.492881,0.398237,0.222017,0.696874,0.281109
4.1,0.482334,0.415988,0.235532,0.703041,0.301887
4.2,0.472091,0.433261,0.249264,0.707065,0.323121
4.3,0.462267,0.449965,0.263177,0.709013,0.344725
4.4,0.452961,0.466014,0.277236,0.708968,0.366611
4.5,0.444262,0.481326,0.291405,0.707026,0.388682
4.6,0.436245,0.495824,0.305645,0.703296,0.410839
4.7,0.42897,0.509442,0.319919,0.697901,0.432974
4.8,0.422485,0.522117,0.334188,0.690972,0.454974
4.9,0.416833,0.533794,0.348413,0.682644,0.476735
5,0.412042,0.544424,0.362554,0.673055,0.498149
5.1,0.408125,0.553973,0.376571,0.662359,0.519098
5.2,0.405082,0.562413,0.390425,0.650709,0.539468
5.3,0.402913,0.56972,0.404076,0.638258,0.559151
5.4,0.401611,0.575875,0.417483,0.625159,0.578045
5.5,0.401146,0.580882,0.430607,0.611566,0.596041
5.6,0.401486,0.584748,0.443409,0.597631,0.61304
5.7,0.402595,0.587485,0.455851,0.583503,0.628949
5.8,0.404439,0.589104,0.467898,0.569326,0.643683
5.9,0.406963,0.589641,0.479511,0.555237,0.657163
6,0.410112,0.58914,0.490658,0.541363,0.669317
6.1,0.413828,0.587642,0.501303,0.52783,0.680083
6.2,0.418057,0.585185,0.51142,0.514764,0.689402
6.3,0.422733,0.581835,0.520977,0.502263,0.697235
6.4,0.427789,0.577657,0.529948,0.490422,0.703551
6.5,0.433161,0.572721,0.538309,0.479326,0.708329
6.6,0.438782,0.567083,0.54604,0.469071,0.711542
6.7,0.444588,0.560829,0.553121,0.45971,0.713199
6.8,0.450513,0.554039,0.559537,0.451296,0.713312
6.9,0.456493,0.546794,0.565277,0.44387,0.711906
7,0.462466,0.539167,0.57033,0.437487,0.708991
7.1,0.468374,0.531248,0.574691,0.432157,0.704621
7.2,0.474162,0.52312,0.578357,0.427887,0.698853
7.3,0.479779,0.514869,0.581332,0.424673,0.691752
7.4,0.48517,0.50657,0.583616,0.422531,0.683366
7.5,0.490295,0.498308,0.585218,0.421428,0.673789
7.6,0.495115,0.490158,0.586152,0.421333,0.663112
7.7,0.499598,0.482198,0.586433,0.422203,0.651434
7.8,0.503703,0.474497,0.586075,0.424014,0.638838
7.9,0.50741,0.467124,0.585102,0.426704,0.625441
8,0.510701,0.460139,0.583538,0.430211,0.611357
8.1,0.513563,0.4536,0.581414,0.434464,0.596709
8.2,0.515976,0.447563,0.578754,0.439407,0.581602
8.3,0.517938,0.442073,0.575594,0.444961,0.56616
8.4,0.51945,0.437169,0.57197,0.451045,0.55051
8.5,0.520521,0.432883,0.567922,0.457575,0.534779
8.6,0.52115,0.429249,0.563484,0.464475,0.51908
8.7,0.52135,0.426289,0.5587,0.47166,0.503533
8.8,0.521141,0.424015,0.553612,0.479043,0.488258
8.9,0.520547,0.422431,0.548267,0.486541,0.47337
9,0.519585,0.421548,0.542707,0.494071,0.458976
9.1,0.51828,0.421362,0.536976,0.501554,0.445179
9.2,0.516665,0.42186,0.531121,0.508913,0.432076
9.3,0.514772,0.423021,0.525189,0.516072,0.419757
9.4,0.512633,0.424829,0.519223,0.52296,0.408308
9.5,0.510279,0.42726,0.513267,0.52951,0.397804
9.6,0.507749,0.430279,0.507365,0.535663,0.388309
9.7,0.50508,0.433845,0.501561,0.541365,0.379879
9.8,0.50231,0.437919,0.495893,0.546565,0.372563
9.9,0.499471,0.442464,0.490401,0.551213,0.366407
10,0.496604,0.447425,0.485121,0.555277,0.361432
10.1,0.493743,0.452751,0.480089,0.558728,0.357655
10.2,0.490923,0.458388,0.475335,0.561543,0.355084
10.3,0.488178,0.464288,0.47089,0.563694,0.353732
10.4,0.485539,0.47039,0.46678,0.565178,0.353577
10.5,0.483035,0.476636,0.463027,0.565993,0.354596
10.6,0.480695,0.482969,0.459651,0.566144,0.356759
10.7,0.478545,0.489335,0.456673,0.565627,0.360042
10.8,0.476606,0.495676,0.454104,0.564466,0.364389
10.9,0.474899,0.501936,0.451954,0.562684,0.36974
11,0.473438,0.508062,0.450228,0.560311,0.376033
11.1,0.472244,0.514003,0.448934,0.557365,0.383215
11.2,0.471323,0.519711,0.448071,0.553891,0.3912
11.3,0.470684,0.525139,0.447634,0.549933,0.399907
11.4,0.470329,0.530247,0.447615,0.545538,0.409246
11.5,0.470266,0.534991,0.448011,0.540743,0.419146
11.6,0.470492,0.539338,0.448805,0.535606,0.429505
11.7,0.471001,0.543259,0.449982,0.530181,0.440228
11.8,0.471783,0.546728,0.451522,0.524528,0.451217
11.9,0.472837,0.549717,0.453409,0.518695,0.462387
12,0.474147,0.55221,0.455619,0.512742,0.473637
12.1,0.475697,0.554198,0.458125,0.506728,0.48487
12.2,0.477468,0.555672,0.4609,0.500712,0.495995
12.3,0.479447,0.556623,0.463919,0.494747,0.506922
12.4,0.481612,0.557053,0.46715,0.488888,0.517565
12.5,0.483939,0.55697,0.470563,0.483189,0.527839
12.6,0.486404,0.556386,0.474125,0.477701,0.537668
12.7,0.488985,0.55531,0.477805,0.472471,0.546975
12.8,0.491658,0.553759,0.481571,0.467546,0.555693
12.9,0.494394,0.551758,0.48539,0.462965,0.563761
13,0.497167,0.549335,0.48923,0.458764,0.571127
13.1,0.499952,0.546514,0.493058,0.454979,0.577737
13.2,0.502724,0.543326,0.496844,0.451641,0.58355
13.3,0.505457,0.539807,0.500559,0.448772,0.588534
13.4,0.508125,0.535997,0.504173,0.446389,0.592668
13.5,0.510705,0.531931,0.507658,0.444511,0.595927
13.6,0.513174,0.527646,0.510989,0.44315,0.598297
13.7,0.51551,0.523188,0.514141,0.44231,0.59978
13.8,0.517695,0.518599,0.517094,0.441987,0.600385
13.9,0.519708,0.51392,0.519827,0.442181,0.600118
14,0.521533,0.509193,0.522321,0.442887,0.598992
14.1,0.523157,0.50446,0.524562,0.444089,0.597039
14.2,0.524566,0.499765,0.526537,0.445766,0.594295
14.3,0.525751,0.495147,0.528235,0.447898,0.590798
14.4,0.5267,0.490645,0.529647,0.450466,0.58658
14.5,0.527411,0.486296,0.530768,0.453438,0.581701
14.6,0.527878,0.482137,0.531597,0.456778,0.576215
14.7,0.528102,0.4782,0.532134,0.460453,0.570182
14.8,0.528078,0.474517,0.532375,0.464432,0.563654
14.9,0.527813,0.471116,0.532329,0.468671,0.556703
15,0.527313,0.46802,0.532004,0.473128,0.549397
15.1,0.526584,0.465252,0.531408,0.47776,0.541808
15.2,0.525632,0.462833,0.530548,0.482529,0.533998
15.3,0.52447,0.460777,0.529441,0.487389,0.526043
15.4,0.523111,0.459094,0.528102,0.492293,0.518014
15.5,0.521571,0.457792,0.526547,0.497199,0.509983
15.6,0.519861,0.456882,0.524792,0.502066,0.502015
15.7,0.518,0.456362,0.522858,0.506849,0.49418
15.8,0.516008,0.456228,0.520765,0.51151,0.486542
15.9,0.513903,0.456474,0.518537,0.516008,0.479164
16,0.511702,0.457098,0.516192,0.520306,0.472106
16.1,0.509427,0.458086,0.513754,0.52437,0.465421
16.2,0.5071,0.45942,0.511247,0.528167,0.45916
16.3,0.504741,0.461082,0.508694,0.531671,0.453367
16.4,0.50237,0.463059,0.506117,0.534851,0.448089
16.5,0.500008,0.465324,0.50354,0.537686,0.44336
16.6,0.497676,0.467853,0.500984,0.540157,0.43921
16.7,0.495393,0.470617,0.498473,0.542249,0.43566
16.8,0.493179,0.473593,0.496026,0.543946,0.432738
16.9,0.491052,0.476751,0.493663,0.545239,0.430456
17,0.489028,0.480058,0.491404,0.546126,0.42882
17.1,0.487124,0.483483,0.489265,0.546606,0.427828
17.2,0.485354,0.486996,0.487264,0.546676,0.427485
17.3,0.483734,0.490565,0.485415,0.546343,0.427782
17.4,0.482273,0.494157,0.483731,0.545618,0.428702
17.5,0.480982,0.49774,0.482223,0.544514,0.430221
17.6,0.47987,0.501284,0.480901,0.543043,0.432322
17.7,0.478945,0.504759,0.479774,0.541223,0.434979
17.8,0.478212,0.508136,0.478847,0.539077,0.438153
17.9,0.477672,0.511387,0.478124,0.53663,0.441806
18,0.47733,0.514485,0.477607,0.533906,0.445901
18.1,0.477186,0.517407,0.477299,0.53093,0.450398
18.2,0.477237,0.52013,0.477197,0.527734,0.455247
18.3,0.47748,0.522634,0.477298,0.524352,0.460398
18.4,0.47791,0.524901,0.477596,0.520813,0.465801
18.5,0.478522,0.526914,0.478088,0.517148,0.471411
18.6,0.479307,0.52866,0.478764,0.513393,0.477171
18.7,0.480255,0.53013,0.479614,0.509582,0.483027
18.8,0.481355,0.531316,0.480627,0.505749,0.488928
18.9,0.482598,0.532208,0.481794,0.501926,0.494823
19,0.483971,0.532807,0.4831,0.498147,0.500661
19.1,0.485457,0.533113,0.484531,0.494443,0.506391
19.2,0.487043,0.533129,0.486071,0.490846,0.511965
19.3,0.488717,0.532854,0.487708,0.487384,0.517337
19.4,0.490459,0.532299,0.489424,0.484086,0.522466
19.5,0.492256,0.531475,0.491201,0.480976,0.52731
19.6,0.494089,0.530394,0.493023,0.478079,0.531834
19.7,0.495944,0.529064,0.494876,0.475418,0.536
19.8,0.497805,0.527505,0.49674,0.47301,0.53978
19.9,0.499654,0.525734,0.4986,0.470873,0.54315
20,0.501477,0.523772,0.500439,0.469018,0.546088
20.1,0.503258,0.521633,0.502242,0.467462,0.548571
20.2,0.504982,0.519343,0.503994,0.466211,0.550587
20.3,0.506636,0.516923,0.50568,0.46527,0.55213
20.4,0.508208,0.514399,0.507287,0.46464,0.553196
20.5,0.509683,0.51179,0.508801,0.464327,0.553777
20.6,0.511051,0.509123,0.510212,0.464326,0.553878
20.7,0.512303,0.50642,0.511508,0.464631,0.55351
20.8,0.51343,0.503708,0.512682,0.465233,0.552686
20.9,0.514424,0.501008,0.513723,0.466126,0.551413
21,0.515277,0.498345,0.514626,0.467297,0.549714
21.1,0.515986,0.495739,0.515385,0.468729,0.547612
21.2,0.516548,0.493214,0.515997,0.470404,0.545134
21.3,0.516958,0.49079,0.516458,0.472308,0.542304
21.4,0.517215,0.488486,0.516765,0.47442,0.539152
21.5,0.517321,0.48632,0.516921,0.476717,0.535713
21.6,0.517278,0.484307,0.516927,0.479174,0.532024
21.7,0.517087,0.482465,0.516784,0.481771,0.528118
21.8,0.516753,0.480805,0.516495,0.484483,0.524032
21.9,0.51628,0.479339,0.516068,0.487283,0.519806
22,0.515677,0.478076,0.515507,0.490146,0.515481
22.1,0.514949,0.477023,0.51482,0.493046,0.511095
22.2,0.514104,0.476188,0.514014,0.495958,0.506684
