"time","mu","x0","der(x0)","x1","der(x1)"
0.00000000000000E+00,1.00000000000000E+00,2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00
1.00000000000000E-01,1.00000000000000E+00,1.98899305016652E+00,-1.66756257734482E-01,-1.66756257734482E-01,-1.49604598500462E+00
2.00000000000000E-01,1.00000000000000E+00,1.96547541113037E+00,-2.96392288841121E-01,-2.96392288841121E-01,-1.11687654830284E+00
3.00000000000000E-01,1.00000000000000E+00,1.93112340681615E+00,-3.95800129500204E-01,-3.95800129500204E-01,-8.50890806409922E-01
4.00000000000000E-01,1.00000000000000E+00,1.88796142138602E+00,-4.73156160867536E-01,-4.73156160867536E-01,-6.74600553270678E-01
5.00000000000000E-01,1.00000000000000E+00,1.83771064934132E+00,-5.35781071590018E-01,-5.35781071590018E-01,-5.64062370816715E-01
6.00000000000000E-01,1.00000000000000E+00,1.78157333557595E+00,-5.89339211736141E-01,-5.89339211736141E-01,-5.00347797086619E-01
7.00000000000000E-01,1.00000000000000E+00,1.72027460105407E+00,-6.37975316029680E-01,-6.37975316029680E-01,-4.70261044926315E-01
8.00000000000000E-01,1.00000000000000E+00,1.65417235633206E+00,-6.84724598021595E-01,-6.84724598021595E-01,-4.65294496631917E-01
9.00000000000000E-01,1.00000000000000E+00,1.58334953942233E+00,-7.31902842929137E-01,-7.31902842929137E-01,-4.80375055476681E-01
1.00000000000000E+00,1.00000000000000E+00,1.50767385050564E+00,-7.81409335071750E-01,-7.81409335071750E-01,-5.12876910784264E-01
1.10000000000000E+00,1.00000000000000E+00,1.42683008585027E+00,-8.34949233101536E-01,-8.34949233101536E-01,-5.61952854046161E-01
1.20000000000000E+00,1.00000000000000E+00,1.34033224634953E+00,-8.94197975129946E-01,-8.94197975129946E-01,-6.28112026672920E-01
1.30000000000000E+00,1.00000000000000E+00,1.24752067917513E+00,-9.60927559233358E-01,-9.60927559233358E-01,-7.12949139526150E-01
1.40000000000000E+00,1.00000000000000E+00,1.14754772869573E+00,-1.03710625394431E+00,-1.03710625394431E+00,-8.18924236604556E-01
1.50000000000000E+00,1.00000000000000E+00,1.03935465916516E+00,-1.12497224821355E+00,-1.12497224821355E+00,-9.49066515501654E-01
1.60000000000000E+00,1.00000000000000E+00,9.21643332580886E-01,-1.22706609082872E+00,-1.22706609082872E+00,-1.10640705144653E+00
