"Time","SignalOutput1"
0,0
0,0
0.01,0
0.02,2.72782e-07
0.03,0.000719145
0.04,0.00224224
0.05,0.00261753
0.06,0.00436886
0.07,0.00541098
0.08,0.00640737
0.09,0.00801444
0.1,0.00874589
0.11,0.0102319
0.12,0.0111838
0.13,0.0122587
0.14,0.0134249
0.15,0.0142281
0.16,0.0153234
0.17,0.0160776
0.18,0.0168531
0.19,0.017542
0.2,0.0180424
0.21,0.0186299
0.22,0.0189515
0.23,0.0193723
0.24,0.0196074
0.25,0.0197027
0.26,0.0200367
0.27,0.0200024
0.28,0.0199629
0.29,0.0198138
0.3,0.0195897
0.31,0.0194072
0.32,0.0189149
0.33,0.01875
0.34,0.0180062
0.35,0.01767
0.36,0.0169373
0.37,0.016283
0.38,0.0156085
0.39,0.0147392
0.4,0.0139863
0.41,0.0130356
0.42,0.0121442
0.43,0.0111415
0.44,0.0101258
0.45,0.00905767
0.46,0.00794763
0.47,0.00680984
0.48,0.00563314
0.49,0.00443828
0.5,0.00321851
0.51,0.00198741
0.52,0.000745654
0.53,-0.000499336
0.54,-0.00174294
0.55,-0.00298033
0.56,-0.0042059
0.57,-0.00541534
0.58,-0.00660331
0.59,-0.00776544
0.6,-0.00889689
0.61,-0.00999328
0.62,-0.0110502
0.63,-0.0120635
0.64,-0.0130292
0.65,-0.0139434
0.66,-0.0148025
0.67,-0.0156029
0.68,-0.0163416
0.69,-0.0170153
0.7,-0.0176212
0.71,-0.0181569
0.72,-0.0186198
0.73,-0.0190078
0.74,-0.0193192
0.75,-0.0195524
0.76,-0.019706
0.77,-0.0197793
0.78,-0.0198163
0.79,-0.0198218
0.8,-0.0196055
0.81,-0.0191149
0.82,-0.0190286
0.83,-0.018241
0.84,-0.0180382
0.85,-0.0172152
0.86,-0.01662
0.87,-0.0160111
0.88,-0.0150142
0.89,-0.0144196
0.9,-0.013332
0.91,-0.0124975
0.92,-0.0114775
0.93,-0.010408
0.94,-0.00939084
0.95,-0.00821517
0.96,-0.00711334
0.97,-0.00591728
0.98,-0.0047188
0.99,-0.00351462
1,-0.00226349
1.01,-0.00103765
1.02,0.000219672
1.03,0.00146395
1.04,0.00270348
1.05,0.00394144
1.06,0.005153
1.07,0.006355
1.08,0.00752626
1.09,0.00866988
1.1,0.00978161
1.11,0.0108513
1.12,0.0118822
1.13,0.0128637
1.14,0.0137957
1.15,0.0146737
1.16,0.0154925
1.17,0.0162515
1.18,0.0169449
1.19,0.0175717
1.2,0.0181285
1.21,0.0186126
1.22,0.0190229
1.23,0.0193558
1.24,0.0196123
1.25,0.0197877
1.26,0.0198849
1.27,0.0199275
1.28,0.0199454
1.29,0.0199323
1.3,0.0196421
