"time","Piston_body_r_00_2_","Inertia_w"
0,0.4,0
0.0005,0.4,0
0.0005,0.4,0.00470722
0.001,0.4,0.00470722
0.001,0.4,0.00943175
0.0015,0.4,0.00943175
0.0015,0.4,0.0141781
0.002,0.4,0.0141781
0.002,0.4,0.0189557
0.0025,0.4,0.0189557
0.0025,0.4,0.0237775
0.003,0.4,0.0237775
0.003,0.4,0.0286549
0.0035,0.4,0.0286549
0.0035,0.4,0.0335996
0.004,0.4,0.0335996
0.004,0.4,0.0386235
0.0045,0.4,0.0386235
0.0045,0.4,0.0437381
0.005,0.4,0.0437381
0.005,0.4,0.0489557
0.0055,0.4,0.0489557
0.0055,0.4,0.0542884
0.006,0.4,0.0542884
0.006,0.4,0.0597487
0.0065,0.4,0.0597487
0.0065,0.4,0.0653495
0.007,0.4,0.0653495
0.007,0.4,0.071104
0.0075,0.4,0.071104
0.0075,0.4,0.0770256
0.008,0.4,0.0770256
0.008,0.4,0.0831284
0.0085,0.4,0.0831284
0.0085,0.4,0.0894266
0.009,0.4,0.0894266
0.009,0.4,0.0959351
0.0095,0.4,0.0959351
0.0095,0.4,0.102669
0.01,0.4,0.102669
0.01,0.4,0.109645
0.0105,0.4,0.109645
0.0105,0.4,0.116878
0.011,0.4,0.116878
0.011,0.4,0.124386
0.0115,0.4,0.124386
0.0115,0.4,0.132187
0.012,0.4,0.132187
0.012,0.4,0.140298
0.0125,0.4,0.140298
0.0125,0.4,0.14874
0.013,0.4,0.14874
0.013,0.4,0.157531
0.0135,0.4,0.157531
0.0135,0.4,0.166692
0.014,0.4,0.166692
0.014,0.4,0.176245
0.0145,0.4,0.176245
0.0145,0.4,0.186213
0.015,0.4,0.186213
0.015,0.4,0.196619
0.0155,0.4,0.196619
0.0155,0.4,0.207487
0.016,0.4,0.207487
0.016,0.4,0.218843
0.0165,0.4,0.218843
0.0165,0.399999,0.230713
0.017,0.399999,0.230713
0.017,0.399999,0.243126
0.0175,0.399999,0.243126
0.0175,0.399999,0.256111
0.018,0.399999,0.256111
0.018,0.399999,0.269697
0.0185,0.399999,0.269697
0.0185,0.399999,0.283918
0.019,0.399999,0.283918
0.019,0.399999,0.298806
0.0195,0.399999,0.298806
0.0195,0.399999,0.314397
0.02,0.399999,0.314397
0.02,0.399999,0.330727
0.0205,0.399999,0.330727
0.0205,0.399999,0.347835
0.021,0.399999,0.347835
0.021,0.399999,0.365761
0.0215,0.399999,0.365761
0.0215,0.399999,0.384546
0.022,0.399999,0.384546
0.022,0.399999,0.404235
0.0225,0.399999,0.404235
0.0225,0.399998,0.424875
0.023,0.399998,0.424875
0.023,0.399998,0.446514
0.0235,0.399998,0.446514
0.0235,0.399998,0.469202
0.024,0.399998,0.469202
0.024,0.399998,0.492994
0.0245,0.399998,0.492994
0.0245,0.399998,0.517944
0.025,0.399998,0.517944
0.025,0.399998,0.544112
0.0255,0.399998,0.544112
0.0255,0.399997,0.571559
0.026,0.399997,0.571559
0.026,0.399997,0.600349
0.0265,0.399997,0.600349
0.0265,0.399997,0.630551
0.027,0.399997,0.630551
0.027,0.399996,0.662234
0.0275,0.399996,0.662234
0.0275,0.399996,0.695474
0.028,0.399996,0.695474
0.028,0.399996,0.730349
0.0285,0.399996,0.730349
0.0285,0.399995,0.766939
0.029,0.399995,0.766939
0.029,0.399995,0.805332
0.0295,0.399995,0.805332
0.0295,0.399994,0.845618
0.03,0.399994,0.845618
0.03,0.399994,0.88789
0.0305,0.399994,0.88789
0.0305,0.399993,0.932248
0.031,0.399993,0.932248
0.031,0.399992,0.978796
0.0315,0.399992,0.978796
0.0315,0.399992,1.02764
0.032,0.399992,1.02764
0.032,0.399991,1.0789
0.0325,0.399991,1.0789
0.0325,0.39999,1.1327
0.033,0.39999,1.1327
0.033,0.399989,1.18915
0.0335,0.399989,1.18915
0.0335,0.399987,1.2484
0.034,0.399987,1.2484
0.034,0.399986,1.31058
0.0345,0.399986,1.31058
0.0345,0.399985,1.37583
0.035,0.399985,1.37583
0.035,0.399983,1.44431
0.0355,0.399983,1.44431
0.0355,0.399982,1.51618
0.036,0.399982,1.51618
0.036,0.39998,1.59161
0.0365,0.39998,1.59161
0.0365,0.399978,1.67077
0.037,0.399978,1.67077
0.037,0.399975,1.75384
0.0375,0.399975,1.75384
0.0375,0.399973,1.84103
0.038,0.399973,1.84103
0.038,0.39997,1.93252
0.0385,0.39997,1.93252
0.0385,0.399967,2.02855
0.039,0.399967,2.02855
0.039,0.399964,2.12932
0.0395,0.399964,2.12932
0.0395,0.39996,2.23508
0.04,0.39996,2.23508
0.04,0.399956,2.34606
0.0405,0.399956,2.34606
0.0405,0.399952,2.46252
0.041,0.399952,2.46252
0.041,0.399947,2.58474
0.0415,0.399947,2.58474
0.0415,0.399941,2.71299
0.042,0.399941,2.71299
0.042,0.399935,2.84758
0.0425,0.399935,2.84758
0.0425,0.399929,2.98879
0.043,0.399929,2.98879
0.043,0.399921,3.13697
0.0435,0.399921,3.13697
0.0435,0.399913,3.29245
0.044,0.399913,3.29245
0.044,0.399904,3.45557
0.0445,0.399904,3.45557
0.0445,0.399895,3.62672
0.045,0.399895,3.62672
0.045,0.399884,3.80627
0.0455,0.399884,3.80627
0.0455,0.399872,3.99464
0.046,0.399872,3.99464
0.046,0.399859,4.19223
0.0465,0.399859,4.19223
0.0465,0.399845,4.3995
0.047,0.399845,4.3995
0.047,0.399829,4.61689
0.0475,0.399829,4.61689
0.0475,0.399812,4.84489
0.048,0.399812,4.84489
0.048,0.399793,5.084
0.0485,0.399793,5.084
0.0485,0.399772,5.33472
0.049,0.399772,5.33472
0.049,0.399749,5.59761
0.0495,0.399749,5.59761
0.0495,0.399723,5.87322
0.05,0.399723,5.87322
0.05,0.399695,6.16213
0.0505,0.399695,6.16213
0.0505,0.399664,6.46493
0.051,0.399664,6.46493
0.051,0.39963,6.78226
0.0515,0.39963,6.78226
0.0515,0.399593,7.11475
0.052,0.399593,7.11475
0.052,0.399552,7.46307
0.0525,0.399552,7.46307
0.0525,0.399506,7.8279
0.053,0.399506,7.8279
0.053,0.399456,8.20993
0.0535,0.399456,8.20993
0.0535,0.399401,8.60989
0.054,0.399401,8.60989
0.054,0.399341,9.0285
0.0545,0.399341,9.0285
0.0545,0.399274,9.46651
0.055,0.399274,9.46651
0.055,0.399201,9.92469
0.0555,0.399201,9.92469
0.0555,0.399121,10.4038
0.056,0.399121,10.4038
0.056,0.399033,10.9046
0.0565,0.399033,10.9046
0.0565,0.398935,11.4278
0.057,0.398935,11.4278
0.057,0.398829,11.9743
0.0575,0.398829,11.9743
0.0575,0.398712,12.5448
0.058,0.398712,12.5448
0.058,0.398583,13.1399
0.0585,0.398583,13.1399
0.0585,0.398441,13.7605
0.059,0.398441,13.7605
0.059,0.398286,14.4073
0.0595,0.398286,14.4073
0.0595,0.398116,15.0808
0.06,0.398116,15.0808
0.06,0.397929,15.7816
0.0605,0.397929,15.7816
0.0605,0.397724,16.5103
0.061,0.397724,16.5103
0.061,0.3975,17.2674
0.0615,0.3975,17.2674
0.0615,0.397254,18.0532
0.062,0.397254,18.0532
0.062,0.396985,18.8681
0.0625,0.396985,18.8681
0.0625,0.396691,19.7121
0.063,0.396691,19.7121
0.063,0.39637,20.5853
0.0635,0.39637,20.5853
0.0635,0.396018,21.4877
0.064,0.396018,21.4877
0.064,0.395635,22.4191
0.0645,0.395635,22.4191
0.0645,0.395216,23.3789
0.065,0.395216,23.3789
0.065,0.394761,24.3668
0.0655,0.394761,24.3668
0.0655,0.394264,25.3819
0.066,0.394264,25.3819
0.066,0.393725,26.4233
0.0665,0.393725,26.4233
0.0665,0.393138,27.49
0.067,0.393138,27.49
0.067,0.392501,28.5807
0.0675,0.392501,28.5807
0.0675,0.391811,29.6939
0.068,0.391811,29.6939
0.068,0.391064,30.828
0.0685,0.391064,30.828
0.0685,0.390256,31.9813
0.069,0.390256,31.9813
0.069,0.389384,33.152
0.0695,0.389384,33.152
0.0695,0.388443,34.338
0.07,0.388443,34.338
0.07,0.38743,35.5373
0.0705,0.38743,35.5373
0.0705,0.386342,36.7479
0.071,0.386342,36.7479
0.071,0.385173,37.9677
0.0715,0.385173,37.9677
0.0715,0.383921,39.1947
0.072,0.383921,39.1947
0.072,0.382582,40.427
0.0725,0.382582,40.427
0.0725,0.381151,41.6628
0.073,0.381151,41.6628
0.073,0.379626,42.9005
0.0735,0.379626,42.9005
0.0735,0.378004,44.1388
0.074,0.378004,44.1388
0.074,0.37628,45.3765
0.0745,0.37628,45.3765
0.0745,0.374452,46.6128
0.075,0.374452,46.6128
0.075,0.372518,47.8473
0.0755,0.372518,47.8473
0.0755,0.370475,49.0796
0.076,0.370475,49.0796
0.076,0.36832,50.31
0.0765,0.36832,50.31
0.0765,0.366053,51.5389
0.077,0.366053,51.5389
0.077,0.36367,52.7673
0.0775,0.36367,52.7673
0.0775,0.361172,53.9964
0.078,0.361172,53.9964
0.078,0.358556,55.2276
0.0785,0.358556,55.2276
0.0785,0.355823,56.463
0.079,0.355823,56.463
0.079,0.352972,57.7047
0.0795,0.352972,57.7047
0.0795,0.350003,58.9552
0.08,0.350003,58.9552
0.08,0.346918,60.2172
0.0805,0.346918,60.2172
0.0805,0.343716,61.4938
0.081,0.343716,61.4938
0.081,0.3404,62.7883
0.0815,0.3404,62.7883
0.0815,0.336972,64.104
0.082,0.336972,64.104
0.082,0.333433,65.4445
0.0825,0.333433,65.4445
0.0825,0.329786,66.8135
0.083,0.329786,66.8135
0.083,0.326035,68.215
0.0835,0.326035,68.215
0.0835,0.322185,69.6528
0.084,0.322185,69.6528
0.084,0.318238,71.1308
0.0845,0.318238,71.1308
0.0845,0.314202,72.653
0.085,0.314202,72.653
0.085,0.31008,74.2232
0.0855,0.31008,74.2232
0.0855,0.305882,75.845
0.086,0.305882,75.845
0.086,0.301612,77.5221
0.0865,0.301612,77.5221
0.0865,0.29728,79.2575
0.087,0.29728,79.2575
0.087,0.292895,81.0539
0.0875,0.292895,81.0539
0.0875,0.288467,82.9134
0.088,0.288467,82.9134
0.088,0.284006,84.8374
0.0885,0.284006,84.8374
0.0885,0.279524,86.8261
0.089,0.279524,86.8261
0.089,0.275034,88.8787
0.0895,0.275034,88.8787
0.0895,0.270549,90.9929
0.09,0.270549,90.9929
0.09,0.266084,93.1649
0.0905,0.266084,93.1649
0.0905,0.261653,95.3887
0.091,0.261653,95.3887
0.091,0.257271,97.6566
0.0915,0.257271,97.6566
0.0915,0.252956,99.9582
