"time","Counter_SWC_input_data","Counter_SWC_output_data","Counter_output_data"
0,0,0,0
0.1,0,0,0
0.2,0,0,0
0.3,0,0,0
0.5,0,0,0
0.7,0,1,1
0.9,0,1,1
1.1,0,1,1
1.2,0,1,1
1.3,0,1,1
1.4,0,1,1
1.5,1,2,2
1.6,1,2,2
1.7,1,2,2
1.8,1,2,2
1.9,1,2,2
2.1,1,2,2
2.2,1,2,2
2.3,1,2,2
2.4,1,2,2
2.5,2,3,3
2.6,2,3,3
2.7,2,3,3
2.8,2,3,3
2.9,2,3,3
3,2,3,3
3.1,2,3,3
3.2,2,3,3
3.3,2,3,3
3.4,2,3,3
3.5,3,4,4
3.6,3,4,4
3.7,3,4,4
3.8,3,4,4
3.9,3,4,4
4.1,3,4,4
4.3,3,4,4
4.5,3,4,4
4.7,4,5,5
4.9,4,5,5
5.1,4,5,5
5.3,4,5,5
5.5,4,5,5
5.7,5,6,6
5.9,5,6,6
6.1,5,6,6
6.3,5,6,6
6.5,5,6,6
6.7,6,7,7
6.9,6,7,7
7.1,6,7,7
7.3,6,7,7
7.5,6,7,7
7.7,7,8,8
7.9,7,8,8
8.1,7,8,8
8.3,7,8,8
8.5,7,8,8
8.7,8,9,9
8.9,8,9,9
9.1,8,9,9
9.3,8,9,9
9.5,8,9,9
9.7,9,10,10
9.9,9,10,10
10.1,9,10,10
10.3,9,10,10
10.5,9,10,10
10.7,10,11,11
10.9,10,11,11
11.1,10,11,11
11.3,10,11,11
11.5,10,11,11
11.7,11,12,12
11.9,11,12,12
12.1,11,12,12
12.3,11,12,12
12.5,11,12,12
12.7,12,13,13
12.9,12,13,13
13.1,12,13,13
13.3,12,13,13
13.5,12,13,13
13.7,13,14,14
13.9,13,14,14
14.1,13,14,14
14.3,13,14,14
14.5,13,14,14
14.7,14,15,15
14.9,14,15,15
15.1,14,15,15
15.3,14,15,15
15.5,14,15,15
15.7,15,16,16
15.9,15,16,16
16.1,15,16,16
16.2,15,16,16
16.3,15,16,16
16.4,15,16,16
16.5,15,16,16
16.6,16,17,17
16.7,16,17,17
16.8,16,17,17
16.9,16,17,17
17,16,17,17
17.1,16,17,17
17.2,16,17,17
17.3,16,17,17
17.4,16,17,17
17.5,16,17,17
17.6,17,18,18
17.7,17,18,18
17.8,17,18,18
17.9,17,18,18
18,17,18,18
18.1,17,18,18
18.2,17,18,18
18.3,17,18,18
18.4,17,18,18
18.5,17,18,18
18.6,18,19,19
18.7,18,19,19
18.8,18,19,19
18.9,18,19,19
19,18,19,19
19.1,18,19,19
19.2,18,19,19
19.3,18,19,19
19.4,18,19,19
