"time","speed","Rarm","i"
0.0001,0,3.99986,35.1413
0.0091,4.9296,3.9869,35.4065
0.0182,10.0077,3.97379,35.2967
0.0273,15.0623,3.96069,35.1871
0.0363,20.0383,3.94773,35.0791
0.0453,24.9915,3.93477,34.9714
0.0543,29.9219,3.92181,34.864
0.0633,34.8296,3.90885,34.7569
0.0723,39.7148,3.89589,34.6502
0.0813,44.5774,3.88293,34.5437
0.0903,49.4176,3.86997,34.4375
0.0993,54.2354,3.85701,34.3317
0.1083,59.0309,3.84405,34.2261
0.1173,63.8042,3.83109,34.1209
0.1263,68.5553,3.81813,34.016
0.1354,73.3368,3.80502,33.9102
0.1445,78.0959,3.79192,33.8047
0.1536,82.8325,3.77882,33.6995
0.1627,87.5468,3.76571,33.5947
0.1718,92.2389,3.75261,33.4901
0.1809,96.9088,3.7395,33.3859
0.19,101.557,3.7264,33.282
0.1991,106.183,3.7133,33.1784
0.2082,110.786,3.70019,33.0751
0.2173,115.368,3.68709,32.9721
0.2264,119.929,3.67398,32.8694
0.2355,124.467,3.66088,32.767
0.2446,128.984,3.64778,32.6649
0.2537,133.48,3.63467,32.5632
0.2628,137.954,3.62157,32.4617
0.2719,142.406,3.60846,32.3606
0.281,146.837,3.59536,32.2597
0.2901,151.247,3.58226,32.1592
0.2992,155.636,3.56915,32.059
0.3083,160.004,3.55605,31.959
0.3174,164.351,3.54294,31.8594
0.3265,168.677,3.52984,31.7601
0.3356,172.982,3.51674,31.6611
0.3447,177.266,3.50363,31.5624
0.3538,181.529,3.49053,31.464
0.3629,185.772,3.47742,31.3659
0.372,189.994,3.46432,31.2681
0.3811,194.196,3.45122,31.1706
0.3902,198.378,3.43811,31.0734
0.3993,202.539,3.42501,30.9765
0.4084,206.679,3.4119,30.8799
0.4175,210.8,3.3988,30.7836
0.4266,214.9,3.3857,30.6876
0.4357,218.981,3.37259,30.5919
0.4448,223.041,3.35949,30.4965
0.4539,227.082,3.34638,30.4014
0.463,231.103,3.33328,30.3066
0.4721,235.104,3.32018,30.2121
0.4812,239.085,3.30707,30.1179
0.4903,243.047,3.29397,30.024
0.4994,246.989,3.28086,29.9304
0.5085,250.912,3.26776,29.8371
0.5176,254.815,3.25466,29.7441
0.5267,258.699,3.24155,29.6513
0.5358,262.564,3.22845,29.5589
0.5449,266.409,3.21534,29.4668
0.554,270.236,3.20224,29.375
0.5631,274.043,3.18914,29.2835
0.5722,277.832,3.17603,29.1922
0.5813,281.601,3.16293,29.1013
0.5904,285.352,3.14982,29.0106
0.5995,289.084,3.13672,28.9203
0.6086,292.798,3.12362,28.8302
0.6177,296.492,3.11051,28.7405
0.6268,300.169,3.09741,28.651
0.6359,303.826,3.0843,28.5618
0.645,307.466,3.0712,28.473
0.6541,311.087,3.0581,28.3844
0.6632,314.69,3.04499,28.2961
0.6723,318.274,3.03189,28.2081
0.6814,321.841,3.01878,28.1204
0.6905,325.389,3.00568,28.0329
0.6996,328.92,2.99258,27.9458
0.7087,332.432,2.97947,27.859
0.7178,335.927,2.96637,27.7724
0.7269,339.404,2.95326,27.6862
0.736,342.864,2.94016,27.6002
0.7451,346.305,2.92706,27.5145
0.7542,349.729,2.91395,27.4292
0.7633,353.136,2.90085,27.3441
0.7724,356.525,2.88774,27.2593
0.7815,359.897,2.87464,27.1748
0.7906,363.251,2.86154,27.0905
0.7997,366.589,2.84843,27.0066
0.8088,369.909,2.83533,26.923
0.8179,373.212,2.82222,26.8396
0.827,376.498,2.80912,26.7565
0.8361,379.767,2.79602,26.6738
0.8452,383.019,2.78291,26.5913
0.8543,386.254,2.76981,26.5091
0.8634,389.473,2.7567,26.4272
0.8725,392.675,2.7436,26.3455
0.8816,395.86,2.7305,26.2642
0.8907,399.029,2.71739,26.1831
0.8998,402.181,2.70429,26.1024
0.9089,405.317,2.69118,26.0219
0.918,408.437,2.67808,25.9417
0.9271,411.54,2.66498,25.8618
0.9362,414.627,2.65187,25.7822
0.9453,417.698,2.63877,25.7029
0.9544,420.752,2.62566,25.6238
0.9635,423.791,2.61256,25.5451
0.9726,426.814,2.59946,25.4666
0.9817,429.821,2.58635,25.3885
0.9908,432.812,2.57325,25.3106
0.9999,435.787,2.56014,25.233
