"time","valves_mv1","valves_mv2","valves_mv3","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","egsCarSpeed","egsState","egsGear","egsTargetGear","tShiftStart"
0.01,0,0,0,0,0,0,0,0,0,0,2,-2,0,0.01
0.08,0,0,0,0,0,0.14,0.14,0,0,-8.51045e-66,2,-2,0,0.01
0.15,0,0,0,0,0,0.28,0.28,0,0,8.37157e-65,2,-2,0,0.01
0.22,0,0,0,0,0,0.42,0.42,0,0,1.41837e-14,2,-2,0,0.01
0.29,0,0,0,0,0,0.56,0.56,0,0,8.98484e-16,2,-2,0,0.01
0.36,0,0,0,0,0,0.7,0.7,0,0,0.0124136,2,-2,0,0.01
0.43,0,0,0,0,0,0.84,0.84,0,0,0.175814,2,-2,0,0.01
0.5,0,0,0,0,0,0.98,0.98,0,0,0.317111,2,-2,0,0.01
0.57,0,0,0,0,0,1,1,0,0,0.246733,2,-2,0,0.01
0.64,0,0,0,0,0,1,1,0,0,0.246153,2,-2,0,0.01
0.71,0,0,0,0,0,1,1,0,0,0.244033,2,-2,0,0.01
0.78,0,0,0,0,0,1,1,0,0,0.241931,2,-2,0,0.01
0.85,0,0,0,0,0,1,1,0,0,0.239846,2,-2,0,0.01
0.92,0,0,0,0,0,1,1,0,0,0.237779,2,-2,0,0.01
0.99,0,0,0,0,0,1,1,0,0,0.23573,2,-2,0,0.01
1.06,0,0,0,0,0,0.92,1,0,0.08,0.687606,2,0,1,1.02
1.13,0,0,0,0,0,0.78,1,0,0.22,1.84035,2,0,1,1.02
1.2,0,0,0,0,0,0.64,1,0,0.36,3.48945,2,0,1,1.02
1.27,0,0,0,0,0,0.5,1,0,0.5,6.20575,2,0,1,1.02
1.34,0,0,0,0,0,0.36,1,0,0.64,9.17455,2,0,1,1.02
1.41,0,0,0,0,0,0.22,1,0,0.78,11.0185,2,0,1,1.02
1.48,0,0,0,0,0,0.08,1,0,0.92,15.2371,2,0,1,1.02
1.55,0,0,0,0,0,0,1,0,1,17.3582,2,0,1,1.02
1.62,0,0,0,0,0,0,1,0,1,19.5681,2,0,1,1.02
1.69,0,0,0,0,0,0,1,0,1,21.6593,2,0,1,1.02
1.76,0,0,0,0,0,0,1,0,1,23.6494,2,0,1,1.02
1.83,0,0,0,0,0,0,1,0,1,25.5484,2,0,1,1.02
1.9,0,0,0,0,0,0,1,0,1,27.3865,2,0,1,1.02
1.97,0,0,0,0,0,0,1,0,1,29.1317,2,0,1,1.02
2.04,0,0,0,0,0,0,1,0,1,30.8634,1,1,1,1.02
2.11,0,0,0,0,0,0,1,0,1,32.5347,1,1,1,1.02
2.18,0,0,0,0,0,0,1,0,1,34.1661,1,1,1,1.02
2.25,0,0,0,0,0,0,1,0,1,35.7513,1,1,1,1.02
2.32,0,0,0,0,0,0,1,0,1,37.2931,1,1,1,1.02
2.39,0,0,0,0,0,0,1,0,1,38.7942,1,1,1,1.02
2.46,1,0,0,0,0,0,0.98,0,0.98,40.2513,2,1,2,2.45
2.53,1,0,0,0,0,0,0.84,0,0.84,40.1259,2,1,2,2.45
2.6,1,0,0,0,0,0,0.7,0,0.7,39.8861,2,1,2,2.45
2.67,1,0,0,0,0,0,0.56,0,0.56,41.2177,2,1,2,2.45
2.74,1,0,0,0,0,0,0.42,0,0.42,40.563,2,1,2,2.45
2.81,1,0,0,0,0,0,0.28,0,0.28,40.8009,2,1,2,2.45
2.88,1,0,0,0,0,0,0.14,0,0.14,41.3516,2,1,2,2.45
2.95,1,0,0,0,0,0,2.13163e-14,0,2.13163e-14,42.2429,2,1,2,2.45
3.02,1,0,0,0,0,0,0,0,0,43.1484,2,1,2,2.45
3.09,1,0,0,0,0,0,0,0,0,44.2613,2,1,2,2.45
3.16,1,0,0,0,0,0,0,0,0,45.3515,2,1,2,2.45
3.23,1,0,0,0,0,0,0,0,0,46.4252,2,1,2,2.45
3.3,1,0,0,0,0,0,0,0,0,47.4943,2,1,2,2.45
3.37,1,0,0,0,0,0,0,0,0,48.5459,2,1,2,2.45
3.44,1,0,0,0,0,0,0,0,0,49.591,2,1,2,2.45
3.51,1,0,0,0,0,0,0,0,0,50.6351,1,2,2,2.45
3.58,1,0,0,0,0,0,0,0,0,51.6688,1,2,2,2.45
