"time","U@resistance","I@variable_resistance"
0,0.00013111,-3.49322e-09
1e-07,0.00103846,-1.39402e-08
2e-07,0.00347241,-3.12434e-08
3e-07,0.008145,-5.52417e-08
4e-07,0.015721,-8.57124e-08
5e-07,0.0268095,-1.22374e-07
6e-07,0.0419558,-1.6489e-07
7e-07,0.0616345,-2.12871e-07
8e-07,0.0862438,-2.65882e-07
9e-07,0.1161,-3.23442e-07
1e-06,0.151433,-3.85036e-07
1.1e-06,0.192385,-4.50114e-07
1.2e-06,0.239007,-5.18102e-07
1.3e-06,0.291258,-5.88403e-07
1.4e-06,0.349005,-6.60408e-07
1.5e-06,0.412028,-7.33499e-07
1.6e-06,0.480017,-8.07055e-07
1.7e-06,0.552578,-8.80461e-07
1.8e-06,0.629238,-9.53112e-07
1.9e-06,0.709451,-1.02442e-06
2e-06,0.792601,-1.09381e-06
2.1e-06,0.878012,-1.16075e-06
2.2e-06,0.964953,-1.22473e-06
2.3e-06,1.05265,-1.28528e-06
2.4e-06,1.14029,-1.34196e-06
2.5e-06,1.22704,-1.39439e-06
2.6e-06,1.31204,-1.44224e-06
2.7e-06,1.39442,-1.48521e-06
2.8e-06,1.47333,-1.52307e-06
2.9e-06,1.5479,-1.55564e-06
3e-06,1.61732,-1.58279e-06
3.1e-06,1.68078,-1.60445e-06
3.2e-06,1.73751,-1.6206e-06
3.3e-06,1.78681,-1.63129e-06
3.4e-06,1.82802,-1.6366e-06
3.5e-06,1.86055,-1.63667e-06
3.6e-06,1.88387,-1.6317e-06
3.7e-06,1.89753,-1.62192e-06
3.8e-06,1.90117,-1.60761e-06
3.9e-06,1.8945,-1.58908e-06
4e-06,1.87735,-1.5667e-06
4.1e-06,1.84959,-1.54083e-06
4.2e-06,1.81124,-1.51188e-06
4.3e-06,1.76237,-1.48029e-06
4.4e-06,1.70317,-1.4465e-06
4.5e-06,1.6339,-1.41095e-06
4.6e-06,1.55493,-1.37411e-06
4.7e-06,1.4667,-1.33644e-06
4.8e-06,1.36974,-1.2984e-06
4.9e-06,1.26466,-1.26043e-06
5e-06,1.01481,0.0229695
5.1e-06,0.764836,0.0119397
5.2e-06,0.517079,0.000952832
5.3e-06,0.272587,-0.00997123
5.4e-06,0.0323657,-0.0208133
5.5e-06,-0.202621,-0.0315549
5.6e-06,-0.431453,-0.0421786
5.7e-06,-0.653261,-0.0526677
5.8e-06,-0.867223,-0.0630066
5.9e-06,-1.07257,-0.0731805
6e-06,-1.26859,-0.0831759
6.1e-06,-1.45463,-0.0929803
6.2e-06,-1.63008,-0.102582
6.3e-06,-1.79442,-0.111971
6.4e-06,-1.94716,-0.121139
6.5e-06,-2.08789,-0.130077
6.6e-06,-2.21627,-0.138778
6.7e-06,-2.33199,-0.147238
6.8e-06,-2.43483,-0.155451
6.9e-06,-2.52463,-0.163415
7e-06,-2.60128,-0.171127
7.1e-06,-2.66473,-0.178587
