    "time","tankLevel","tankLevel2","tankLevel3"
       177,0.97290939, 87.846809, 198.19142
       178,0.97290939, 90.624519, 198.19142
       179,0.97290939, 93.402229, 198.19142
       180,0.97290939, 96.179939, 198.19142
       181,0.97290939, 98.957649, 198.19142
       182,0.97290939, 101.73536, 198.19142
       183,0.97290939, 104.51307, 198.19142
       184,0.97290939, 107.29078, 198.19142
       185,0.97290939, 110.06849, 198.19142
       186,0.97290939,  112.8462, 198.19142
       187,0.97290939, 115.62391, 198.19142
       188,0.97290939, 118.40162, 198.19142
       189,0.97290939, 121.17933, 198.19142
       190,0.97290939, 123.95704, 198.19142
       191,0.97290939, 126.73475, 198.19142
       192,0.97290939, 129.51247, 198.19142
       193,0.97290939, 132.29018, 198.19142
       194,0.97290939, 135.06789, 198.19142
       195,0.97290939,  137.8456, 198.19142
       196,0.97290939, 140.62331, 198.19142
       197,0.97290939, 143.40102, 198.19142
       198,0.97290939, 146.17873, 198.19142
       199,0.97290939, 148.95644, 198.19142
       200,0.97290939, 150.27588, 198.60809
       201,0.97290939, 147.58148, 201.30249
       202,0.97290939, 144.80377,  204.0802
       203,0.97290939, 142.02606, 206.85791
       204,0.97290939, 139.24835, 209.63562
       205,0.97290939, 136.47064, 212.41333
       206,0.97290939, 133.69293, 215.19104
       207,0.97290939, 130.91522, 217.96875
       208,0.97290939, 128.13751, 220.74646
       209,0.97290939,  125.3598, 223.52417
       210,0.97290939, 122.58209, 226.30188
       211,0.97290939, 119.80438, 229.07959
       212,0.97290939, 117.02667,  231.8573
       213,0.97290939, 114.24896, 234.63501
       214,0.97290939, 111.47125, 237.41272
       215,0.97290939, 108.69354, 240.19043
       216,0.97290939, 105.91583, 242.96814
       217,0.97290939, 103.13812, 245.74585
       218,0.97290939, 100.36041, 248.52356
       219,0.97290939, 97.582703, 251.30127
       220,0.97290939, 94.804993, 254.07898
       221,0.97290939, 92.027283, 256.85669
       222,0.97290939, 89.249573,  259.6344
       223,0.97290939, 86.471863, 262.41211
       224,0.97290939, 83.694153, 265.18982
       225,0.97290939, 80.916443, 267.96753
       226,0.97290939, 78.138733, 270.74524
       227,0.97290939, 75.361023, 273.52295
       228,0.97290939, 72.583313, 276.30066
       229,0.97290939, 69.805603, 279.07837
       230,0.97290939, 67.027893, 281.85608
       231,0.97290939, 64.250183, 284.63379
       232,0.97290939, 61.472401,  287.4115
       233,0.97290939, 58.694614, 290.18921
       234,0.97290939, 55.916828, 292.96692
       235,0.97290939, 53.139042, 295.74463
       236,0.97290939, 50.361256, 298.52234
       237,0.97290939, 47.583469, 301.30005
       238,0.97290939, 44.805683, 304.07776
       239,0.97290939, 42.027897, 306.85547
       240,0.97290939, 39.250111, 309.63318
       241,0.97290939, 36.472324, 312.41089
       242,0.97290939, 33.694538,  315.1886
       243,0.97290939, 30.916752, 317.96631
       244,0.97290939, 28.138966, 320.74402
       245,0.97290939, 25.361179, 323.52173
       246,0.97290939, 22.583393, 326.29944
       247,0.97290939, 19.805607, 329.07715
       248,0.97290939, 17.027821, 331.85486
       249,0.97290939, 14.250034, 334.63257
       250,0.97290939, 11.472248, 337.41028
       251,0.97290939, 8.6944618, 340.18799
       252,0.97290939, 5.9166827,  342.9657
       253,0.97290939,  3.138906, 345.74341
       254,0.97290939, 1.6389068, 347.74338
       255,0.97290939, 4.4027948, 347.74338
       256,0.97290939, 7.1805716, 347.74338
       257,0.97290939, 9.9583549, 347.74338
       258,0.97290939, 12.736141, 347.74338
       259,0.97290939, 15.513927, 347.74338
       260,0.97290939, 18.291714, 347.74338
       261,0.97290939,   21.0695, 347.74338
       262,0.97290939, 23.847286, 347.74338
       263,0.97290939, 26.625072, 347.74338
       264,0.97290939, 29.402859, 347.74338
       265,0.97290939, 32.180645, 347.74338
       266,0.97290939, 34.958431, 347.74338
       267,0.97290939, 37.736217, 347.74338
       268,0.97290939, 40.514004, 347.74338
       269,0.97290939,  43.29179, 347.74338
       270,0.97290939, 46.069576, 347.74338
       271,0.97290939, 48.847363, 347.74338
       272,0.97290939, 51.625149, 347.74338
       273,0.97290939, 54.402935, 347.74338
       274,0.97290939, 57.180721, 347.74338
       275,0.97290939, 59.958508, 347.74338
       276,0.97290939, 62.736294, 347.74338
       277,0.97290939, 65.514038, 347.74338
       278,0.97290939, 68.291748, 347.74338
       279,0.97290939, 71.069458, 347.74338
       280,0.97290939, 73.847168, 347.74338
       281,0.97290939, 76.624878, 347.74338
       282,0.97290939, 79.402588, 347.74338
       283,0.97290939, 82.180298, 347.74338
       284,0.97290939, 84.958008, 347.74338
       285,0.97290939, 87.735718, 347.74338
       286,0.97290939, 90.513428, 347.74338
       287,0.97290939, 93.291138, 347.74338
       288,0.97290939, 96.068848, 347.74338
       289,0.97290939, 98.846558, 347.74338
       290,0.97290939,  100.3882, 348.07669
       291,0.97290939, 97.749359, 350.71555
       292,0.97290939, 94.971649, 353.49326
       293,0.97290939, 92.193939, 356.27097
       294,0.97290939, 89.416229, 359.04868
       295,0.97290939, 86.638519, 361.82639
       296,0.97290939, 83.860809,  364.6041
       297,0.97290939, 81.083099, 367.38181
       298,0.97290939, 78.305389, 370.15952
       299,0.97290939, 75.527679, 372.93723
       300,0.97290939, 72.749969, 375.71494
