"time","headlight","light_switch","light_intensity"
0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.00000000000000E-02,0.00000000000000E+00,1.17647058823529E-01,0.00000000000000E+00
3.00000000000000E-02,0.00000000000000E+00,2.35294117647059E-01,0.00000000000000E+00
4.00000000000000E-02,0.00000000000000E+00,3.52941176470588E-01,0.00000000000000E+00
5.00000000000000E-02,0.00000000000000E+00,4.70588235294118E-01,0.00000000000000E+00
6.00000000000000E-02,1.00000000000000E+00,5.88235294117647E-01,0.00000000000000E+00
7.00000000000000E-02,1.00000000000000E+00,7.05882352941177E-01,0.00000000000000E+00
8.00000000000000E-02,1.00000000000000E+00,8.23529411764706E-01,0.00000000000000E+00
9.00000000000000E-02,1.00000000000000E+00,9.41176470588235E-01,0.00000000000000E+00
1.00000000000000E-01,1.00000000000000E+00,1.05882352941176E+00,0.00000000000000E+00
1.10000000000000E-01,1.00000000000000E+00,1.17647058823529E+00,0.00000000000000E+00
1.20000000000000E-01,1.00000000000000E+00,1.29411764705882E+00,0.00000000000000E+00
1.30000000000000E-01,1.00000000000000E+00,1.41176470588235E+00,0.00000000000000E+00
1.40000000000000E-01,1.00000000000000E+00,1.52941176470588E+00,0.00000000000000E+00
1.50000000000000E-01,1.00000000000000E+00,1.64705882352941E+00,0.00000000000000E+00
1.60000000000000E-01,1.00000000000000E+00,1.76470588235294E+00,0.00000000000000E+00
1.70000000000000E-01,1.00000000000000E+00,1.88235294117647E+00,0.00000000000000E+00
1.80000000000000E-01,1.00000000000000E+00,2.00000000000000E+00,0.00000000000000E+00
1.90000000000000E-01,1.00000000000000E+00,2.00000000000000E+00,1.11111111111111E-01
2.00000000000000E-01,1.00000000000000E+00,2.00000000000000E+00,2.22222222222222E-01
2.10000000000000E-01,1.00000000000000E+00,2.00000000000000E+00,3.33333333333333E-01
2.20000000000000E-01,1.00000000000000E+00,2.00000000000000E+00,4.44444444444445E-01
