"time","y1","y","y2","y3","y4","y5","y6","Q","QI"
0,0,0,1,0,1,0,0,1,0
0.2,0,0,1,0,1,0,0,1,0
0.4,0,0,1,0,1,0,0,0,1
0.6,0,0,1,0,1,0,0,1,0
0.8,2,0,0,0,1,1,0,0,1
1,4,0,1,0,1,0,0,1,0
1.2,4,0,1,0,1,0,0,1,0
1.4,4,0,1,0,1,0,0,0,1
1.6,4,0,1,0,1,0,0,1,0
1.8,6,0,0,0,1,1,0,0,1
2,8,1,1,0,1,0,0,1,0
2.2,8,0,1,0,1,0,0,1,0
2.4,8,0,1,0,1,0,0,0,1
2.6,8,0,1,0,1,0,0,1,0
2.8,10,0,0,0,1,1,0,0,1
3,12,1,1,0,1,0,1,1,0
3.2,12,0,1,0,1,0,1,1,0
3.4,12,0,1,0,1,0,1,0,1
3.6,12,0,1,0,1,0,1,1,0
3.8,14,0,0,0,1,1,1,0,1
4,16,1,1,0,1,0,0,1,0
4.2,16,0,1,0,1,0,0,1,0
4.4,16,0,1,0,1,0,0,0,1
4.6,16,0,1,0,1,0,0,1,0
4.8,18,0,0,0,1,1,0,0,1
5,20,1,1,0,1,0,0,1,0
5.2,20,0,1,0,1,0,0,1,0
5.4,20,0,1,0,1,0,0,0,1
5.6,20,0,1,0,1,0,0,1,0
5.8,22,0,0,0,1,1,0,0,1
6,24,1,1,0,1,0,0,1,0
6.2,24,0,1,0,1,0,0,1,0
6.4,24,0,1,0,1,0,0,0,1
6.6,24,0,1,0,1,0,0,1,0
6.8,26,0,0,0,1,1,0,0,1
7,28,1,1,0,1,0,0,1,0
7.2,28,0,1,0,1,0,0,1,0
7.4,28,0,1,0,1,0,0,0,1
7.6,28,0,1,0,1,0,0,1,0
7.8,30,0,0,0,1,1,0,0,1
8,32,1,1,0,1,0,1,1,0
8.2,32,0,1,0,1,0,1,1,0
8.4,32,0,1,0,1,0,1,0,1
8.6,32,0,1,0,1,0,1,1,0
8.8,32,0,1,0,1,0,1,1,0
9,36,1,1,0,1,0,0,1,0
9.2,36,0,1,0,1,0,0,1,0
9.4,36,0,1,0,1,0,0,0,1
9.6,36,0,1,0,1,0,0,1,0
9.8,38,0,0,0,1,1,0,0,1
10,40,1,1,0,1,0,0,1,0
