"time", "dFFREG.dataOut[1]", "dFFREG.dataOut[2]"
0, 1, 1
1.67067468453211E-25, 1, 1
1.67067468453211E-25, 1, 1
0.00488281, 1, 1
0.02441406, 1, 1
0.12207031, 1, 1
0.37207031, 1, 1
0.62207031, 1, 1
0.87207031, 1, 1
1.000000001, 1, 1
1.000000001, 1, 1
1.000000001, 1, 1
1.004882811, 1, 1
1.024414061, 1, 1
1.122070311, 1, 1
1.372070311, 1, 1
1.622070311, 1, 1
1.872070311, 1, 1
2.000000001, 1, 1
2.000000001, 1, 1
2.000000001, 1, 1
2.004882811, 1, 1
2.024414061, 1, 1
2.122070311, 1, 1
2.372070311, 1, 1
2.622070311, 1, 1
2.872070311, 1, 1
3.122070311, 1, 1
3.372070311, 1, 1
3.622070311, 1, 1
3.872070311, 1, 1
4.122070311, 1, 1
4.372070311, 1, 1
4.622070311, 1, 1
4.872070311, 1, 1
5.122070311, 1, 1
5.372070311, 1, 1
5.622070311, 1, 1
5.872070311, 1, 1
6.000000002, 1, 1
6.000000002, 1, 1
6.000000002, 3, 3
6.004882812, 3, 3
6.024414062, 3, 3
6.122070312, 3, 3
6.372070312, 3, 3
6.622070312, 3, 3
6.872070312, 3, 3
7.000000001, 3, 3
7.000000001, 3, 3
7.000000001, 3, 3
7.004882811, 3, 3
7.024414061, 3, 3
7.122070311, 3, 3
7.372070311, 3, 3
7.622070311, 3, 3
7.872070311, 3, 3
8.000000001, 3, 3
8.000000001, 3, 3
8.000000001, 3, 3
8.004882811, 3, 3
8.024414061, 3, 3
8.122070311, 3, 3
8.372070311, 3, 3
8.622070311, 3, 3
8.872070311, 3, 3
9.122070311, 3, 3
9.372070311, 3, 3
9.622070311, 3, 3
9.872070311, 3, 3
10.000000001, 3, 3
10.000000001, 3, 3
10.000000001, 3, 3
10.004882811, 3, 3
10.024414061, 3, 3
10.122070311, 3, 3
10.372070311, 3, 3
10.622070311, 3, 3
10.872070311, 3, 3
11.000000001, 3, 3
11.000000001, 3, 3
11.000000001, 3, 3
11.004882811, 3, 3
11.024414061, 3, 3
11.122070311, 3, 3
11.372070311, 3, 3
11.622070311, 3, 3
11.872070311, 3, 3
12.000000001, 3, 3
12.000000001, 3, 3
12.000000001, 3, 3
12.004882811, 3, 3
12.024414061, 3, 3
12.122070311, 3, 3
12.372070311, 3, 3
12.622070311, 3, 3
12.872070311, 3, 3
13.000000002, 3, 3
13.000000002, 3, 3
13.000000002, 4, 3
13.004882812, 4, 3
13.024414062, 4, 3
13.122070312, 4, 3
13.372070312, 4, 3
13.622070312, 4, 3
13.872070312, 4, 3
14.122070312, 4, 3
14.372070312, 4, 3
14.622070312, 4, 3
14.872070312, 4, 3
15.000000001, 4, 3
15.000000001, 4, 3
15.000000001, 4, 3
15.004882811, 4, 3
15.024414061, 4, 3
15.122070311, 4, 3
15.372070311, 4, 3
15.622070311, 4, 3
15.872070311, 4, 3
16.000000001, 4, 3
16.000000001, 4, 3
16.000000001, 4, 2
16.000000001, 4, 2
16.000000001, 4, 2
16.004882811, 4, 2
16.024414061, 4, 2
16.122070311, 4, 2
16.372070311, 4, 2
16.622070311, 4, 2
16.872070311, 4, 2
17.122070311, 4, 2
17.372070311, 4, 2
17.622070311, 4, 2
17.872070311, 4, 2
18.122070311, 4, 2
18.372070311, 4, 2
18.622070311, 4, 2
18.872070311, 4, 2
19.122070311, 4, 2
19.372070311, 4, 2
19.622070311, 4, 2
19.872070311, 4, 2
20.000000002, 4, 2
20.000000002, 4, 2
20.000000002, 3, 2
20.004882812, 3, 2
20.024414062, 3, 2
20.122070312, 3, 2
20.372070312, 3, 2
20.622070312, 3, 2
20.872070312, 3, 2
21.122070312, 3, 2
21.372070312, 3, 2
21.622070312, 3, 2
21.872070312, 3, 2
22.122070312, 3, 2
22.372070312, 3, 2
22.622070312, 3, 2
22.872070312, 3, 2
23.122070312, 3, 2
23.372070312, 3, 2
23.622070312, 3, 2
23.872070312, 3, 2
24.122070312, 3, 2
24.372070312, 3, 2
24.622070312, 3, 2
24.872070312, 3, 2
25, 3, 2
25, 3, 2
25, 3, 2
