"time","egsCarSpeed","egsGear","egsTargetGear","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","valves_mv1","valves_mv2","valves_mv3"
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,-2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,-2.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000
0.030000,0.000000,-2.000000,0.000000,0.000000,0.000000,0.040000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000
0.040000,0.000000,-2.000000,0.000000,0.000000,0.000000,0.060000,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,0.000000,-2.000000,0.000000,0.000000,0.000000,0.080000,0.080000,0.000000,0.000000,0.000000,0.000000,0.000000
0.060000,0.000000,-2.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
0.070000,0.000000,-2.000000,0.000000,0.000000,0.000000,0.120000,0.120000,0.000000,0.000000,0.000000,0.000000,0.000000
0.080000,0.000000,-2.000000,0.000000,0.000000,0.000000,0.140000,0.140000,0.000000,0.000000,0.000000,0.000000,0.000000
0.090000,0.000000,-2.000000,0.000000,0.000000,0.000000,0.160000,0.160000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100000,0.000000,-2.000000,0.000000,0.000000,0.000000,0.180000,0.180000,0.000000,0.000000,0.000000,0.000000,0.000000
0.110000,0.000000,-2.000000,0.000000,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000
0.120000,0.000000,-2.000000,0.000000,0.000000,0.000000,0.220000,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
0.130000,0.000000,-2.000000,0.000000,0.000000,0.000000,0.240000,0.240000,0.000000,0.000000,0.000000,0.000000,0.000000
0.140000,0.000000,-2.000000,0.000000,0.000000,0.000000,0.260000,0.260000,0.000000,0.000000,0.000000,0.000000,0.000000
0.150000,0.000000,-2.000000,0.000000,0.000000,0.000000,0.280000,0.280000,0.000000,0.000000,0.000000,0.000000,0.000000
0.160000,0.000000,-2.000000,0.000000,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000
0.170000,0.000000,-2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.180000,0.000000,-2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.190000,0.000000,-2.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.000000,-2.000000,0.000000,0.000000,0.000000,0.040000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000
0.210000,0.000000,-2.000000,0.000000,0.000000,0.000000,0.060000,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000
