"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6[1]","Out6[2]","Out6[3]","Out6[4]"
0,0,0,1,0,12,12,1,0.1,0,0
0.01,0,0.0998334,1,0,12,12,1,0.1,0,0
0.02,0,0.198669,2,0,12,12,1,0.1,0,0
0.03,0,0.29552,3,0,12,12,1,0.1,0,0
0.04,0,0.389418,4,0,12,12,1,0.1,0,0
0.05,0,0.479426,5,0,12,12,1,0.1,0,0
0.06,0,0.564642,6,0,12,12,1,0.1,0,0
0.07,0,0.644218,7,0,12,12,1,0.1,0,0
0.08,0,0.717356,8,0,12,12,1,0.1,0,0
0.09,0,0.783327,9,0,12,12,1,0.1,0,0
0.1,1,0.841471,10,0,12,12,1,0.1,0,0
0.11,1,0.891207,10,0,12,12,1,0.1,0,0
0.12,1,0.932039,11,0,12,12,1,0.1,0,0
0.13,1,0.963558,11,0,12,12,1,0.1,0,0
0.14,1,0.98545,11,0,12,12,1,0.1,0,0
0.15,1,0.997495,11,0,12,12,1,0.1,0,0
0.16,1,0.999574,11,0,12,12,1,0.1,0,0
0.17,1,0.991665,11,0,12,12,1,0.1,0,0
0.18,1,0.973848,11,0,12,12,1,0.1,0,0
0.19,1,0.9463,11,0,12,12,1,0.1,0,0
0.2,1,0.909297,10,0,12,12,1,0.1,0,0
0.21,1,0.863209,10,0,12,12,1,0.1,0,0
0.22,1,0.808496,9,0,12,12,1,0.1,0,0
0.23,1,0.745705,8,0,12,12,1,0.1,0,0
0.24,1,0.675463,8,0,12,12,1,0.1,0,0
0.25,1,0.598472,7,0,12,12,1,0.1,0,0
0.26,1,0.515501,6,0,12,12,1,0.1,0,0
0.27,1,0.42738,5,0,12,12,1,0.1,0,0
0.28,1,0.334988,4,0,12,12,1,0.1,0,0
0.29,1,0.239249,2,0,12,12,1,0.1,0,0
0.3,1,0.14112,1,0,12,12,1,0.1,0,0
0.31,1,0.0415807,0,0,12,12,1,0.1,0,0
0.32,1,-0.0583741,-1,-1,12,12,1,0.1,0,0
0.33,1,-0.157746,-2,-1,12,12,1,0.1,0,0
0.34,1,-0.255541,-4,-1,12,12,1,0.1,0,0
0.35,1,-0.350783,-5,-1,12,12,1,0.1,0,0
0.36,1,-0.44252,-6,-1,12,12,1,0.1,0,0
0.37,1,-0.529836,-7,-1,12,12,1,0.1,0,0
0.38,1,-0.611858,-8,-1,12,12,1,0.1,0,0
0.39,1,-0.687766,-9,-1,12,12,1,0.1,0,0
0.4,1,-0.756802,-10,-1,12,12,1,0.1,0,0
0.41,1,-0.818277,-10,-1,12,12,1,0.1,0,0
0.42,1,-0.871576,-11,-1,12,12,1,0.1,0,0
0.43,1,-0.916166,-11,-1,12,12,1,0.1,0,0
0.44,1,-0.951602,-12,-1,12,12,1,0.1,0,0
0.45,1,-0.97753,-12,-1,12,12,1,0.1,0,0
0.46,1,-0.993691,-12,-1,12,12,1,0.1,0,0
0.47,1,-0.999923,-12,-1,12,12,1,0.1,0,0
0.48,1,-0.996165,-12,-1,12,12,1,0.1,0,0
0.49,1,-0.982453,-12,-1,12,12,1,0.1,0,0
0.5,1,-0.958924,-12,-1,12,12,1,0.1,0,0
0.51,1,-0.925815,-12,-1,12,12,1,0.1,0,0
0.52,1,-0.883455,-11,-1,12,12,1,0.1,0,0
0.53,1,-0.832267,-10,-1,12,12,1,0.1,0,0
0.54,1,-0.772765,-10,-1,12,12,1,0.1,0,0
0.55,1,-0.70554,-9,-1,12,12,1,0.1,0,0
0.56,1,-0.631267,-8,-1,12,12,1,0.1,0,0
0.57,1,-0.550686,-7,-1,12,12,1,0.1,0,0
0.58,1,-0.464602,-6,-1,12,12,1,0.1,0,0
0.59,1,-0.373877,-5,-1,12,12,1,0.1,0,0
0.6,1,-0.279415,-4,-1,12,12,1,0.1,0,0
0.61,1,-0.182163,-3,-1,12,12,1,0.1,0,0
0.62,1,-0.0830894,-1,-1,12,12,1,0.1,0,0
0.63,1,0.0168139,0,0,12,12,1,0.1,0,0
0.64,1,0.116549,1,0,12,12,1,0.1,0,0
0.65,1,0.21512,2,0,12,12,1,0.1,0,0
0.66,1,0.311541,3,0,12,12,1,0.1,0,0
0.67,1,0.40485,4,0,12,12,1,0.1,0,0
0.68,1,0.494113,5,0,12,12,1,0.1,0,0
0.69,1,0.57844,6,0,12,12,1,0.1,0,0
0.7,1,0.656987,7,0,12,12,1,0.1,0,0
0.71,1,0.728969,8,0,12,12,1,0.1,0,0
0.72,1,0.793668,9,0,12,12,1,0.1,0,0
0.73,1,0.850437,10,0,12,12,1,0.1,0,0
0.74,1,0.898708,10,0,12,12,1,0.1,0,0
0.75,1,0.938,11,0,12,12,1,0.1,0,0
0.76,1,0.96792,11,0,12,12,1,0.1,0,0
0.77,1,0.988168,11,0,12,12,1,0.1,0,0
0.78,1,0.998543,11,0,12,12,1,0.1,0,0
0.79,1,0.998941,11,0,12,12,1,0.1,0,0
0.8,1,0.989358,11,0,12,12,1,0.1,0,0
0.81,1,0.96989,11,0,12,12,1,0.1,0,0
0.82,1,0.940731,11,0,12,12,1,0.1,0,0
0.83,1,0.902172,10,0,12,12,1,0.1,0,0
0.84,1,0.854599,10,0,12,12,1,0.1,0,0
0.85,1,0.798487,9,0,12,12,1,0.1,0,0
0.86,1,0.734397,8,0,12,12,1,0.1,0,0
0.87,1,0.662969,7,0,12,12,1,0.1,0,0
0.88,1,0.584917,7,0,12,12,1,0.1,0,0
0.89,1,0.501021,6,0,12,12,1,0.1,0,0
0.9,1,0.412118,4,0,12,12,1,0.1,0,0
0.91,1,0.319098,3,0,12,12,1,0.1,0,0
0.92,1,0.22289,2,0,12,12,1,0.1,0,0
0.93,1,0.124454,1,0,12,12,1,0.1,0,0
0.94,1,0.0247754,0,0,12,12,1,0.1,0,0
0.95,1,-0.0751511,-1,-1,12,12,1,0.1,0,0
0.96,1,-0.174327,-3,-1,12,12,1,0.1,0,0
0.97,1,-0.271761,-4,-1,12,12,1,0.1,0,0
0.98,1,-0.366479,-5,-1,12,12,1,0.1,0,0
0.99,1,-0.457536,-6,-1,12,12,1,0.1,0,0
1,1,-0.544021,-7,-1,12,12,1,0.1,0,0
1.01,1,-0.625071,-8,-1,12,12,1,0.1,0,0
1.02,1,-0.699875,-9,-1,12,12,1,0.1,0,0
1.03,1,-0.767686,-10,-1,12,12,1,0.1,0,0
1.04,1,-0.827826,-10,-1,12,12,1,0.1,0,0
1.05,1,-0.879696,-11,-1,12,12,1,0.1,0,0
1.06,1,-0.922775,-12,-1,12,12,1,0.1,0,0
1.07,1,-0.956635,-12,-1,12,12,1,0.1,0,0
1.08,1,-0.980936,-12,-1,12,12,1,0.1,0,0
1.09,1,-0.995436,-12,-1,12,12,1,0.1,0,0
1.1,1,-0.99999,-12,-1,12,12,1,0.1,0,0
1.11,1,-0.994553,-12,-1,12,12,1,0.1,0,0
1.12,1,-0.979178,-12,-1,12,12,1,0.1,0,0
1.13,1,-0.954019,-12,-1,12,12,1,0.1,0,0
1.14,1,-0.919329,-12,-1,12,12,1,0.1,0,0
1.15,1,-0.875452,-11,-1,12,12,1,0.1,0,0
1.16,1,-0.822829,-10,-1,12,12,1,0.1,0,0
1.17,1,-0.761984,-10,-1,12,12,1,0.1,0,0
1.18,1,-0.693525,-9,-1,12,12,1,0.1,0,0
1.19,1,-0.618137,-8,-1,12,12,1,0.1,0,0
1.2,1,-0.536573,-7,-1,12,12,1,0.1,0,0
1.21,1,-0.449647,-6,-1,12,12,1,0.1,0,0
1.22,1,-0.358229,-5,-1,12,12,1,0.1,0,0
1.23,1,-0.263232,-4,-1,12,12,1,0.1,0,0
1.24,1,-0.165604,-2,-1,12,12,1,0.1,0,0
1.25,1,-0.0663219,-1,-1,12,12,1,0.1,0,0
1.26,1,0.033623,0,0,12,12,1,0.1,0,0
1.27,1,0.133232,1,0,12,12,1,0.1,0,0
1.28,1,0.23151,2,0,12,12,1,0.1,0,0
1.29,1,0.327474,3,0,12,12,1,0.1,0,0
1.3,1,0.420167,5,0,12,12,1,0.1,0,0
1.31,1,0.508661,6,0,12,12,1,0.1,0,0
1.32,1,0.592074,7,0,12,12,1,0.1,0,0
1.33,1,0.66957,8,0,12,12,1,0.1,0,0
1.34,1,0.740376,8,0,12,12,1,0.1,0,0
1.35,1,0.803784,9,0,12,12,1,0.1,0,0
1.36,1,0.859162,10,0,12,12,1,0.1,0,0
1.37,1,0.905955,10,0,12,12,1,0.1,0,0
1.38,1,0.943696,11,0,12,12,1,0.1,0,0
1.39,1,0.972008,11,0,12,12,1,0.1,0,0
1.4,1,0.990607,11,0,12,12,1,0.1,0,0
1.41,1,0.999309,11,0,12,12,1,0.1,0,0
1.42,1,0.998027,11,0,12,12,1,0.1,0,0
1.43,1,0.986772,11,0,12,12,1,0.1,0,0
1.44,1,0.965658,11,0,12,12,1,0.1,0,0
1.45,1,0.934895,11,0,12,12,1,0.1,0,0
1.46,1,0.894791,10,0,12,12,1,0.1,0,0
1.47,1,0.845747,10,0,12,12,1,0.1,0,0
1.48,1,0.788252,9,0,12,12,1,0.1,0,0
1.49,1,0.722881,8,0,12,12,1,0.1,0,0
1.5,1,0.650288,7,0,12,12,1,0.1,0,0
1.51,1,0.571197,6,0,12,12,1,0.1,0,0
1.52,1,0.486399,5,0,12,12,1,0.1,0,0
1.53,1,0.396741,4,0,12,12,1,0.1,0,0
1.54,1,0.303118,3,0,12,12,1,0.1,0,0
1.55,1,0.206467,2,0,12,12,1,0.1,0,0
1.56,1,0.107754,1,0,12,12,1,0.1,0,0
1.57,1,0.00796318,0,0,12,12,1,0.1,0,0
