    "time",       "x",  "der(x)"
         0,         1,        -1
      0.05,0.95111013,-0.95111013
       0.1,0.90461048,-0.90461048
      0.15,0.86038419,-0.86038419
       0.2,0.81832012,-0.81832012
      0.25,0.77831256,-0.77831256
       0.3,0.74026096,-0.74026096
      0.35, 0.7040697,-0.7040697
       0.4,0.66964782,-0.66964782
      0.45,0.63690883,-0.63690883
       0.5,0.60577044,-0.60577044
      0.55, 0.5761544,-0.5761544
       0.6,0.54798629,-0.54798629
      0.65,0.52119531,-0.52119531
       0.7,0.49571414,-0.49571414
      0.75,0.47147874,-0.47147874
       0.8, 0.4484282,-0.4484282
      0.85,0.42650461,-0.42650461
       0.9,0.40565285,-0.40565285
      0.95,0.38582054,-0.38582054
         1,0.36695782,-0.36695782
      1.05, 0.3490173,-0.3490173
       1.1,0.33195389,-0.33195389
