"time","clutch1.phi_rel","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel","J1.phi","J1.w"
0,0,-10,0,0,0,0,0,10
0.0015,-0.0155423,-9.97106,-7.84542E-05,-0.0156907,0,0,0.0156207,9.98675
0.003,-0.0304001,-9.9434,-0.000153453,-0.0306903,0,0,0.0305535,9.97409
0.0045,-0.0452579,-9.91574,-0.000228453,-0.04569,0,0,0.0454863,9.96143
0.006,-0.0601157,-9.88807,-0.000303452,-0.0606897,0,0,0.0604192,9.94876
0.0075,-0.0749735,-9.86041,-0.000378451,-0.0756894,0,0,0.075352,9.9361
0.009,-0.0898313,-9.83275,-0.00045345,-0.090689,0,0,0.0902848,9.92344
0.0105,-0.109619,-9.79879,-0.000662795,-0.11085,0,0,0.110282,9.90964
0.012,-0.124223,-9.77557,-0.000887782,-0.125847,0,0,0.125111,9.90142
0.0135,-0.138827,-9.75236,-0.00111277,-0.140845,0,0,0.13994,9.89321
0.015,-0.153431,-9.72915,-0.00133776,-0.155842,0,0,0.154769,9.885
0.0165,-0.168035,-9.70594,-0.00156274,-0.17084,0,0,0.169597,9.87678
0.018,-0.182639,-9.68273,-0.00178773,-0.185837,0,0,0.184426,9.86857
0.0195,-0.196411,-9.66084,-0.00199991,-0.199981,0,0,0.198411,9.86082
0.021,-0.210802,-9.64142,-0.00237485,-0.214974,0,0,0.213177,9.85639
0.0225,-0.225194,-9.622,-0.00274979,-0.229967,0,0,0.227943,9.85196
0.024,-0.239585,-9.60258,-0.00312473,-0.244959,0,0,0.24271,9.84754
0.0255,-0.253976,-9.58315,-0.00349967,-0.259952,0,0,0.257476,9.84311
0.027,-0.268368,-9.56373,-0.00387461,-0.274945,0,0,0.272242,9.83868
0.0285,-0.282759,-9.54431,-0.00424955,-0.289938,0,0,0.287009,9.83425
0.03,-0.292353,-9.53136,-0.00449951,-0.299933,0,0,0.296853,9.83129
0.0315,-0.311303,-9.50914,-0.00519929,-0.319915,0,0,0.316502,9.82906
0.033,-0.325515,-9.49248,-0.00572413,-0.3349,0,0,0.331239,9.82738
0.0345,-0.339726,-9.47582,-0.00624897,-0.349886,0,0,0.345975,9.82571
0.036,-0.353938,-9.45916,-0.0067738,-0.364872,0,0,0.360712,9.82403
0.0375,-0.36815,-9.4425,-0.00729864,-0.379858,0,0,0.375449,9.82236
0.039,-0.382362,-9.42584,-0.00782347,-0.394844,0,0,0.390186,9.82069
0.0405,-0.394126,-9.41269,-0.00833575,-0.407328,0,0,0.402462,9.82002
0.042,-0.40818,-9.39749,-0.0090104,-0.422304,0,0,0.417191,9.81979
0.0435,-0.422234,-9.38229,-0.00968505,-0.437281,0,0,0.431919,9.81957
0.045,-0.436288,-9.36709,-0.0103597,-0.452258,0,0,0.446648,9.81935
0.0465,-0.450342,-9.35189,-0.0110343,-0.467234,0,0,0.461376,9.81912
0.048,-0.464396,-9.33669,-0.011709,-0.482211,0,0,0.476105,9.8189
0.0495,-0.478449,-9.32149,-0.0123837,-0.497187,0,0,0.490833,9.81868
0.051,-0.492378,-9.30631,-0.0131831,-0.512154,0,0,0.505561,9.81847
0.0525,-0.506281,-9.29114,-0.0140074,-0.527119,0,0,0.520288,9.81826
0.054,-0.520184,-9.27596,-0.0148318,-0.542084,0,0,0.535016,9.81805
0.0555,-0.534087,-9.26079,-0.0156561,-0.557049,0,0,0.549743,9.81783
0.057,-0.54799,-9.24561,-0.0164805,-0.572014,0,0,0.564471,9.81763
0.0585,-0.561893,-9.23044,-0.0173049,-0.586979,0,0,0.579198,9.81742
0.06,-0.573479,-9.21779,-0.0179918,-0.599449,0,0,0.591471,9.81724
0.0615,-0.587225,-9.2012,-0.0189658,-0.6144,0,0,0.606191,9.8156
0.063,-0.60097,-9.18461,-0.0199397,-0.629351,0,0,0.62091,9.81396
0.0645,-0.614716,-9.16802,-0.0209137,-0.644302,0,0,0.635629,9.81232
0.066,-0.628461,-9.15142,-0.0218876,-0.659253,0,0,0.650349,9.81068
0.0675,-0.642207,-9.13483,-0.0228615,-0.674204,0,0,0.665068,9.80904
0.069,-0.655952,-9.11824,-0.0238355,-0.689155,0,0,0.679788,9.80739
0.0705,-0.669638,-9.10074,-0.0248592,-0.7041,0,0,0.694497,9.80484
0.072,-0.683205,-9.08144,-0.0259826,-0.719034,0,0,0.709188,9.80047
0.0735,-0.696772,-9.06213,-0.027106,-0.733969,0,0,0.723878,9.7961
0.075,-0.710339,-9.04283,-0.0282293,-0.748903,0,0,0.738569,9.79173
0.0765,-0.723906,-9.02353,-0.0293527,-0.763838,0,0,0.753259,9.78736
0.078,-0.737473,-9.00422,-0.0304761,-0.778772,0,0,0.767949,9.783
0.0795,-0.75104,-8.98492,-0.0315994,-0.793707,0,0,0.78264,9.77863
0.081,-0.768919,-8.95543,-0.0332465,-0.813601,0,0,0.802165,9.76903
0.0825,-0.782275,-8.93238,-0.0345191,-0.828516,0,0,0.816794,9.7609
0.084,-0.79563,-8.90933,-0.0357918,-0.843432,0,0,0.831422,9.75277
0.0855,-0.808986,-8.88628,-0.0370644,-0.858348,0,0,0.846051,9.74463
0.087,-0.822342,-8.86323,-0.038337,-0.873263,0,0,0.860679,9.7365
0.0885,-0.835698,-8.84018,-0.0396096,-0.888179,0,0,0.875308,9.72836
0.09,-0.844602,-8.82482,-0.040458,-0.898123,0,0,0.88506,9.72294
0.0915,-0.862074,-8.78821,-0.0423536,-0.917982,0,0,0.904428,9.7062
0.093,-0.875178,-8.76076,-0.0437753,-0.932877,0,0,0.918953,9.69364
0.0945,-0.888282,-8.73331,-0.045197,-0.947771,0,0,0.933479,9.68108
0.096,-0.901385,-8.70586,-0.0466186,-0.962666,0,0,0.948004,9.66853
0.0975,-0.914489,-8.67841,-0.0480403,-0.97756,0,0,0.962529,9.65597
0.099,-0.927593,-8.65096,-0.049462,-0.992455,0,0,0.977055,9.64341
0.1005,-0.938364,-8.62577,-0.0507212,-1.00486,0,0,0.989085,9.63062
0.102,-0.95117,-8.59369,-0.0522917,-1.01973,0,0,1.00346,9.61341
0.1035,-0.963976,-8.5616,-0.0538623,-1.0346,0,0,1.01784,9.5962
0.105,-0.976782,-8.52952,-0.0554329,-1.04947,0,0,1.03221,9.57899
0.1065,-0.989588,-8.49744,-0.0570035,-1.06434,0,0,1.04659,9.56178
0.108,-1.00239,-8.46536,-0.058574,-1.07921,0,0,1.06097,9.54457
0.1095,-1.0152,-8.43328,-0.0601446,-1.09408,0,0,1.07534,9.52736
0.111,-1.02772,-8.39755,-0.061839,-1.10893,0,0,1.08956,9.50648
0.1125,-1.04018,-8.36108,-0.063558,-1.12378,0,0,1.10374,9.48486
0.114,-1.05264,-8.32461,-0.0652771,-1.13862,0,0,1.11792,9.46324
0.1155,-1.06511,-8.28815,-0.0669962,-1.15347,0,0,1.1321,9.44162
0.117,-1.07757,-8.25168,-0.0687153,-1.16831,0,0,1.14628,9.42
0.1185,-1.09003,-8.21522,-0.0704344,-1.18316,0,0,1.16047,9.39837
0.12,-1.10042,-8.18483,-0.071867,-1.19553,0,0,1.17228,9.38036
0.1215,-1.1125,-8.14464,-0.0737344,-1.21035,0,0,1.18623,9.35498
0.123,-1.12458,-8.10444,-0.0756018,-1.22516,0,0,1.20018,9.32961
0.1245,-1.13665,-8.06425,-0.0774692,-1.23998,0,0,1.21412,9.30423
0.126,-1.14873,-8.02406,-0.0793366,-1.2548,0,0,1.22807,9.27885
0.1275,-1.16081,-7.98386,-0.081204,-1.26961,0,0,1.24202,9.25348
0.129,-1.17289,-7.94367,-0.0830714,-1.28443,0,0,1.25596,9.2281
0.1305,-1.18483,-7.90258,-0.0849881,-1.29924,0,0,1.26982,9.20182
0.132,-1.19649,-7.8597,-0.0870035,-1.31402,0,0,1.2835,9.17372
0.1335,-1.20816,-7.81682,-0.089019,-1.32881,0,0,1.29718,9.14563
0.135,-1.21982,-7.77393,-0.0910344,-1.3436,0,0,1.31085,9.11753
0.1365,-1.23148,-7.73105,-0.0930498,-1.35838,0,0,1.32453,9.08944
0.138,-1.24314,-7.68817,-0.0950652,-1.37317,0,0,1.33821,9.06134
0.1395,-1.25481,-7.64529,-0.0970806,-1.38796,0,0,1.35189,9.03324
0.141,-1.26992,-7.58673,-0.0999156,-1.40764,0,0,1.36984,8.99437
0.1425,-1.28115,-7.54247,-0.102079,-1.42239,0,0,1.38323,8.96486
0.144,-1.29237,-7.4982,-0.104242,-1.43715,0,0,1.39661,8.93535
0.1455,-1.3036,-7.45394,-0.106405,-1.4519,0,0,1.41,8.90584
0.147,-1.31482,-7.40968,-0.108568,-1.46666,0,0,1.42339,8.87633
0.1485,-1.32605,-7.36542,-0.110731,-1.48141,0,0,1.43678,8.84682
0.15,-1.33353,-7.33591,-0.112173,-1.49124,0,0,1.44571,8.82715
0.1515,-1.34791,-7.27699,-0.115254,-1.51087,0,0,1.46316,8.78786
0.153,-1.35869,-7.23279,-0.117564,-1.52559,0,0,1.47626,8.75838
0.1545,-1.36947,-7.1886,-0.119875,-1.54031,0,0,1.48935,8.72891
0.156,-1.38026,-7.14441,-0.122185,-1.55503,0,0,1.50244,8.69944
0.1575,-1.39104,-7.10022,-0.124496,-1.56974,0,0,1.51553,8.66996
0.159,-1.40182,-7.05603,-0.126806,-1.58446,0,0,1.52863,8.64049
0.1605,-1.41059,-7.01996,-0.128805,-1.59671,0,0,1.53939,8.61667
0.162,-1.42094,-6.97729,-0.131263,-1.61139,0,0,1.5522,8.58868
0.1635,-1.43128,-6.93461,-0.13372,-1.62607,0,0,1.565,8.56069
0.165,-1.44163,-6.89194,-0.136178,-1.64075,0,0,1.57781,8.53269
0.1665,-1.45198,-6.84927,-0.138635,-1.65543,0,0,1.59061,8.5047
0.168,-1.46232,-6.80659,-0.141093,-1.67011,0,0,1.60341,8.47671
0.1695,-1.47267,-6.76392,-0.14355,-1.6848,0,0,1.61622,8.44872
0.171,-1.48267,-6.7236,-0.14613,-1.69944,0,0,1.6288,8.42305
0.1725,-1.4926,-6.68376,-0.148734,-1.71408,0,0,1.64134,8.39784
0.174,-1.50254,-6.64392,-0.151338,-1.72873,0,0,1.65388,8.37264
0.1755,-1.51247,-6.60407,-0.153942,-1.74337,0,0,1.66641,8.34744
0.177,-1.5224,-6.56423,-0.156546,-1.75801,0,0,1.67895,8.32223
0.1785,-1.53234,-6.52438,-0.15915,-1.77265,0,0,1.69149,8.29703
0.18,-1.54061,-6.49118,-0.161321,-1.78485,0,0,1.70193,8.27603
0.1815,-1.55017,-6.4552,-0.164071,-1.79945,0,0,1.71424,8.25465
0.183,-1.55972,-6.41922,-0.166821,-1.81405,0,0,1.72654,8.23326
0.1845,-1.56927,-6.38324,-0.169571,-1.82865,0,0,1.73885,8.21188
