"Time","iAC","iAC_0","iAC_1","Losses","uAC","uAC_0","uAC_1","uDC"
0,0,0,0,0.48,0,0,0,565.6854249
1.00E-08,1.71E-13,-4.71E-05,4.71E-05,0.480000002,0.023568262,-0.047136524,0.023568262,565.6854246
2.10E-07,7.19E-11,-0.000988298,0.000988298,0.480000965,0.494149255,-0.988298402,0.494149147,565.6854179
1.22E-06,1.29E-09,-0.005707195,0.005707194,0.480032503,2.853598375,-5.707194808,2.853596433,565.6853843
3.84E-06,1.25E-08,-0.017806243,0.017806231,0.480316845,8.903127853,-17.806237,8.903109143,565.6852968
8.26E-06,5.69E-08,-0.03763088,0.037630823,0.481415613,18.81546848,-37.63085155,18.81538307,565.6851491
1.47E-05,1.77E-07,-0.065192814,0.065192637,0.484249259,32.59649539,-65.19272546,32.59623007,565.6849344
2.33E-05,4.35E-07,-0.09986048,0.099860045,0.489970752,49.93045738,-99.86026278,49.9298054,565.6846469
3.43E-05,9.13E-07,-0.140566897,0.140565984,0.499756983,70.28390497,-140.5664407,70.28253572,565.6842808
4.78E-05,1.71E-06,-0.185939311,0.185937597,0.5145704,92.97051231,-185.9384535,92.96794122,565.683829
6.42E-05,2.96E-06,-0.234400325,0.234397364,0.534939183,117.2016431,-234.3988445,117.1972014,565.6832829
8.37E-05,4.80E-06,-0.28425816,0.284253362,0.560796596,142.1314793,-284.2557611,142.1242818,565.6826308
0.000106841,7.39E-06,-0.333791924,0.33378453,0.591408527,166.8996593,-333.7882272,166.8885678,565.6818576
0.000134251,1.09E-05,-0.381333272,0.381322322,0.625403282,190.6721107,-381.3277969,190.6556862,565.6809423
0.000166778,1.57E-05,-0.425344171,0.425328462,0.660901532,212.6799397,-425.3363161,212.6563764,565.6798562
0.000205669,2.20E-05,-0.464490239,0.464468253,0.695729316,232.2561123,-464.479246,232.2231338,565.6785577
0.000252784,3.02E-05,-0.497709756,0.497679547,0.727685643,248.8699818,-497.6946515,248.8246697,565.6769845
0.000311053,4.10E-05,-0.524280055,0.524239046,0.754830452,262.160532,-524.2595505,262.0990186,565.6750389
0.000385416,5.54E-05,-0.543886001,0.543830585,0.775760006,271.9707081,-543.8582927,271.8875846,565.6725559
0.000485028,7.53E-05,-0.556700224,0.556624924,0.789845742,278.3877617,-556.6625741,278.2748124,565.6692299
0.000629328,0.000104616,-0.563490807,0.563386191,0.79742729,281.7977114,-563.4384988,281.6407874,565.6644118
0.000869516,0.000153807,-0.565763194,0.565609388,0.799951728,282.9585005,-565.686291,282.7277905,565.6563919
0.001408598,0.000264431,-0.565817255,0.565552824,0.799919802,283.0408428,-565.6850396,282.6441968,565.638392
0.004104009,0.00081755,-0.56609404,0.56527649,0.799767796,283.4557949,-565.6852647,282.2294698,565.5483925
0.017581059,0.003583131,-0.567468205,0.563885075,0.799003985,285.5256679,-565.6766401,280.1509722,565.0983956
0.028811935,0.005887734,-0.568606573,0.562718839,0.798369071,287.2471534,-565.6627059,278.4155524,564.7233987
0.029435872,0.006015766,-0.5686692,0.562653434,0.798333349,287.3424828,-565.6613172,278.3188344,564.7025655
0.029683338,0.006066546,-0.568694301,0.562627756,0.798319485,287.3804235,-565.6610286,278.2806052,564.6943027
0.029683348,0.006066548,-0.568694302,0.562627755,0.798319484,287.380425,-565.6610286,278.2806036,564.6943023
0.029683523,0.006066584,-0.56869432,0.562627737,0.798319461,287.38044,-565.6610165,278.2805765,564.6942965
0.029685273,0.006066943,-0.568694498,0.562627555,0.798319229,287.3805907,-565.6608964,278.2803058,564.6942381
0.029702773,0.006070602,-0.568696401,0.562625798,0.798316946,287.382128,-565.659726,278.277598,564.6936537
0.029790273,0.006090381,-0.568708881,0.562618499,0.798306379,287.3905568,-565.6546158,278.264059,564.6907321
0.030227773,0.006211794,-0.568816312,0.562604519,0.798266451,287.4439589,-565.6403216,278.1963626,564.6761241
0.032415273,0.006941188,-0.569597986,0.562656797,0.798137114,287.7721372,-565.6299415,277.8578044,564.6030839
0.043352773,0.010658293,-0.57364268,0.562984387,0.797537057,289.4480941,-565.611141,276.1630468,564.2378844
0.098040273,0.029091331,-0.593464167,0.564372837,0.794607614,297.7516507,-565.3924038,267.640753,562.4119167
0.13100431,0.040129618,-0.60519011,0.565060493,0.792925674,302.7204987,-565.1859362,262.4654375,561.3113001
0.132835646,0.040735359,-0.6058249,0.565089541,0.79283045,302.9927979,-565.1698886,262.1770907,561.2501552
0.134666981,0.041348353,-0.606474017,0.565125663,0.792739936,303.2687231,-565.1573782,261.8886551,561.1890105
0.135905739,0.041760485,-0.606907974,0.56514749,0.792677344,303.4541094,-565.147612,261.6935026,561.1476507
0.135905749,0.041760488,-0.606907978,0.56514749,0.792677343,303.4541109,-565.147612,261.6935011,561.1476504
0.135905759,0.041760491,-0.606907981,0.56514749,0.792677343,303.4541124,-565.1476119,261.6934995,561.1476501
0.135905769,0.041760495,-0.606907985,0.56514749,0.792677342,303.4541139,-565.1476118,261.6934979,561.1476497
0.135905779,0.041760498,-0.606907988,0.565147491,0.792677342,303.4541154,-565.1476117,261.6934963,561.1476494
0.135905789,0.041760501,-0.606907992,0.565147491,0.792677341,303.4541169,-565.1476117,261.6934948,561.1476491
0.135905799,0.041760505,-0.606907996,0.565147491,0.792677341,303.4541184,-565.1476116,261.6934932,561.1476487
0.135905999,0.041760571,-0.606908066,0.565147495,0.792677331,303.4541485,-565.1476101,261.6934617,561.147642
0.135907999,0.041761239,-0.606908771,0.565147532,0.792677231,303.4544489,-565.1475955,261.6931466,561.1475753
0.135908815,0.041761512,-0.606909059,0.565147548,0.79267719,303.4545715,-565.1475895,261.693018,561.147548
0.135908825,0.041761515,-0.606909063,0.565147548,0.79267719,303.454573,-565.1475894,261.6930164,561.1475477
0.135909,0.041761573,-0.606909124,0.565147551,0.792677176,303.4545993,-565.1475836,261.6929843,561.1475418
0.13591075,0.041762157,-0.606909742,0.565147584,0.792677038,303.4548621,-565.1475252,261.6926631,561.1474834
0.13592825,0.041767974,-0.606915939,0.565147966,0.792675652,303.4574783,-565.1469409,261.6894626,561.1468991
0.13601575,0.041796547,-0.606947661,0.565151115,0.792668707,303.470304,-565.1440195,261.6737155,561.1439777
0.13645325,0.041933934,-0.60712821,0.565194277,0.792633865,303.531694,-565.1294125,261.5977184,561.1293704
0.13864075,0.042606212,-0.60863905,0.566032837,0.792461791,303.8313169,-565.0563787,261.2250619,561.0563341
0.148942947,0.045774469,-0.629383844,0.583609375,0.791712495,305.2434851,-564.7124553,259.4689703,560.7123718
0.159460031,0.049007634,-0.673425161,0.624417527,0.791050056,306.6845547,-564.3614262,257.6768715,560.3612571
0.170470863,0.052392659,-0.743692529,0.691299871,0.790465208,308.193359,-563.9940069,255.800648,559.9936999
0.182195736,0.055995898,-0.844985369,0.788989471,0.78996187,309.7994173,-563.6028802,253.8034629,559.6023735
0.194895475,0.05989845,-0.984630934,0.924732484,0.789552339,311.5389522,-563.1793944,251.6404422,559.1786114
0.208845745,0.06418363,-1.172769594,1.108585965,0.789260605,313.4490617,-562.7144294,249.2653677,558.7132735
0.224383369,0.068955478,-1.423596467,1.354640988,0.789124646,315.5762068,-562.1968664,246.6206596,558.1952126
