"time","press@tpf_st_chamber","out2@division","dm2@tpf_pump","tempc@tpf_st_chamber","torque@expseu_","tau@tpf_st_chamber"
0.00000000000000E+00,2.33700000000000E-02,2.40000000000000E-01,1.30320822890315E-01,1.99039566963502E+01,5.54211333801036E-01,2.50000000000000E+01
1.00000000000000E+00,3.83519691545492E-02,2.47961175719991E-01,8.66384533829168E-02,2.81584025570641E+01,7.30031282793922E-01,2.57961175719991E+01
2.00000000000000E+00,5.64675214859413E-02,2.52400983659195E-01,4.03310315712467E-02,3.49870862027193E+01,8.88184632751109E-01,2.62400983659195E+01
3.00000000000000E+00,7.84959721027218E-02,2.54706994254761E-01,1.62063974419716E-02,4.10881180948422E+01,1.03024615230573E+00,2.64706994254761E+01
4.00000000000000E+00,1.05858621432836E-01,2.55918280499142E-01,3.49156889749921E-03,4.68729590222232E+01,1.15721781165311E+00,2.65918280499142E+01
5.00000000000000E+00,1.40262580397782E-01,2.56636910777885E-01,0.00000000000000E+00,5.25443443822116E+01,1.26508014086049E+00,2.66636910777885E+01
6.00000000000000E+00,1.83904839311101E-01,2.57368681064668E-01,0.00000000000000E+00,5.82261970603087E+01,1.34557080160739E+00,2.67368681064668E+01
7.00000000000000E+00,2.38784465710827E-01,2.58157067400176E-01,0.00000000000000E+00,6.39228360573717E+01,1.38396794170995E+00,2.68157067400175E+01
8.00000000000000E+00,3.07103430222906E-01,2.58998369128098E-01,0.00000000000000E+00,6.96283185577811E+01,1.36211438266220E+00,2.68998369128098E+01
9.00000000000000E+00,3.91324691410331E-01,2.59889011242229E-01,0.00000000000000E+00,7.53367830079007E+01,1.25855463428064E+00,2.69889011242229E+01
1.00000000000000E+01,4.94177535468634E-01,2.60825589146667E-01,0.00000000000000E+00,8.10429074098359E+01,1.04843194487612E+00,2.70825589146666E+01
1.10000000000000E+01,6.18648341074571E-01,2.61804800466707E-01,0.00000000000000E+00,8.67415784058632E+01,7.03415361681035E-01,2.71804800466706E+01
1.20000000000000E+01,7.67964610132329E-01,2.62823399088681E-01,0.00000000000000E+00,9.24277618216482E+01,1.85277188388391E-01,2.72823399088682E+01
1.30000000000000E+01,9.45349323217210E-01,2.63873298791290E-01,0.00000000000000E+00,9.80899302215884E+01,-6.58507950363656E-01,2.73873298791289E+01
1.40000000000000E+01,1.15445704693392E+00,2.64953320790792E-01,0.00000000000000E+00,1.03726626091785E+02,-1.86183592248095E+00,2.74953320790789E+01
1.50000000000000E+01,1.39912805699303E+00,2.66061810931458E-01,0.00000000000000E+00,1.09335749835851E+02,-3.42452140923797E+00,2.76061810931456E+01
1.60000000000000E+01,1.68319741378853E+00,2.67194634068798E-01,0.00000000000000E+00,1.14911888816209E+02,-5.44342205645783E+00,2.77194634068799E+01
1.70000000000000E+01,2.01048283497801E+00,2.68346808107292E-01,0.00000000000000E+00,1.20448820164564E+02,-8.00118532528971E+00,2.78346808107287E+01
1.80000000000000E+01,2.38464631560747E+00,2.69512020337299E-01,0.00000000000000E+00,1.25938993061798E+02,-1.11851072054577E+01,2.79512020337295E+01
1.90000000000000E+01,2.80899436656275E+00,2.70681941713908E-01,0.00000000000000E+00,1.31372861738507E+02,-1.50907015008423E+01,2.80681941713902E+01
2.00000000000000E+01,3.28574199933946E+00,2.71844249232266E-01,0.00000000000000E+00,1.36733276693445E+02,-1.98101739308453E+01,2.81844249232268E+01
2.10000000000000E+01,3.80605159281579E+00,2.72961283007003E-01,0.00000000000000E+00,1.41907551146625E+02,-2.53292252733579E+01,2.82961283007004E+01
2.20000000000000E+01,4.35555556831630E+00,2.73990939919690E-01,0.00000000000000E+00,1.46785718255828E+02,-3.15345411318673E+01,2.83990939919691E+01
