"time","tempc@tpf_st_chamber","tau@tpf_st_chamber","press@tpf_st_chamber","dm2@tpf_pump","out2@division","torque@expseu_"
0,19.904,25,0.02337,0.130321,0.24,0
0.2,21.6397,25.1749,0.0260043,0.130389,0.241749,0.5887
0.4,23.3635,25.3508,0.0288733,0.130456,0.243508,0.624665
0.6,25.0411,25.5189,0.0319263,0.115498,0.245189,0.660751
0.8,26.6332,25.6666,0.03508,0.100128,0.246666,0.695793
1,28.1521,25.7961,0.038338,0.0866416,0.247961,0.729852
1.201,29.616,25.9102,0.0417235,0.0747546,0.249102,0.763171
1.402,31.0266,26.0101,0.0452282,0.0643334,0.250101,0.795652
1.603,32.3918,26.0977,0.0488606,0.0551973,0.250977,0.827361
1.804,33.7184,26.1745,0.0526299,0.0471872,0.251745,0.858355
2.005,35.0123,26.2417,0.0565462,0.0401634,0.252417,0.888684
2.206,36.2784,26.3007,0.0606199,0.034003,0.253007,0.918382
2.407,37.5209,26.3523,0.0648619,0.0285984,0.253523,0.947478
2.608,38.7434,26.3977,0.0692834,0.023855,0.253977,0.975989
2.809,39.9489,26.4375,0.0738962,0.0196898,0.254375,1.00392
3.01,41.1402,26.4724,0.0787122,0.0160304,0.254724,1.03127
3.211,42.3195,26.5031,0.0837437,0.0128132,0.255031,1.05803
3.412,43.4887,26.53,0.0890031,0.00998242,0.2553,1.08418
3.613,44.6495,26.5538,0.0945033,0.00748948,0.255538,1.10969
3.814,45.8033,26.5747,0.100257,0.00529173,0.255747,1.13452
4.015,46.9513,26.5932,0.106279,0.00335133,0.255932,1.15862
4.215,48.0888,26.6094,0.112549,0.00162559,0.256094,1.18184
4.415,49.2224,26.6237,0.119111,0.000104055,0.256237,1.20422
4.615,50.3546,26.6371,0.12599,0,0.256371,1.22576
4.815,51.4878,26.6508,0.133212,0,0.256508,1.24643
5.015,52.6218,26.6647,0.140792,0,0.256647,1.26613
5.215,53.7567,26.6789,0.148744,0,0.256789,1.28475
5.415,54.8924,26.6933,0.157082,0,0.256933,1.30218
5.615,56.0289,26.708,0.165823,0,0.25708,1.3183
5.815,57.166,26.7229,0.174981,0,0.257229,1.33299
6.015,58.3038,26.738,0.184573,0,0.25738,1.34613
6.215,59.4421,26.7534,0.194614,0,0.257534,1.35759
6.415,60.5811,26.7689,0.205122,0,0.257689,1.36724
6.615,61.7205,26.7847,0.216114,0,0.257847,1.37492
6.815,62.8603,26.8007,0.227607,0,0.258007,1.3805
7.015,64.0006,26.8169,0.23962,0,0.258169,1.38383
7.215,65.1412,26.8334,0.252171,0,0.258334,1.38475
7.415,66.2821,26.85,0.265279,0,0.2585,1.3831
7.615,67.4233,26.8669,0.278963,0,0.258669,1.37871
7.815,68.5647,26.8839,0.293244,0,0.258839,1.3714
8.015,69.7062,26.9012,0.30814,0,0.259012,1.36102
8.216,70.8536,26.9187,0.323752,0,0.259187,1.34728
8.417,72.0011,26.9364,0.340029,0,0.259364,1.33006
8.618,73.1486,26.9544,0.356993,0,0.259544,1.30914
8.819,74.2961,26.9725,0.374665,0,0.259725,1.28433
9.02,75.4435,26.9908,0.393068,0,0.259908,1.25541
9.221,76.5908,27.0093,0.412225,0,0.260093,1.22219
9.422,77.738,27.0279,0.43216,0,0.260279,1.18442
9.623,78.8851,27.0468,0.452896,0,0.260468,1.1419
9.824,80.0319,27.0658,0.474459,0,0.260658,1.09439
10.025,81.1784,27.085,0.496871,0,0.26085,1.04165
10.226,82.3246,27.1044,0.52016,0,0.261044,0.983449
10.427,83.4705,27.1239,0.54435,0,0.261239,0.919526
10.628,84.616,27.1437,0.569467,0,0.261437,0.84963
10.829,85.761,27.1635,0.595537,0,0.261635,0.773494
11.03,86.9056,27.1836,0.622587,0,0.261836,0.69083
11.231,88.0497,27.2038,0.650645,0,0.262038,0.60131
11.432,89.1932,27.2241,0.679737,0,0.262241,0.504481
11.633,90.3362,27.2446,0.709891,0,0.262446,0.399591
11.834,91.4785,27.2653,0.741136,0,0.262653,0.285343
12.035,92.6202,27.2861,0.7735,0,0.262861,0.161055
12.236,93.7611,27.3071,0.807011,0,0.263071,0.0365892
12.437,94.9001,27.3281,0.841663,0,0.263281,-0.1218
12.638,96.0378,27.3492,0.877499,0,0.263492,-0.299592
12.839,97.1745,27.3704,0.914564,0,0.263704,-0.493726
13.04,98.3104,27.3918,0.95289,0,0.263918,-0.699913
13.241,99.4453,27.4133,0.992505,0,0.264133,-0.918365
13.442,100.579,27.4349,1.03344,0,0.264349,-1.14949
13.643,101.712,27.4566,1.07572,0,0.264566,-1.39369
13.844,102.844,27.4785,1.11938,0,0.264785,-1.65139
14.045,103.974,27.5005,1.16445,0,0.265005,-1.923
14.246,105.104,27.5226,1.21097,0,0.265226,-2.20894
14.447,106.232,27.5447,1.25895,0,0.265447,-2.50963
14.648,107.359,27.567,1.30843,0,0.26567,-2.82576
14.849,108.484,27.5894,1.35944,0,0.265894,-3.15942
15.05,109.608,27.6119,1.41202,0,0.266119,-3.51146
15.251,110.731,27.6344,1.46619,0,0.266344,-3.88251
15.452,111.852,27.6571,1.52198,0,0.266571,-4.27322
15.653,112.971,27.6798,1.57941,0,0.266798,-4.68426
15.854,114.089,27.7026,1.63854,0,0.267026,-5.11627
16.055,115.205,27.7255,1.69937,0,0.267255,-5.56993
16.255,116.314,27.7483,1.76162,0,0.267483,-6.04353
16.455,117.421,27.7711,1.82563,0,0.267711,-6.54005
16.655,118.526,27.7941,1.8914,0,0.267941,-7.06017
16.855,119.629,27.817,1.95899,0,0.26817,-7.60458
17.055,120.73,27.84,2.0284,0,0.2684,-8.17396
17.255,121.829,27.863,2.09966,0,0.26863,-8.76908
17.455,122.925,27.8861,2.17279,0,0.268861,-9.39071
17.655,124.018,27.9091,2.2478,0,0.269091,-10.0395
17.855,125.109,27.9321,2.32472,0,0.269321,-10.7162
18.055,126.197,27.9551,2.40356,0,0.269551,-11.4212
18.255,127.28,27.9781,2.48414,0,0.269781,-12.1538
18.455,128.355,28.0009,2.56635,0,0.270009,-12.9139
18.655,129.423,28.0235,2.6502,0,0.270235,-13.7019
18.855,130.484,28.0461,2.73569,0,0.270461,-14.5177
19.055,131.538,28.0684,2.82279,0,0.270684,-15.3615
19.255,132.582,28.0906,2.91125,0,0.270906,-16.2317
19.455,133.614,28.1124,3.00095,0,0.271124,-17.1276
19.655,134.634,28.134,3.09184,0,0.27134,-18.0487
19.855,135.644,28.1552,3.18389,0,0.271552,-18.9946
20.055,136.641,28.1762,3.27704,0,0.271762,-19.9643
20.255,137.624,28.1967,3.37096,0,0.271967,-20.9553
20.455,138.591,28.2167,3.46547,0,0.272167,-21.966
20.655,139.542,28.2363,3.56049,0,0.272363,-22.995
20.855,140.477,28.2554,3.65595,0,0.272554,-24.0411
21.055,141.395,28.2741,3.75175,0,0.272741,-25.1027
21.255,142.295,28.2921,3.84749,0,0.272921,-26.1758
21.455,143.174,28.3094,3.94297,0,0.273094,-27.2583
21.655,144.032,28.3261,4.03805,0,0.273261,-28.3481
21.855,144.87,28.3422,4.13265,0,0.273422,-29.4433
22.055,145.688,28.3575,4.22663,0,0.273575,-30.5419
22.255,146.482,28.372,4.31957,0,0.27372,-31.6389
22.455,147.252,28.3858,4.41125,0,0.273858,-32.732
22.655,147.998,28.3986,4.50152,0,0.273986,-33.8187
22.855,148.719,28.4106,4.59026,0,0.274106,-34.897
23.055,149.416,28.4218,4.67733,0,0.274218,-35.9644
23.255,150.087,28.432,4.76236,0,0.27432,-37.016
23.455,150.731,28.4412,4.84511,0,0.274412,-38.0495
23.655,151.347,28.4494,4.92547,0,0.274494,-39.0626
23.855,151.937,28.4566,5.00328,0,0.274566,-40.0532
