"time","outputs_1_","outputs_2_","outputs_3_","outputs_4_"
0,10,0,0,0
0.003,9.97141,0.0299999,0,0
0.006,9.94563,0.0599994,0,0
0.009,9.9226,0.0899981,0,0
0.012,9.90228,0.119996,0,0
0.015,9.88456,0.149991,0,0
0.018,9.86936,0.179985,0,0
0.021,9.85655,0.209976,0,0
0.024,9.84599,0.239965,0,0
0.027,9.83751,0.26995,0,0
0.03,9.8309,0.299932,0,0
0.033,9.82596,0.329909,0,0
0.036,9.82247,0.359882,0,0
0.039,9.82019,0.38985,0,0
0.042,9.81888,0.419812,0,0
0.045,9.81828,0.449769,0,0
0.048,9.81813,0.479719,0,0
0.051,9.81817,0.509662,0,0
0.054,9.81812,0.539599,0,0
0.057,9.81774,0.569527,0,0
0.06,9.81675,0.599448,0,0
0.063,9.8149,0.62936,0,0
0.066,9.81193,0.659264,0,0
0.069,9.80761,0.689158,0,0
0.072,9.80171,0.719042,0,0
0.075,9.79402,0.748917,0,0
0.078,9.78434,0.77878,0,0
0.081,9.7725,0.808633,0,0
0.084,9.75833,0.838474,0,0
0.087,9.74169,0.868304,0,0
0.09,9.72247,0.898121,0,0
0.093,9.70058,0.927926,0,0
0.096,9.67593,0.957717,0,0
0.099,9.6485,0.987495,0,0
0.102,9.61826,1.01726,0,0
0.105,9.58521,1.04701,0,0
0.108,9.54938,1.07674,0,0
0.111,9.51083,1.10646,0,0
0.114,9.46965,1.13617,0,0
0.117,9.42591,1.16586,0,0
0.12,9.37977,1.19553,0,0
0.123,9.33136,1.22518,0,0
0.126,9.28085,1.25482,0,0
0.129,9.22842,1.28444,0,0
0.132,9.17428,1.31404,0,0
0.135,9.11865,1.34362,0,0
0.138,9.06175,1.37319,0,0
0.141,9.00384,1.40273,0,0
0.144,8.94516,1.43226,0,0
0.147,8.88596,1.46176,0,0
0.15,8.82652,1.49124,0,0
0.153,8.76711,1.52071,0,0
0.156,8.70798,1.55015,0,0
0.159,8.6494,1.57957,0,0
0.162,8.59164,1.60896,0,0
0.165,8.53493,1.63834,0,0
0.168,8.47954,1.66769,0,0
0.171,8.42568,1.69701,0,0
0.174,8.37358,1.72632,0,0
0.177,8.32344,1.7556,0,0
0.18,8.27544,1.78485,0,0
0.183,8.22975,1.81408,0,0
0.186,8.18652,1.84328,0,0
0.189,8.14587,1.87246,0,0
0.192,8.10791,1.90161,0,0
0.195,8.07271,1.93073,0,0
0.198,8.04033,1.95983,0,0
0.201,8.0108,1.98889,0,0
0.204,7.98411,2.01793,0,0
0.207,7.96026,2.04695,0,0
0.21,7.9392,2.07593,0,0
0.213,7.92085,2.10488,0,0
0.216,7.90512,2.1338,0,0
0.219,7.8919,2.1627,0,0
0.222,7.88105,2.19156,0,0
0.225,7.8724,2.22039,0,0
0.228,7.86578,2.24919,0,0
0.231,7.861,2.27796,0,0
0.234,7.85784,2.30669,0,0
0.237,7.85606,2.3354,0,0
0.24,7.85545,2.36407,0,0
0.243,7.85574,2.3927,0,0
0.246,7.85667,2.4213,0,0
0.249,7.858,2.44987,0,0
0.252,7.85945,2.47841,0,0
0.255,7.86076,2.5069,0,0
0.258,7.86166,2.53537,0,0
0.261,7.86189,2.56379,0,0
0.264,7.8612,2.59218,0,0
0.267,7.85935,2.62054,0,0
0.27,7.85609,2.64885,0,0
0.273,7.85121,2.67713,0,0
0.276,7.8445,2.70537,0,0
0.279,7.83577,2.73357,0,0
0.282,7.82485,2.76174,0,0
0.285,7.81157,2.78986,0,0
0.288,7.79583,2.81795,0,0
0.291,7.77749,2.84599,0,0
0.294,7.75648,2.874,0,0
0.297,7.73274,2.90196,0,0
0.3,7.70622,2.92988,0,0
0.303,7.67692,2.95777,0,0
0.306,7.64485,2.98561,0,0
0.309,7.61005,3.0134,0,0
0.312,7.57258,3.04116,0,0
0.315,7.53252,3.06887,0,0
0.318,7.49,3.09653,0,0
0.321,7.44513,3.12416,0,0
0.324,7.39806,3.15174,0,0
0.327,7.34899,3.17927,0,0
0.33,7.2981,3.20676,0,0
0.333,7.24559,3.23421,0,0
0.336,7.19168,3.2616,0,0
0.339,7.13663,3.28896,0,0
0.342,7.08066,3.31626,0,0
0.345,7.02404,3.34352,0,0
0.348,6.96702,3.37073,0,0
0.351,6.90988,3.39789,0,0
0.354,6.85287,3.42501,0,0
0.357,6.79626,3.45207,0,0
0.36,6.74032,3.47909,0,0
0.363,6.6853,3.50606,0,0
0.366,6.63146,3.53298,0,0
0.369,6.57902,3.55985,0,0
0.372,6.52823,3.58666,0,0
0.375,6.47929,3.61343,0,0
0.378,6.4324,3.64015,0,0
0.381,6.38773,3.66681,0,0
0.384,6.34546,3.69342,0,0
0.387,6.30571,3.71998,0,0
0.39,6.26861,3.74649,0,0
0.393,6.23424,3.77294,0,0
0.396,6.20268,3.79934,0,0
0.399,6.17397,3.82569,0,0
0.402,6.14828,3.83211,0.0198648,0
0.405,6.12539,3.82835,0.0498648,0
0.408,6.10528,3.82453,0.0798648,0
0.411,6.08794,3.82065,0.109865,0
0.414,6.07329,3.81672,0.139865,0
0.417,6.06125,3.81274,0.169865,0
0.42,6.05169,3.8087,0.199865,0
0.423,6.04444,3.8046,0.229865,0
0.426,6.0394,3.80044,0.259865,0
0.429,6.03639,3.79623,0.289865,0
0.432,6.03517,3.79196,0.319865,0
0.435,6.03553,3.78763,0.349865,0
0.438,6.03724,3.78324,0.379865,0
0.441,6.04005,3.77879,0.409865,0
0.444,6.04371,3.77428,0.439865,0
0.447,6.04796,3.76972,0.469865,0
0.45,6.05254,3.76509,0.499865,0
0.453,6.05719,3.7604,0.529865,0
0.456,6.06163,3.75565,0.559865,0
0.459,6.06562,3.75084,0.589865,0
0.462,6.06888,3.74597,0.619865,0
0.465,6.07118,3.74104,0.649865,0
0.468,6.07224,3.73604,0.679865,0
0.471,6.07186,3.73098,0.709865,0
0.474,6.06981,3.72586,0.739865,0
0.477,6.06588,3.72068,0.769865,0
0.48,6.0599,3.71543,0.799865,0
0.483,6.05169,3.71012,0.829865,0
0.486,6.04111,3.70474,0.859865,0
0.489,6.02804,3.6993,0.889865,0
0.492,6.01237,3.69379,0.919865,0
0.495,5.99403,3.68822,0.949865,0
0.498,5.97297,3.68258,0.979865,0
0.501,5.94915,3.67688,1.00986,0
0.504,5.92257,3.6711,1.03986,0
0.507,5.89325,3.66527,1.06986,0
0.51,5.86124,3.65936,1.09986,0
0.513,5.82661,3.65339,1.12986,0
0.516,5.78946,3.64735,1.15986,0
0.519,5.7499,3.64124,1.18986,0
0.522,5.70806,3.63506,1.21986,0
0.525,5.66412,3.62882,1.24986,0
0.528,5.61825,3.6225,1.27986,0
0.531,5.57065,3.61612,1.30986,0
0.534,5.52153,3.60966,1.33986,0
0.537,5.47112,3.60314,1.36986,0
0.54,5.41966,3.59654,1.39986,0
0.543,5.3674,3.58987,1.42986,0
0.546,5.31459,3.58314,1.45986,0
0.549,5.2615,3.57633,1.48986,0
0.552,5.2084,3.56944,1.51986,0
0.555,5.15554,3.56249,1.54986,0
0.558,5.1032,3.55546,1.57986,0
0.561,5.05164,3.54837,1.60986,0
0.564,5.0011,3.54119,1.63986,0
0.567,4.95184,3.53395,1.66986,0
0.57,4.9041,3.52663,1.69986,0
0.573,4.85809,3.51923,1.72986,0
0.576,4.81402,3.51177,1.75986,0
0.579,4.77209,3.50422,1.78986,0
0.582,4.73247,3.4966,1.81986,0
0.585,4.69532,3.48891,1.84986,0
0.588,4.66075,3.48114,1.87986,0
0.591,4.6289,3.47329,1.90986,0
0.594,4.59983,3.46537,1.93986,0
0.597,4.57361,3.45737,1.96986,0
0.6,4.55029,3.4493,1.99986,0
0.603,4.52987,3.44114,2.02986,0
0.606,4.51235,3.43291,2.05986,0
0.609,4.49766,3.4246,2.08986,0
0.612,4.48578,3.41622,2.11986,0
0.615,4.47661,3.40775,2.14986,0
0.618,4.47003,3.39921,2.17986,0
0.621,4.4659,3.39058,2.20986,0
0.624,4.46409,3.38188,2.23986,0
