    "time","iAC1@modelica_icon","iAC2@modelica_icon","iAC3@modelica_icon","uAC1@modelica_icon","uAC2@modelica_icon","uAC3@modelica_icon"
         0,        -0,         0,         0,         0,         0,        -0
    1e-005,0.0020274515,-0.56669643,0.56466897, 284.36194, -565.6827, 281.32076
    2e-005,0.004079508,-0.56771415,0.56363464, 285.89683,-565.67439, 279.77757
    3e-005,0.0061459107,-0.56875504,0.56260913, 287.41482,-565.64643, 278.23161
    4e-005,0.0095182472,-0.5724023,0.56288406, 288.93404,-565.61695,  276.6829
    5e-005,0.012905094,-0.57607313,0.56316803, 290.46052,-565.59199, 275.13147
    6e-005,0.016286205,-0.57972705,0.56344085, 291.98414,-565.56146, 273.57732
    7e-005,0.019661551,-0.58336404,0.56370249, 293.50487,-565.52534, 272.02047
    8e-005,0.023031101,-0.58698407,0.56395297,  295.0227,-565.48364, 270.46094
    9e-005,0.026394827,-0.59058712,0.56419229, 296.53762,-565.43636, 268.89873
    0.0001,0.029752697,-0.59417314,0.56442045, 298.04962,-565.38349, 267.33387
   0.00011,0.033104682,-0.59774212,0.56463744, 299.55867,-565.32505, 265.76638
   0.00012,0.036450753,-0.60129402,0.56484327, 301.06477,-565.26103, 264.19626
   0.00013,0.039790879,-0.60482882,0.56503794,  302.5679,-565.19143, 262.62353
   0.00014,0.043024386,-0.61009648, 0.5670721, 304.01771,  -565.011, 260.99328
   0.00015,0.046099316,-0.63282496,0.58672564, 305.38827,-564.67717,  259.2889
   0.00016,0.049173791,-0.6763935,0.62721971, 306.75862, -564.3434, 257.58478
   0.00017,0.052247781,-0.74033157,0.68808379, 308.12877,-564.00971, 255.88094
   0.00018,0.055321255,-0.82416766,0.76884641, 309.49871,-563.67611,  254.1774
   0.00019,0.058394183,-0.9274293,0.86903512, 310.86843,-563.34261, 252.47418
    0.0002,0.061466535,-1.0496431,0.98817659, 312.23791,-563.00922, 250.77131
   0.00021,0.06453828,-1.1903348, 1.1257966, 313.60715,-562.67596, 249.06881
   0.00022,0.067609388,-1.3490294,   1.28142, 314.97614,-562.34283, 247.36669
   0.00023,0.070679829,-1.5252507, 1.4545709, 316.34487,-562.00985, 245.66497
   0.00024,0.073749572,-1.7185221, 1.6447726, 317.71334,-561.67702, 243.96369
   0.00025,0.076818588,-1.9283662, 1.8515476, 319.08152,-561.34437, 242.26285
   0.00026,0.079886845,-2.1543046, 2.0744177,  320.4494,-561.01188, 240.56248
   0.00027,0.082954314,-2.3958584, 2.3129041, 321.81699,-560.67959,  238.8626
   0.00028,0.086020964, -2.652548, 2.5665271, 323.18427,-560.34749, 237.16322
   0.00029,0.089086765,-2.9238933, 2.8348065, 324.55123, -560.0156, 235.46437
    0.0003,0.092151687,-3.2094132, 3.1172615, 325.91785,-559.68392, 233.76607
   0.00031,0.095215699,-3.5086265, 3.4134108, 327.28413,-559.35246, 232.06833
   0.00032,0.098278771,-3.8210512, 3.7227724, 328.65005,-559.02123, 230.37118
   0.00033,0.10134087,-4.1462047, 4.0448638, 330.01561,-558.69024, 228.67463
   0.00034,0.10440198,-4.4836042, 4.3792022, 331.38079,-558.35949, 226.97871
   0.00035,0.10746205,-4.8327662, 4.7253041, 332.74558,  -558.029, 225.28342
   0.00036,0.11052106,-5.1932069, 5.0826859, 334.10997,-557.69876,  223.5888
   0.00037,0.11357898,-5.5644421, 5.4508632, 335.47394,-557.36879, 221.89485
   0.00038,0.11663578,-5.9459873, 5.8293515, 336.83749,-557.03909,  220.2016
   0.00039,0.11969143,-6.3373576, 6.2176661, 338.20061,-556.70967, 218.50906
    0.0004, 0.1227459,-6.7380677, 6.6153218, 339.56327,-556.38053, 216.81726
   0.00041,0.12579915,-7.1476323, 7.0218332, 340.92548,-556.05168,  215.1262
   0.00042,0.12885117,-7.5655657, 7.4367146, 342.28721,-555.72312, 213.43591
   0.00043,0.13190191,-7.9913821, 7.8594802, 343.64845,-555.39485, 211.74641
   0.00044,0.13495135,-8.4245954, 8.2896441, 345.00919,-555.06689,  210.0577
   0.00045,0.13799946,-8.8647195,   8.72672, 346.36941,-554.73923, 208.36982
   0.00046, 0.1410462,-9.3112681, 9.1702219, 347.72911,-554.41188, 206.68277
   0.00047,0.14409156,-9.7637549, 9.6196634, 349.08827,-554.08484, 204.99657
   0.00048,0.14713549,-10.221694, 10.074558, 350.44688,-553.75811, 203.31124
   0.00049,0.15017797,-10.684598,  10.53442, 351.80491, -553.4317, 201.62679
    0.0005,0.15321897,-11.151981, 10.998762, 353.16237,-553.10561, 199.94324
   0.00051,0.15625846,-11.623357, 11.467099, 354.51923,-552.77984, 198.26061
   0.00052, 0.1592964, -12.09824, 11.938943, 355.87548,-552.45439, 196.57892
   0.00053,0.16233277,-12.576143,  12.41381,  357.2311,-552.12927, 194.89817
   0.00054,0.16536754,-13.056581, 12.891213, 358.58609,-551.80447, 193.21838
   0.00055,0.16840068,-13.539068, 13.370667, 359.94042,-551.47999, 191.53957
   0.00056,0.17143215,-14.023118, 13.851686, 361.29408,-551.15584, 189.86176
   0.00057,0.17446194,-14.508246, 14.333784, 362.64706,-550.83201, 188.18495
   0.00058,   0.17749,-14.993967, 14.816477, 363.99934,-550.50851, 186.50917
   0.00059,0.18051631,-15.479797, 15.299281, 365.35091,-550.18533, 184.83442
    0.0006,0.18354083, -15.96525,  15.78171, 366.70175,-549.86247, 183.16073
