"time","Capacitor1_i","IdealDiode3_v"
0.0098,-202.055,-505.667
0.0098,-154.946,-504.523
0.0099,-154.946,-504.523
0.0099,-106.128,-503.701
0.01,-106.128,-503.701
0.01,-56.3383,-503.209
0.0101,-56.3383,-503.209
0.0101,-6.32022,-503.05
0.0102,-6.32022,-503.05
0.0102,43.1842,-503.223
0.0103,43.1842,-503.223
0.0103,91.4371,-503.721
0.0104,91.4371,-503.721
0.0104,137.71,-504.532
0.0105,137.71,-504.532
0.0105,181.287,-505.641
0.0106,181.287,-505.641
0.0106,221.471,-507.026
0.0107,221.471,-507.026
0.0107,257.588,-508.661
0.0108,257.588,-508.661
0.0108,288.988,-510.517
0.0109,288.988,-510.517
0.0109,315.055,-512.56
0.011,315.055,-512.56
0.011,335.203,-514.751
0.0111,335.203,-514.751
0.0111,348.888,-517.049
0.0112,348.888,-517.049
0.0112,355.604,-519.408
0.0113,355.604,-519.408
0.0113,354.892,-521.779
0.0114,354.892,-521.779
0.0114,346.338,-524.113
0.0115,346.338,-524.113
0.0115,329.58,-526.354
0.0116,329.58,-526.354
0.0116,304.308,-528.446
0.0117,304.308,-528.446
0.0117,270.265,-530.332
0.0118,270.265,-530.332
0.0118,227.251,-531.953
0.0119,227.251,-531.953
0.0119,176.613,-533.248
0.012,176.613,-533.248
0.012,123.119,-534.179
0.0121,123.119,-534.179
0.0121,67.0207,-534.729
0.0122,67.0207,-534.729
0.0122,8.20351,-534.88
0.0123,8.20351,-534.88
0.0123,-53.4227,-534.614
0.0124,-53.4227,-534.614
0.0124,-117.925,-533.912
0.0125,-117.925,-533.912
0.0125,-185.345,-532.754
0.0126,-185.345,-532.754
0.0126,-184.138,-376.63
0.0127,-184.138,-376.63
0.0127,-168.171,-361.005
0.0128,-168.171,-361.005
0.0128,-148.374,-345.345
0.0129,-148.374,-345.345
0.0129,-125.322,-329.675
0.013,-125.322,-329.675
0.013,-99.6054,-314.021
0.0131,-99.6054,-314.021
0.0131,-71.834,-298.406
