"time",	"outputs[1]",	"outputs[2]",	"outputs[3]",	"outputs[4]"
0,	10,	0,	0,	0
0.0005,	9.995039,	0.005,	0,	0
0.001,	9.990157,	0.01,	0,	0
0.0015,	9.985353,	0.015,	0,	0
0.002,	9.980628,	0.02,	0,	0
0.0025,	9.975981,	0.025,	0,	0
0.003,	9.971413,	0.03,	0,	0
0.0035,	9.966922,	0.035,	0,	0
0.004,	9.96251,	0.04,	0,	0
0.0045,	9.958176,	0.045,	0,	0
0.005,	9.953919,	0.05,	0,	0
0.0055,	9.94974,	0.055,	0,	0
0.006,	9.945639,	0.06,	0,	0
0.0065,	9.941614,	0.064999,	0,	0
0.007,	9.937667,	0.069999,	0,	0
0.0075,	9.933796,	0.074999,	0,	0
0.008,	9.930001,	0.079999,	0,	0
0.0085,	9.926283,	0.084999,	0,	0
0.009,	9.92264,	0.089998,	0,	0
0.0095,	9.919073,	0.094998,	0,	0
0.01,	9.915581,	0.099998,	0,	0
0.0105,	9.912164,	0.104997,	0,	0
0.011,	9.908821,	0.109997,	0,	0
0.0115,	9.905552,	0.114997,	0,	0
0.012,	9.902357,	0.119996,	0,	0
0.0125,	9.899234,	0.124996,	0,	0
0.013,	9.896184,	0.129995,	0,	0
0.0135,	9.893207,	0.134994,	0,	0
0.014,	9.890301,	0.139994,	0,	0
0.0145,	9.887466,	0.144993,	0,	0
0.015,	9.884702,	0.149992,	0,	0
0.0155,	9.882007,	0.154991,	0,	0
0.016,	9.879382,	0.15999,	0,	0
0.0165,	9.876826,	0.164989,	0,	0
0.017,	9.874339,	0.169988,	0,	0
0.0175,	9.871919,	0.174987,	0,	0
0.018,	9.869566,	0.179986,	0,	0
0.0185,	9.867279,	0.184985,	0,	0
0.019,	9.865058,	0.189984,	0,	0
0.0195,	9.862902,	0.194982,	0,	0
0.02,	9.860811,	0.199981,	0,	0
0.0205,	9.858783,	0.204979,	0,	0
0.021,	9.856818,	0.209978,	0,	0
0.0215,	9.854915,	0.214976,	0,	0
0.022,	9.853074,	0.219974,	0,	0
0.0225,	9.851293,	0.224972,	0,	0
0.023,	9.849572,	0.229971,	0,	0
0.0235,	9.847909,	0.234969,	0,	0
0.024,	9.846306,	0.239966,	0,	0
0.0245,	9.844759,	0.244964,	0,	0
0.025,	9.843269,	0.249962,	0,	0
0.0255,	9.841834,	0.25496,	0,	0
0.026,	9.840455,	0.259957,	0,	0
0.0265,	9.839129,	0.264954,	0,	0
0.027,	9.837856,	0.269952,	0,	0
0.0275,	9.836635,	0.274949,	0,	0
0.028,	9.835465,	0.279946,	0,	0
0.0285,	9.834346,	0.284943,	0,	0
0.029,	9.833276,	0.28994,	0,	0
0.0295,	9.832253,	0.294937,	0,	0
0.03,	9.831279,	0.299933,	0,	0
0.0305,	9.83035,	0.30493,	0,	0
0.031,	9.829467,	0.309926,	0,	0
0.0315,	9.828628,	0.314923,	0,	0
0.032,	9.827832,	0.319919,	0,	0
0.0325,	9.827079,	0.324915,	0,	0
0.033,	9.826366,	0.329911,	0,	0
0.0335,	9.825694,	0.334907,	0,	0
0.034,	9.825061,	0.339902,	0,	0
0.0345,	9.824465,	0.344898,	0,	0
0.035,	9.823907,	0.349893,	0,	0
0.0355,	9.823384,	0.354888,	0,	0
0.036,	9.822897,	0.359884,	0,	0
0.0365,	9.822442,	0.364879,	0,	0
0.037,	9.82202,	0.369873,	0,	0
0.0375,	9.82163,	0.374868,	0,	0
0.038,	9.821269,	0.379863,	0,	0
0.0385,	9.820938,	0.384857,	0,	0
0.039,	9.820635,	0.389851,	0,	0
0.0395,	9.820358,	0.394845,	0,	0
0.04,	9.820107,	0.399839,	0,	0
0.0405,	9.819881,	0.404833,	0,	0
0.041,	9.819677,	0.409827,	0,	0
0.0415,	9.819496,	0.41482,	0,	0
0.042,	9.819336,	0.419814,	0,	0
0.0425,	9.819195,	0.424807,	0,	0
0.043,	9.819073,	0.4298,	0,	0
0.0435,	9.818968,	0.434793,	0,	0
0.044,	9.818879,	0.439785,	0,	0
0.0445,	9.818805,	0.444778,	0,	0
0.045,	9.818745,	0.44977,	0,	0
0.0455,	9.818697,	0.454762,	0,	0
0.046,	9.818661,	0.459754,	0,	0
0.0465,	9.818634,	0.464746,	0,	0
0.047,	9.818617,	0.469738,	0,	0
0.0475,	9.818606,	0.474729,	0,	0
0.048,	9.818603,	0.47972,	0,	0
0.0485,	9.818604,	0.484711,	0,	0
0.049,	9.818609,	0.489702,	0,	0
0.0495,	9.818617,	0.494693,	0,	0
0.05,	9.818626,	0.499683,	0,	0
0.0505,	9.818636,	0.504674,	0,	0
0.051,	9.818644,	0.509664,	0,	0
0.0515,	9.818651,	0.514654,	0,	0
0.052,	9.818653,	0.519643,	0,	0
0.0525,	9.818651,	0.524633,	0,	0
0.053,	9.818643,	0.529622,	0,	0
0.0535,	9.818628,	0.534611,	0,	0
0.054,	9.818605,	0.5396,	0,	0
0.0545,	9.818571,	0.544589,	0,	0
0.055,	9.818527,	0.549577,	0,	0
0.0555,	9.818471,	0.554565,	0,	0
0.056,	9.818402,	0.559553,	0,	0
0.0565,	9.818318,	0.564541,	0,	0
0.057,	9.818218,	0.569529,	0,	0
0.0575,	9.818102,	0.574516,	0,	0
0.058,	9.817967,	0.579503,	0,	0
0.0585,	9.817813,	0.58449,	0,	0
0.059,	9.817639,	0.589477,	0,	0
0.0595,	9.817443,	0.594463,	0,	0
0.06,	9.817224,	0.599449,	0,	0
0.0605,	9.816981,	0.604435,	0,	0
0.061,	9.816712,	0.609421,	0,	0
0.0615,	9.816418,	0.614407,	0,	0
0.062,	9.816096,	0.619392,	0,	0
0.0625,	9.815745,	0.624377,	0,	0
0.063,	9.815364,	0.629362,	0,	0
0.0635,	9.814953,	0.634346,	0,	0
0.064,	9.814509,	0.639331,	0,	0
0.0645,	9.814032,	0.644315,	0,	0
0.065,	9.813521,	0.649298,	0,	0
0.0655,	9.812975,	0.654282,	0,	0
0.066,	9.812392,	0.659265,	0,	0
0.0665,	9.811771,	0.664248,	0,	0
0.067,	9.811112,	0.669231,	0,	0
0.0675,	9.810413,	0.674213,	0,	0
0.068,	9.809673,	0.679196,	0,	0
0.0685,	9.808892,	0.684178,	0,	0
0.069,	9.808067,	0.689159,	0,	0
0.0695,	9.807199,	0.694141,	0,	0
0.07,	9.806286,	0.699122,	0,	0
0.0705,	9.805327,	0.704103,	0,	0
0.071,	9.804321,	0.709083,	0,	0
0.0715,	9.803267,	0.714064,	0,	0
