"time","mu","x0","der(x0)","x1","der(x1)"
1.60000000000000E+00,1.00000000000000E+00,9.23030196915986E-01,-1.23409936217978E+00,-1.23409936217978E+00,-1.10569572942167E+00
1.70000000000000E+00,1.00000000000000E+00,7.94358191454802E-01,-1.35445886214034E+00,-1.35445886214034E+00,-1.29414682552685E+00
1.80000000000000E+00,1.00000000000000E+00,6.52769433720771E-01,-1.49489109771941E+00,-1.49489109771941E+00,-1.51067557483372E+00
1.90000000000000E+00,1.00000000000000E+00,4.96144651551530E-01,-1.65770607850868E+00,-1.65770607850868E+00,-1.74579060532567E+00
2.00000000000000E+00,1.00000000000000E+00,3.22196933577673E-01,-1.84351828992194E+00,-1.84351828992194E+00,-1.97433799701038E+00
2.10000000000000E+00,1.00000000000000E+00,1.28727245464273E-01,-2.04912404114533E+00,-2.04912404114533E+00,-2.14389585922838E+00
2.20000000000000E+00,1.00000000000000E+00,-8.58517785534108E-02,-2.26410369951120E+00,-2.26410369951120E+00,-2.16156428151556E+00
2.30000000000000E+00,1.00000000000000E+00,-3.21600206671303E-01,-2.46642874497051E+00,-2.46642874497051E+00,-1.88973396985689E+00
2.40000000000000E+00,1.00000000000000E+00,-5.75714036484550E-01,-2.61908330371193E+00,-2.61908330371193E+00,-1.17528287541281E+00
2.50000000000000E+00,1.00000000000000E+00,-8.41064007584308E-01,-2.67258135441979E+00,-2.67258135441979E+00,5.90364091806318E-02
2.60000000000000E+00,1.00000000000000E+00,-1.10548524582947E+00,-2.57943442804283E+00,-2.57943442804283E+00,1.67837151580523E+00
2.70000000000000E+00,1.00000000000000E+00,-1.35307783409789E+00,-2.31968782165722E+00,-2.31968782165722E+00,3.28032000049892E+00
2.80000000000000E+00,1.00000000000000E+00,-1.56801369348995E+00,-1.92107396832691E+00,-1.92107396832691E+00,4.37022078609244E+00
2.90000000000000E+00,1.00000000000000E+00,-1.73926585848612E+00,-1.45213052024406E+00,-1.45213052024406E+00,4.67989656281999E+00
3.00000000000000E+00,1.00000000000000E+00,-1.86333889771460E+00,-9.89528673703458E-01,-9.89528673703458E-01,4.30948529335779E+00
3.10000000000000E+00,1.00000000000000E+00,-1.94354160924309E+00,-5.86777303908348E-01,-5.86777303908348E-01,3.57322989365145E+00
3.20000000000000E+00,1.00000000000000E+00,-1.98705127043254E+00,-2.64823718009322E-01,-2.64823718009322E-01,2.76785030451648E+00
3.30000000000000E+00,1.00000000000000E+00,-2.00195437375905E+00,-2.06580259937238E-02,-2.06580259937238E-02,2.06409002466080E+00
3.40000000000000E+00,1.00000000000000E+00,-1.99544075420015E+00,1.59837184207147E-01,1.59837184207147E-01,1.51884082713058E+00
3.50000000000000E+00,1.00000000000000E+00,-1.97314197655529E+00,2.92865977103886E-01,2.92865977103886E-01,1.12579599048532E+00
3.60000000000000E+00,1.00000000000000E+00,-1.93914516076623E+00,3.92525928403511E-01,3.92525928403511E-01,8.55662138859741E-01
3.70000000000000E+00,1.00000000000000E+00,-1.89627113416750E+00,4.69693643176280E-01,4.69693643176280E-01,6.77019608045714E-01
3.80000000000000E+00,1.00000000000000E+00,-1.84639088196401E+00,5.32290519616845E-01,5.32290519616845E-01,5.64018232182535E-01
3.90000000000000E+00,1.00000000000000E+00,-1.79069175455235E+00,5.85957406259571E-01,5.85957406259571E-01,4.97731642463056E-01
4.00000000000000E+00,1.00000000000000E+00,-1.72987458441856E+00,6.34723402652476E-01,6.34723402652476E-01,4.65209735836739E-01
4.10000000000000E+00,1.00000000000000E+00,-1.66428948485687E+00,6.81542729729133E-01,6.81542729729133E-01,4.58054617210680E-01
4.20000000000000E+00,1.00000000000000E+00,-1.59402441542099E+00,7.28691749147023E-01,7.28691749147023E-01,4.71173216283051E-01
4.30000000000000E+00,1.00000000000000E+00,-1.51895933079375E+00,7.78054746405816E-01,7.78054746405816E-01,5.01857029226897E-01
4.40000000000000E+00,1.00000000000000E+00,-1.43879553157483E+00,8.31331321553926E-01,8.31331321553926E-01,5.49160798209139E-01
4.50000000000000E+00,1.00000000000000E+00,-1.35306678669023E+00,8.90192148928574E-01,8.90192148928574E-01,6.13504292306533E-01
4.60000000000000E+00,1.00000000000000E+00,-1.26113648953745E+00,9.56401573487921E-01,9.56401573487921E-01,6.96414599897270E-01
4.70000000000000E+00,1.00000000000000E+00,-1.16218364850446E+00,1.03191685646850E+00,1.03191685646850E+00,8.00320505013523E-01
4.80000000000000E+00,1.00000000000000E+00,-1.05517996338724E+00,1.11896380756409E+00,1.11896380756409E+00,9.28284146786744E-01
4.90000000000000E+00,1.00000000000000E+00,-9.38860863944867E-01,1.22007403951342E+00,1.22007403951342E+00,1.08348877995567E+00
5.00000000000000E+00,1.00000000000000E+00,-8.11695840781941E-01,1.33804496558732E+00,1.33804496558732E+00,1.26816969621852E+00
