"time","mu","x0","der(x0)","x1","der(x1)"
0.00000000000000E+00,1.00000000000000E+00,2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00
1.00000000000000E-01,1.00000000000000E+00,1.99168724332266E+00,-1.74907800519467E-01,-1.74907800519467E-01,-1.47276761924554E+00
2.00000000000000E-01,1.00000000000000E+00,1.96806938450999E+00,-3.04035315816354E-01,-3.04035315816354E-01,-1.09448559259455E+00
3.00000000000000E-01,1.00000000000000E+00,1.93308148608973E+00,-4.01103421713113E-01,-4.01103421713113E-01,-8.35340024351286E-01
4.00000000000000E-01,1.00000000000000E+00,1.88943015245692E+00,-4.76629002300627E-01,-4.76629002300627E-01,-6.64519211038728E-01
5.00000000000000E-01,1.00000000000000E+00,1.83890472681967E+00,-5.38253218005524E-01,-5.38253218005524E-01,-5.57016690519751E-01
6.00000000000000E-01,1.00000000000000E+00,1.78263513145332E+00,-5.91419322979316E-01,-5.91419322979316E-01,-4.94649219867918E-01
7.00000000000000E-01,1.00000000000000E+00,1.72128136770307E+00,-6.40025727862058E-01,-6.40025727862058E-01,-4.65032758856683E-01
8.00000000000000E-01,1.00000000000000E+00,1.65516343568410E+00,-6.86945218905330E-01,-6.86945218905330E-01,-4.60176889820581E-01
9.00000000000000E-01,1.00000000000000E+00,1.58434564772762E+00,-7.34407801975422E-01,-7.34407801975422E-01,-4.75278874611504E-01
1.00000000000000E+00,1.00000000000000E+00,1.50868775003334E+00,-7.84276531645783E-01,-7.84276531645783E-01,-5.07842095243965E-01
1.10000000000000E+00,1.00000000000000E+00,1.42787207658879E+00,-8.38248433906380E-01,-8.38248433906380E-01,-5.57083955777840E-01
1.20000000000000E+00,1.00000000000000E+00,1.34141300246190E+00,-8.98006253559885E-01,-8.98006253559885E-01,-6.23556822265779E-01
1.30000000000000E+00,1.00000000000000E+00,1.24865275909580E+00,-9.65338472862641E-01,-9.65338472862641E-01,-7.08899474657784E-01
1.40000000000000E+00,1.00000000000000E+00,1.14874631637592E+00,-1.04223632258354E+00,-1.04223632258354E+00,-8.15628723839422E-01
1.50000000000000E+00,1.00000000000000E+00,1.04063760971923E+00,-1.13096605793062E+00,-1.13096605793062E+00,-9.46850400504828E-01
