"Time","J1.w","J2.w","J3.w","J4.w"
0.000,10,0,0,0
0.047,9.81796,0.499681,-3.16E-15,-3.17E-15
0.110,9.63888,0.997418,-1.78E-15,-1.79E-15
0.141,8.8266,1.49124,-2.89E-15,-2.88E-15
0.188,8.01971,1.97921,-1.11E-15,-1.10E-15
0.250,7.85809,2.45939,-4.44E-16,-4.17E-16
0.297,7.70588,2.92988,0,3.80E-17
0.344,6.92841,3.38884,-8.88E-16,-8.22E-16
0.390,6.16453,3.83445,-1.33E-15,-1.23E-15
0.453,6.05193,3.76496,0.5,-4.33E-15
0.500,5.95696,3.67865,1,-5.33E-15
0.546,5.24349,3.57391,1.5,-3.33E-15
0.593,4.54985,3.44916,2,-2.66E-15
0.640,4.51453,3.30294,2.5,-3.55E-15
0.702,4.5018,3.13384,3,-4.44E-15
0.749,3.87684,3.22028,3.22028,-5.33E-15
0.796,3.33305,3.33305,3.33305,-6.22E-15
0.858,3.46418,3.42601,3.42601,-4.44E-15
0.890,3.55539,3.53967,3.53967,0.5
0.952,3.27276,3.27276,3.27276,1
0.999,2.99983,2.99983,2.99983,1.5
1.046,3.17807,2.8198,2.8198,2
1.092,3.38706,2.62452,2.62452,2.44254
1.139,2.99014,2.44254,2.44254,2.45836
1.202,2.62434,2.45836,2.45836,2.46373
1.248,2.9265,2.46373,2.46373,2.46373
1.295,3.24474,2.46373,2.46373,2.46373
1.342,2.92626,2.46373,2.46373,2.46373
1.404,2.60803,2.46373,2.46373,2.46373
1.451,2.92644,2.46373,2.46373,2.46373
1.498,3.24472,2.46373,2.46373,2.46373
