"time","step-size","source.i.der_T","source.i.der_p"
0.5330000000000004,0.001,-3.279897674173565,1392.3259136446986
0.5340000000000004,0.001,-3.261237615374055,1400.397458806027
0.5350000000000004,0.001,-3.242389490122132,1408.4133172368684
0.5360000000000004,0.001,-3.2233544664600795,1416.37254954036
0.5370000000000004,0.001,-3.2041337123789724,1424.2742163228293
0.5380000000000004,0.001,-3.1847283958178423,1432.1173781936373
0.5390000000000004,0.001,-3.165139684664307,1439.9010957652836
0.5400000000000004,0.001,-3.1453687467543543,1447.6244296533023
0.5410000000000004,0.001,-3.12541674987237,1455.2864404763095
0.5420000000000004,0.001,-3.1052848617511226,1462.8861888560073
0.5430000000000004,0.001,-3.0849742500717587,1470.4227354172376
0.5440000000000004,0.001,-3.0644860824638274,1477.8951407878194
0.5450000000000004,0.001,-3.0438215265052606,1485.3024655988165
0.5460000000000004,0.001,-3.022981749722198,1492.6437704842165
0.5470000000000004,0.001,-3.001967919589578,1499.9181160811963
0.5480000000000004,0.001,-2.9807812035303347,1507.1245630299672
0.5490000000000004,0.001,-2.959422768916215,1514.2621719738227
0.5500000000000004,0.001,-2.9378937830669694,1521.330003559191
0.5510000000000004,0.001,-2.9161954132509567,1528.3271184355344
0.5520000000000004,0.001,-2.894328826685159,1535.2525772553959
0.5530000000000004,0.001,-2.8722951905345626,1542.1054406744547
0.5540000000000004,0.001,-2.8500956719127926,1548.8847693513671
0.5550000000000004,0.001,-2.8277314378818605,1555.5896239480344
0.5560000000000004,0.001,-2.805203655452244,1562.2190651292763
0.5570000000000004,0.001,-2.7825134915828174,1568.7721535631044
0.5580000000000004,0.001,-2.7596621131809096,1575.2479499205062
0.5590000000000004,0.001,-2.736650687102062,1581.6455148757082
0.5600000000000004,0.001,-2.7134803801506653,1587.9639091058611
0.5610000000000004,0.001,-2.6901523590793355,1594.2021932913044
0.5620000000000004,0.001,-2.6666677905889493,1600.3594281154042
0.5630000000000004,0.001,-2.643027841329208,1606.43467426461
0.5640000000000004,0.001,-2.619233677897869,1612.4269924285045
0.5650000000000004,0.001,-2.5952864668413587,1618.3354432996923
0.5660000000000004,0.001,-2.5711873746547034,1624.1590875738739
0.5670000000000004,0.001,-2.546937567781048,1629.8969859498636
0.5680000000000004,0.001,-2.5225382126121443,1635.5481991295214
0.5690000000000004,0.001,-2.4979904754882476,1641.111787817775
