"time","J1_0w","J2_0w","J3_0w","J4_0w"
0,10,0,0,0
0.003,9.97141,0.03,5.52683e-015,5.52682e-015
0.006,9.94563,0.0599995,7.63972e-015,7.63972e-015
0.009,9.92262,0.0899982,6.80012e-015,6.80011e-015
0.012,9.90231,0.119996,8.67362e-015,8.67361e-015
0.015,9.88462,0.149992,8.32667e-015,8.32667e-015
0.018,9.86946,0.179986,7.21645e-015,7.21913e-015
0.021,9.85667,0.209977,6.55032e-015,6.56744e-015
0.024,9.84612,0.239966,7.85483e-015,7.90064e-015
0.027,9.83764,0.269951,7.60503e-015,7.69317e-015
0.03,9.83104,0.299933,4.88498e-015,5.02885e-015
0.033,9.8261,0.32991,8.49321e-015,8.70272e-015
0.036,9.82262,0.359883,5.71765e-015,5.99961e-015
0.039,9.82034,0.389851,7.32747e-015,7.68309e-015
0.042,9.81904,0.419813,7.99361e-015,8.42024e-015
0.045,9.81844,0.44977,1.27121e-014,1.32019e-014
0.048,9.8183,0.47972,1.17129e-014,1.22562e-014
0.051,9.81837,0.509663,1.25455e-014,1.3132e-014
0.054,9.81837,0.539599,7.77156e-015,8.38978e-015
0.057,9.81805,0.569528,1.28786e-014,1.35177e-014
0.06,9.81714,0.599449,1.21014e-014,1.27515e-014
0.063,9.81539,0.629361,1.40998e-014,1.47529e-014
0.066,9.81252,0.659264,1.36557e-014,1.43071e-014
0.069,9.80826,0.689159,1.35447e-014,1.41936e-014
0.072,9.80247,0.719043,1.19904e-014,1.26317e-014
0.075,9.79491,0.748917,1.05471e-014,1.1178e-014
0.078,9.78535,0.778781,1.03251e-014,1.09468e-014
0.081,9.77358,0.808634,1.03251e-014,1.09414e-014
0.084,9.75952,0.838475,1.28786e-014,1.34887e-014
0.087,9.74302,0.868305,1.29896e-014,1.35941e-014
0.09,9.7239,0.898122,9.65894e-015,1.02597e-014
0.093,9.70206,0.927927,1.28786e-014,1.34779e-014
0.096,9.67752,0.957718,1.06581e-014,1.12572e-014
0.099,9.65018,0.987496,1.18794e-014,1.24792e-014
0.102,9.62001,1.01726,1.28786e-014,1.34795e-014
0.105,9.587,1.04701,1.24345e-014,1.30361e-014
0.108,9.55123,1.07674,9.54792e-015,1.01516e-014
0.111,9.51273,1.10646,1.26565e-014,1.32625e-014
0.114,9.47158,1.13617,1.26565e-014,1.32642e-014
0.117,9.42786,1.16586,6.88338e-015,7.49187e-015
0.12,9.38172,1.19553,1.17684e-014,1.23805e-014
0.123,9.3333,1.22518,1.17684e-014,1.23871e-014
0.126,9.28278,1.25482,1.44329e-014,1.50625e-014
0.129,9.23034,1.28444,1.15463e-014,1.21935e-014
0.132,9.17617,1.31404,1.17684e-014,1.24324e-014
0.135,9.12049,1.34362,1.17684e-014,1.24515e-014
0.138,9.06356,1.37319,1.28786e-014,1.35821e-014
0.141,9.00562,1.40273,1.06581e-014,1.1382e-014
0.144,8.9469,1.43226,1.28786e-014,1.36256e-014
0.147,8.88766,1.46176,9.99201e-015,1.07628e-014
0.15,8.8282,1.49124,1.13243e-014,1.21188e-014
0.153,8.76877,1.52071,1.28786e-014,1.36958e-014
0.156,8.70961,1.55015,1.26565e-014,1.34957e-014
0.159,8.65102,1.57957,1.26565e-014,1.3516e-014
0.162,8.59323,1.60896,1.04361e-014,1.13134e-014
0.165,8.53652,1.63834,1.19904e-014,1.28828e-014
0.168,8.48112,1.66769,1.17684e-014,1.26734e-014
0.171,8.42725,1.69701,1.22125e-014,1.31273e-014
0.174,8.37515,1.72632,1.13243e-014,1.22463e-014
0.177,8.325,1.7556,1.04361e-014,1.13628e-014
0.18,8.27701,1.78485,1.26565e-014,1.3585e-014
0.183,8.23132,1.81408,1.08802e-014,1.18083e-014
0.186,8.1881,1.84328,1.24345e-014,1.33607e-014
0.189,8.14745,1.87246,1.22125e-014,1.31356e-014
0.192,8.1095,1.90161,1.02141e-014,1.11319e-014
0.195,8.07432,1.93073,1.11022e-014,1.20134e-014
0.198,8.04195,1.95983,1.28786e-014,1.3782e-014
0.201,8.01243,1.9889,1.08802e-014,1.17748e-014
0.204,7.98577,2.01794,1.24345e-014,1.33191e-014
0.207,7.96195,2.04695,1.15463e-014,1.24196e-014
0.21,7.94091,2.07593,1.19904e-014,1.28508e-014
0.213,7.92257,2.10488,1.24345e-014,1.32805e-014
0.216,7.90689,2.1338,1.24345e-014,1.32651e-014
0.219,7.8937,2.1627,1.19904e-014,1.28042e-014
0.222,7.88288,2.19156,1.02141e-014,1.10094e-014
0.225,7.87425,2.22039,1.06581e-014,1.14336e-014
0.228,7.86768,2.24919,1.33227e-014,1.40775e-014
0.231,7.86293,2.27796,9.76996e-015,1.05032e-014
0.234,7.85979,2.30669,1.15463e-014,1.22574e-014
0.237,7.85804,2.3354,1.15463e-014,1.2235e-014
0.24,7.85747,2.36407,1.19904e-014,1.26563e-014
0.243,7.85779,2.3927,1.11022e-014,1.17456e-014
0.246,7.85875,2.4213,1.11022e-014,1.17239e-014
0.249,7.8601,2.44987,1.24345e-014,1.30353e-014
0.252,7.86158,2.47841,1.19904e-014,1.25711e-014
0.255,7.86291,2.5069,1.24345e-014,1.29963e-014
0.258,7.86383,2.53537,1.24345e-014,1.29789e-014
0.261,7.86408,2.56379,1.19904e-014,1.2519e-014
0.264,7.86341,2.59218,1.02141e-014,1.07284e-014
0.267,7.86157,2.62054,1.15463e-014,1.20482e-014
0.27,7.85832,2.64885,1.11022e-014,1.15933e-014
0.273,7.85345,2.67713,1.06581e-014,1.11403e-014
0.276,7.84674,2.70537,1.28786e-014,1.33537e-014
0.279,7.83801,2.73358,1.28786e-014,1.33486e-014
0.282,7.82709,2.76174,1.28786e-014,1.33454e-014
0.285,7.81381,2.78986,1.06581e-014,1.11236e-014
0.288,7.79805,2.81795,1.19904e-014,1.24565e-014
0.291,7.7797,2.84599,1.15463e-014,1.2015e-014
0.294,7.75869,2.874,1.19904e-014,1.24636e-014
0.297,7.73493,2.90196,1.28786e-014,1.33583e-014
0.3,7.70839,2.92989,1.19904e-014,1.24785e-014
0.303,7.67907,2.95777,1.19904e-014,1.24886e-014
0.306,7.64698,2.98561,1.06581e-014,1.11684e-014
0.309,7.61216,3.0134,1.24345e-014,1.29584e-014
0.312,7.57465,3.04116,1.37668e-014,1.43059e-014
0.315,7.53456,3.06887,1.37668e-014,1.43226e-014
0.318,7.49201,3.09654,1.15463e-014,1.21201e-014
0.321,7.44712,3.12416,1.33227e-014,1.39156e-014
0.324,7.40002,3.15174,1.37668e-014,1.43798e-014
0.327,7.35091,3.17927,1.55431e-014,1.6177e-014
0.33,7.29999,3.20676,1.55431e-014,1.61983e-014
0.333,7.24745,3.23421,1.28786e-014,1.35555e-014
0.336,7.19351,3.26161,1.37668e-014,1.44656e-014
0.339,7.13842,3.28896,1.46549e-014,1.53757e-014
0.342,7.08243,3.31626,1.5099e-014,1.58414e-014
0.345,7.02578,3.34352,1.46549e-014,1.54185e-014
0.348,6.96873,3.37073,1.5099e-014,1.58831e-014
0.351,6.91155,3.39789,1.59872e-014,1.67911e-014
0.354,6.85453,3.42501,1.46549e-014,1.54776e-014
0.357,6.7979,3.45208,1.42109e-014,1.50512e-014
0.36,6.74194,3.47909,1.5099e-014,1.59558e-014
0.363,6.6869,3.50606,1.59872e-014,1.68589e-014
0.366,6.63305,3.53298,1.59872e-014,1.68723e-014
0.369,6.5806,3.55985,1.64313e-014,1.73282e-014
0.372,6.5298,3.58666,1.64313e-014,1.73382e-014
0.375,6.48085,3.61343,1.46549e-014,1.55699e-014
0.378,6.43395,3.64015,1.68754e-014,1.77965e-014
0.381,6.38929,3.66681,1.55431e-014,1.64685e-014
0.384,6.34702,3.69342,1.5099e-014,1.60265e-014
0.387,6.30728,3.71998,1.5099e-014,1.60266e-014
0.39,6.27018,3.74649,1.59872e-014,1.69129e-014
0.393,6.23583,3.77294,1.68754e-014,1.77946e-014
0.396,6.20429,3.79934,1.59872e-014,1.68955e-014
