    "time","Rte_UPiActuator_EcuUPi_OP_SET_upi"
         0,         0
     0.001, 100.00195
     0.077, 100.00195
     0.078,         0
     0.079, 12.353516
      0.08, 34.228516
     0.081, 12.353516
     0.082, 21.724609
     0.087, 21.724609
     0.088, 21.720703
     0.094, 21.720703
     0.095, 21.714844
     0.099, 21.714844
       0.1, 12.335938
     0.101, 34.216797
     0.102, 12.335938
     0.103, 21.710938
     0.106, 21.710938
     0.107, 21.707031
     0.113, 21.707031
     0.114, 21.703125
     0.119, 21.703125
      0.12, 21.699219
     0.124, 21.699219
     0.125, 12.324219
     0.126, 34.199219
     0.127, 12.320313
     0.128, 21.695313
     0.132, 21.695313
     0.133, 21.691406
     0.138, 21.691406
     0.139,   21.6875
     0.145,   21.6875
     0.146, 21.683594
     0.151, 21.683594
     0.152, 21.679688
     0.153, 12.304688
     0.154, 34.179688
     0.155, 12.304688
     0.156, 21.679688
     0.157, 21.679688
     0.158, 21.675781
     0.164, 21.675781
     0.165, 21.671875
      0.17, 21.671875
     0.171, 21.666016
     0.177, 21.666016
     0.178, 21.662109
     0.182, 21.662109
     0.183, 12.283203
     0.184, 34.158203
     0.185, 12.283203
     0.186, 21.658203
     0.189, 21.658203
      0.19, 21.654297
     0.195, 21.654297
     0.196, 21.650391
       0.2, 21.650391
