"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6","Out7","Out8","Out9"
0.058,1.115934974,3.115934974,0,0.098544728,0,0,-12,0.231869947,0.1,0.724823055
0.059,1.117931552,3.117931552,0,0.100241819,0,0,-12,0.235863105,0.1,0.737177794
0.06,1.119928013,3.119928013,0,0.101938811,0,0,-12,0.239856026,0.1,0.749525258
0.061,1.121924354,3.121924354,0,0.103635701,0,0,-12,0.243848707,0.1,0.761865325
0.062,1.123920573,3.123920573,0,0.105332487,0,0,-12,0.247841145,0.1,0.774197872
0.063,1.125916668,3.125916668,0,0.107029167,0,0.5,-12,0.251833335,0.1,0.786522778
0.064,1.127912637,3.127912637,0,0.108725741,0,0.5,-12,0.255825273,0.1,0.798839922
0.065,1.129908478,3.129908478,0,0.110422206,0,0.5,-12,0.259816955,0.1,0.811149181
0.066,1.131904189,3.131904189,0,0.112118561,0,0.5,-12,0.263808378,0.1,0.823450435
0.067,1.133899768,3.133899768,0,0.113814803,0,0.5,-12,0.267799536,0.1,0.835743562
0.068,1.135895214,3.135895214,0,0.115510932,0,0.5,-12,0.271790427,0.1,0.84802844
0.069,1.137890523,3.137890523,0,0.117206945,0,0.5,-12,0.275781046,0.1,0.860304948
0.07,1.139885695,3.139885695,0,0.11890284,0,0.5,-12,0.279771389,0.1,0.872572966
0.071,1.141880726,3.141880726,0,0.120598617,0,0.5,-12,0.283761453,0.1,0.884832371
0.072,1.143875616,3.143875616,0,0.122294274,0,0.5,-12,0.287751232,0.1,0.897083044
0.073,1.145870362,3.145870362,0,0.123989808,0,0.5,-12,0.291740724,0.1,0.909324863
0.074,1.147864962,3.147864962,0,0.125685218,0,0.5,-12,0.295729925,0.1,0.921557707
0.075,1.149859415,3.149859415,0,0.127380502,0,0.5,-12,0.299718829,0.1,0.933781455
0.076,1.151853717,3.151853717,0,0.129075659,0,0.5,-12,0.303707434,0.1,0.945995988
0.077,1.153847867,3.153847867,0,0.130770687,0,0.5,-12,0.307695735,0.1,0.958201184
