"Time","SignalOutput1","SignalInput1"
0.0,100000.0,0.0
0.001,100000.0,0.0
0.002,100229.52414,0.0
0.003,100486.138768,0.0
0.004,100742.612437,0.0
0.005,100998.947371,0.0
0.006,101255.145759,0.0
0.007,101511.209757,0.0
0.008,101767.141485,0.0
0.009,102022.943031,0.0
0.01,102278.616452,0.0
0.011,102534.16377,0.0
0.012,102789.586978,0.0
0.013,103044.888038,0.0
0.014,103300.06888,0.0
0.015,103555.131407,0.0
0.016,103810.077489,0.0
0.017,104064.908971,0.0
0.018,104319.627668,0.0
0.019,104574.235367,0.0
0.02,104828.733829,0.0
0.021,105083.124785,0.0
0.022,105337.409945,0.0
0.023,105591.590987,0.0
0.024,105845.669569,0.0
0.025,106099.647321,0.0
0.026,106353.525848,0.0
0.027,106607.306732,0.0
0.028,106860.991532,0.0
0.029,107114.581782,0.0
0.03,107368.078993,0.0
0.031,107621.484655,0.0
0.032,107874.800235,0.0
0.033,108128.027177,0.0
0.034,108381.166905,0.0
0.035,108634.220822,0.0
0.036,108887.190308,0.0
0.037,109140.076726,0.0
0.038,109392.881416,0.0
0.039,109645.605701,0.0
0.04,109898.25088,0.0
0.041,110150.818239,0.0
0.042,110403.30904,0.0
0.043,110655.72453,0.0
0.044,110908.065935,0.0
0.045,111160.334466,0.0
0.046,111412.531313,0.0
0.047,111664.657653,0.0
0.048,111916.714642,0.0
0.049,112168.703421,0.0
0.05,112420.625115,0.0
0.051,112672.480832,0.0
0.052,112924.271664,0.0
0.053,113175.998687,0.0
0.054,113427.662964,0.0
0.055,113679.265539,0.0
0.056,113930.807445,0.0
0.057,114182.289696,0.0
0.058,114433.713295,0.0
0.059,114685.079229,0.0
0.06,114936.388473,0.0
0.061,115187.641985,0.0
0.062,115438.840712,0.0
0.063,115689.985587,0.0
0.064,115941.077529,0.0
0.065,116192.117445,0.0
0.066,116443.10623,0.0
0.067,116694.044764,0.0
0.068,116944.933916,0.0
0.069,117195.774544,0.0
0.07,117446.567492,0.0
0.071,117697.313594,0.0
0.072,117948.013672,0.0
0.073,118198.668534,0.0
0.074,118449.278981,0.0
0.075,118699.845801,0.0
0.076,118950.36977,0.0
0.077,119200.851654,0.0
0.078,119451.292209,0.0
0.079,119701.692181,0.0
0.08,119952.052304,0.0
0.081,120202.373304,0.0
0.082,120452.655896,0.0
0.083,120702.900784,0.0
0.084,120953.108665,0.0
0.085,121203.280224,0.0
0.086,121453.416139,0.0
0.087,121703.517076,0.0
0.088,121953.583695,0.0
0.089,122203.616645,0.0
0.09,122453.616567,0.0
0.091,122703.584093,0.0
0.092,122953.519846,0.0
0.093,123203.424442,0.0
0.094,123453.298488,0.0
0.095,123703.142583,0.0
0.096,123952.957316,0.0
0.097,124202.743272,0.0
0.098,124452.501025,0.0
0.099,124702.231143,0.0
0.1,124951.934184,0.0
0.101,125201.610702,0.0
0.102,125451.261242,0.0
0.103,125700.886341,0.0
0.104,125950.48653,0.0
0.105,126200.062332,0.0
0.106,126449.614264,0.0
0.107,126699.142836,0.0
0.108,126948.648551,0.0
0.109,127198.131906,0.0
0.11,127447.593389,0.0
0.111,127697.033486,0.0
0.112,127946.452672,0.0
0.113,128195.851419,0.0
0.114,128445.230192,0.0
0.115,128694.589449,0.0
0.116,128943.929643,0.0
0.117,129193.25122,0.0
0.118,129442.554621,0.0
0.119,129691.840283,0.0
0.12,129941.108633,0.0
0.121,130190.360097,0.0
0.122,130439.595092,0.0
0.123,130688.814033,0.0
0.124,130938.017325,0.0
0.125,131187.205373,0.0
0.126,131436.378572,0.0
0.127,131685.537316,0.0
0.128,131934.681992,0.0
0.129,132183.812981,0.0
0.13,132432.93066,0.0
0.131,132682.035403,0.0
0.132,132931.127577,0.0
0.133,133180.207544,0.0
0.134,133429.275663,0.0
0.135,133678.332288,0.0
0.136,133927.377768,0.0
0.137,134176.412448,0.0
0.138,134425.436668,0.0
0.139,134674.450764,0.0
0.14,134923.455068,0.0
0.141,135172.449907,0.0
0.142,135421.435605,0.0
0.143,135670.412482,0.0
0.144,135919.380852,0.0
0.145,136168.341027,0.0
0.146,136417.293314,0.0
0.147,136666.238018,0.0
0.148,136915.175437,0.0
0.149,137164.105867,0.0
0.15,137413.029602,0.0
0.151,137661.946929,0.0
0.152,137910.858133,0.0
0.153,138159.763496,0.0
0.154,138408.663295,0.0
0.155,138657.557806,0.0
0.156,138906.447298,0.0
0.157,139155.33204,0.0
0.158,139404.212296,0.0
0.159,139653.088327,0.0
0.16,139901.960391,0.0
0.161,140150.828742,0.0
0.162,140399.693631,0.0
0.163,140648.555307,0.0
0.164,140897.414015,0.0
0.165,141146.269997,0.0
0.166,141395.123492,0.0
0.167,141643.974737,0.0
0.168,141892.823965,0.0
0.169,142141.671405,0.0
0.17,142390.517287,0.0
0.171,142639.361834,0.0
0.172,142888.205268,0.0
0.173,143137.04781,0.0
0.174,143385.889675,0.0
0.175,143634.731077,0.0
0.176,143883.572227,0.0
0.177,144132.413335,0.0
0.178,144381.254607,0.0
0.179,144630.096245,0.0
0.18,144878.938452,0.0
0.181,145127.781426,0.0
0.182,145376.625363,0.0
0.183,145625.470458,0.0
0.184,145874.3169,0.0
0.185,146123.164881,0.0
0.186,146372.014586,0.0
0.187,146620.866201,0.0
0.188,146869.719907,0.0
0.189,147118.575885,0.0
0.19,147367.434313,0.0
0.191,147616.295366,0.0
0.192,147865.159218,0.0
0.193,148114.026042,0.0
0.194,148362.896005,0.0
0.195,148611.769276,0.0
0.196,148860.64602,0.0
0.197,149109.526401,0.0
0.198,149358.410579,0.0
0.199,149607.298715,0.0
0.2,149856.190966,0.0
0.201,150105.087488,0.0
0.202,150353.988434,0.0
0.203,150602.893956,0.0
0.204,150851.804205,0.0
0.205,151100.719328,0.0
0.206,151349.639473,0.0
0.207,151598.564784,0.0
0.208,151847.495404,0.0
0.209,152096.431474,0.0
0.21,152345.373134,0.0
0.211,152594.320522,0.0
0.212,152843.273774,0.0
0.213,153092.233024,0.0
0.214,153341.198407,0.0
0.215,153590.170052,0.0
0.216,153839.148091,0.0
0.217,154088.132651,0.0
0.218,154337.123859,0.0
