"time","tankLevel","tankLevel2","tankLevel3"
0,0,0,0
0.05,0,0,0
0.05,0.0138889,0,0
0.1,0.0138889,0,0
0.1,0.0416667,0,0
0.15,0.0416667,0,0
0.15,0.0833333,0,0
0.2,0.0833333,0,0
0.2,0.138889,0,0
0.25,0.138889,0,0
0.25,0.208333,0,0
0.3,0.208333,0,0
0.3,0.291667,0,0
0.35,0.291667,0,0
0.35,0.388889,0,0
0.4,0.388889,0,0
0.4,0.5,0,0
0.45,0.5,0,0
0.45,0.625,0,0
0.5,0.625,0,0
0.5,0.763889,0,0
0.55,0.763889,0,0
0.55,0.902778,0,0
0.6,0.902778,0,0
0.6,1.04167,0,0
0.65,1.04167,0,0
0.65,1.18056,0,0
0.7,1.18056,0,0
0.7,1.31944,0,0
0.75,1.31944,0,0
0.75,1.45833,0,0
0.8,1.45833,0,0
0.8,1.59722,0,0
0.85,1.59722,0,0
0.85,1.73611,0,0
0.9,1.73611,0,0
0.9,1.875,0,0
0.95,1.875,0,0
0.95,2.01389,0,0
1,2.01389,0,0
1,2.15278,0,0
1.05,2.15278,0,0
1.05,2.29167,0,0
1.1,2.29167,0,0
1.1,2.43056,0,0
1.15,2.43056,0,0
1.15,2.56944,0,0
1.2,2.56944,0,0
1.2,2.70833,0,0
1.25,2.70833,0,0
1.25,2.84722,0,0
1.3,2.84722,0,0
1.3,2.98611,0,0
1.35,2.98611,0,0
1.35,3.125,0,0
1.4,3.125,0,0
1.4,3.26389,0,0
1.45,3.26389,0,0
1.45,3.40278,0,0
1.5,3.40278,0,0
1.5,3.54167,0,0
1.55,3.54167,0,0
1.55,3.68055,0,0
1.6,3.68055,0,0
1.6,3.81944,0,0
1.65,3.81944,0,0
1.65,3.95833,0,0
1.7,3.95833,0,0
1.7,4.09722,0,0
1.75,4.09722,0,0
1.75,4.23611,0,0
1.8,4.23611,0,0
1.8,4.375,0,0
1.85,4.375,0,0
1.85,4.51389,0,0
1.9,4.51389,0,0
1.9,4.65278,0,0
1.95,4.65278,0,0
1.95,4.79167,0,0
2,4.79167,0,0
2,4.93055,0,0
2.05,4.93055,0,0
2.05,5.06944,0,0
2.1,5.06944,0,0
2.1,5.20833,0,0
2.15,5.20833,0,0
2.15,5.34722,0,0
2.2,5.34722,0,0
2.2,5.48611,0,0
2.25,5.48611,0,0
2.25,5.625,0,0
2.3,5.625,0,0
2.3,5.76389,0,0
2.35,5.76389,0,0
2.35,5.90278,0,0
2.4,5.90278,0,0
2.4,6.04167,0,0
2.45,6.04167,0,0
2.45,6.18055,0,0
2.5,6.18055,0,0
2.5,6.31944,0,0
2.55,6.31944,0,0
2.55,6.45833,0,0
2.6,6.45833,0,0
2.6,6.59722,0,0
2.65,6.59722,0,0
2.65,6.73611,0,0
2.7,6.73611,0,0
2.7,6.875,0,0
2.75,6.875,0,0
2.75,7.01389,0,0
2.8,7.01389,0,0
2.8,7.15278,0,0
2.85,7.15278,0,0
2.85,7.29166,0,0
2.9,7.29166,0,0
2.9,7.43055,0,0
2.95,7.43055,0,0
2.95,7.56944,0,0
3,7.56944,0,0
3,7.70833,0,0
3.05,7.70833,0,0
3.05,7.84722,0,0
3.1,7.84722,0,0
3.1,7.98611,0,0
3.15,7.98611,0,0
3.15,8.125,0,0
3.2,8.125,0,0
3.2,8.26389,0,0
3.25,8.26389,0,0
3.25,8.40278,0,0
3.3,8.40278,0,0
3.3,8.54167,0,0
3.35,8.54167,0,0
3.35,8.68056,0,0
3.4,8.68056,0,0
3.4,8.81944,0,0
3.45,8.81944,0,0
3.45,8.95833,0,0
3.5,8.95833,0,0
3.5,9.09722,0,0
3.55,9.09722,0,0
3.55,9.23611,0,0
3.6,9.23611,0,0
3.6,9.375,0,0
3.65,9.375,0,0
3.65,9.51389,0,0
3.7,9.51389,0,0
3.7,9.65278,0,0
3.75,9.65278,0,0
3.75,9.79167,0,0
3.8,9.79167,0,0
3.8,9.93056,0,0
3.85,9.93056,0,0
3.85,10.0694,0,0
3.9,10.0694,0,0
3.9,10.2083,0,0
3.95,10.2083,0,0
3.95,10.3472,0,0
4,10.3472,0,0
4,10.4861,0,0
4,10.4861,0,0
4.05,10.4861,0,0
4.05,10.625,0,0
4.1,10.625,0,0
4.1,10.7639,0,0
4.15,10.7639,0,0
4.15,10.9028,0,0
4.2,10.9028,0,0
4.2,11.0417,0,0
4.25,11.0417,0,0
4.25,11.1806,0,0
4.3,11.1806,0,0
4.3,11.3195,0,0
4.35,11.3195,0,0
4.35,11.4583,0,0
4.4,11.4583,0,0
4.4,11.5972,0,0
4.45,11.5972,0,0
4.45,11.7361,0,0
4.5,11.7361,0,0
4.5,11.875,0,0
4.55,11.875,0,0
4.55,12.0139,0,0
4.6,12.0139,0,0
4.6,12.1528,0,0
4.65,12.1528,0,0
4.65,12.2917,0,0
4.7,12.2917,0,0
4.7,12.4306,0,0
4.75,12.4306,0,0
4.75,12.5695,0,0
4.8,12.5695,0,0
4.8,12.7083,0,0
4.85,12.7083,0,0
4.85,12.8472,0,0
4.9,12.8472,0,0
4.9,12.9861,0,0
4.95,12.9861,0,0
4.95,13.125,0,0
5,13.125,0,0
5,13.2639,0,0
5,13.2639,0,0
5.05,13.2639,0,0
5.05,13.4028,0,0
5.1,13.4028,0,0
5.1,13.5417,0,0
5.15,13.5417,0,0
5.15,13.6806,0,0
5.2,13.6806,0,0
5.2,13.8195,0,0
5.25,13.8195,0,0
5.25,13.9583,0,0
5.3,13.9583,0,0
5.3,14.0972,0,0
5.35,14.0972,0,0
5.35,14.2361,0,0
5.4,14.2361,0,0
5.4,14.375,0,0
5.45,14.375,0,0
5.45,14.5139,0,0
5.5,14.5139,0,0
5.5,14.6528,0,0
5.55,14.6528,0,0
5.55,14.7917,0,0
5.6,14.7917,0,0
5.6,14.9306,0,0
5.65,14.9306,0,0
5.65,15.0695,0,0
5.7,15.0695,0,0
5.7,15.2084,0,0
5.75,15.2084,0,0
