"time","speedVal2","axlePosition","cycleEnd","rotation"
0.000,0,0.00,0,0
0.050,0,0.00,1,0
0.100,0,0.00,1,0
0.150,0,0.00,1,0
0.200,0,0.00,1,0
0.250,0,0.00,1,0
0.300,0,0.00,1,0
0.350,0,0.00,1,0
0.400,0,0.00,1,0
0.450,0,0.00,1,0
0.500,0,0.00,1,0
0.550,0,0.00,1,0
0.600,0,0.00,1,0
0.650,0,0.00,1,0
0.700,0,0.00,1,0
0.750,0,0.00,1,0
0.800,0,0.00,1,0
0.850,0,0.00,1,0
0.900,0,0.00,1,0
0.950,0,0.00,1,0
1.000,0,0.00,1,0
1.050,0,0.00,1,0
1.100,0,0.00,1,0
1.150,0,0.00,1,0
1.200,0,0.00,1,0
1.250,0,0.00,1,0
1.300,0,0.00,1,0
1.350,0,0.00,1,0
1.400,0,0.00,1,0
1.450,0,0.00,1,0
1.500,0,0.00,1,0
1.550,0,0.00,1,0
1.600,0,0.00,1,0
1.650,0,0.00,1,0
1.700,0,0.00,1,0
1.750,0,0.00,1,0
1.800,0,0.00,1,0
1.850,0,0.00,1,0
1.900,0,0.00,1,0
1.950,0,0.00,1,0
2.000,0,0.00,1,0
2.050,0,0.00,1,0
2.100,0,0.00,1,0
2.150,0,0.00,1,0
2.200,0,0.00,1,0
2.250,0,0.00,1,0
2.300,0,0.00,1,0
2.350,0,0.00,1,0
2.400,0,0.00,1,0
2.450,0,0.00,1,0
2.500,0,0.00,1,0
2.550,0,0.00,1,0
2.600,0,0.00,1,0
2.650,0,0.00,1,0
2.700,0,0.00,1,0
2.750,0,0.00,1,0
2.800,0,0.00,1,0
2.850,0,0.00,1,0
2.900,0,0.00,1,0
2.950,0,0.00,1,0
3.000,0,0.00,1,0
3.050,0,0.00,1,0
3.100,0,0.00,1,0
3.150,0,0.00,1,0
3.200,0,0.00,1,0
3.250,0,0.00,1,0
3.300,0,0.00,1,0
3.350,0,0.00,1,0
3.400,0,0.00,1,0
3.450,0,0.00,1,0
3.500,0,0.00,1,0
3.550,0,0.00,1,0
3.600,0,0.00,1,0
3.650,0,0.00,1,0
3.700,0,0.00,1,0
3.750,0,0.00,1,0
3.800,0,0.00,1,0
3.850,0,0.00,1,0
3.900,0,0.00,1,0
3.950,0,0.00,1,0
4.000,0,0.00,1,0
4.050,0,0.00,1,0
4.100,0,0.00,1,0
4.150,0,0.00,1,0
4.200,0,0.00,1,0
4.250,0,0.00,1,0
4.300,0,0.00,1,0
4.350,0,0.00,1,0
4.400,0,0.00,1,0
4.450,0,0.00,1,0
4.500,0,0.00,1,0
4.550,0,0.00,1,0
4.600,0,0.00,1,0
4.650,0,0.00,1,0
4.700,0,0.00,1,0
4.750,0,0.00,1,0
4.800,0,0.00,1,0
4.850,0,0.00,1,0
4.900,0,0.00,0,0
4.950,0,0.00,0,0
5.000,0,0.00,0,0
5.050,0,0.00,0,0
5.100,0,0.00,0,0
5.150,0,0.00,0,0
5.200,0,0.00,0,0
5.250,0,0.00,0,0
5.300,0,0.00,0,0
5.350,0,0.00,0,0
5.400,0,0.00,0,0
5.450,0,0.00,0,0
5.500,0,0.00,0,0
5.550,0,0.00,0,0
5.600,0,0.00,0,0
5.650,0,0.00,0,0
5.700,0,0.00,0,0
5.750,0,0.00,0,0
5.800,0,0.00,0,0
5.850,0,0.00,0,0
5.900,0,0.00,0,0
5.950,0,0.00,0,1
6.000,500,10.00,0,1
6.050,1000,20.00,0,1
6.100,1500,30.00,0,1
6.150,2000,40.00,0,1
6.200,2500,50.00,0,1
6.250,3000,60.00,0,1
6.300,3500,70.00,0,1
6.350,4000,80.00,0,1
6.400,4500,80.00,0,1
6.450,5000,85.00,0,1
6.500,5000,90.00,0,1
6.550,5000,95.00,0,1
6.600,5000,100.00,0,1
6.650,5000,100.00,0,1
6.700,5000,95.00,0,1
6.750,5000,85.00,0,1
6.800,5000,75.00,0,1
6.850,5000,65.00,0,1
6.900,5000,55.00,0,1
6.950,5000,45.00,0,1
7.000,5000,35.00,0,1
7.050,5000,25.00,0,0
7.100,4500,25.00,0,0
7.150,4000,20.00,0,0
7.200,3500,15.00,0,0
7.250,3000,10.00,0,0
7.300,2500,5.00,0,0
7.350,2000,0.00,0,0
7.400,1500,0.00,0,0
7.450,1000,0.00,0,0
7.500,500,0.00,0,0
7.550,0,0.00,0,0
7.600,0,0.00,0,0
7.650,0,0.00,0,0
7.700,0,0.00,0,0
7.750,0,0.00,0,0
7.800,0,0.00,0,0
7.850,0,0.00,0,0
7.900,0,0.00,0,0
7.950,0,0.00,0,0
8.000,0,0.00,0,0
8.050,0,0.00,0,0
8.100,0,0.00,0,0
8.150,0,0.00,0,0
8.200,0,0.00,0,0
8.250,0,0.00,0,0
8.300,0,0.00,0,0
8.350,0,0.00,0,0
8.400,0,0.00,0,0
8.450,0,0.00,1,0
8.500,0,0.00,1,0
8.550,0,0.00,1,0
8.600,0,0.00,1,0
8.650,0,0.00,1,0
8.700,0,0.00,1,0
8.750,0,0.00,1,0
8.800,0,0.00,1,0
8.850,0,0.00,1,0
8.900,0,0.00,1,0
8.950,0,0.00,1,0
9.000,0,0.00,0,0
9.050,0,0.00,0,0
9.100,0,0.00,0,0
9.150,0,0.00,0,0
9.200,0,0.00,0,0
9.250,0,0.00,0,0
9.300,0,0.00,0,0
9.350,0,0.00,0,0
9.400,0,0.00,0,0
9.450,0,0.00,0,0
9.500,0,0.00,0,0
9.550,0,0.00,0,0
9.600,0,0.00,0,0
9.650,0,0.00,0,0
9.700,0,0.00,0,0
9.750,0,0.00,0,0
9.800,0,0.00,0,0
9.850,0,0.00,0,0
9.900,0,0.00,0,0
9.950,0,0.00,0,0
10.000,0,0.00,0,0
