"time","C1.v","L2.i","C3.v","C5.v","L1.i"
0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.20000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.40000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
3.60000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
4.80000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
6.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
7.20000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
8.40000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
9.60000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.08000000000000E+00,5.93813718372209E-02,1.49363488782104E-04,6.69631413532930E-03,3.49618819151947E-03,1.63201302216899E-03
1.20000000000000E+00,1.41515404966871E-01,9.30048119526801E-04,1.60740015880696E-02,8.10433465255951E-03,9.88210754727326E-03
1.32000000000000E+00,2.15512067042964E-01,2.37846017011391E-03,2.49738428982557E-02,1.22085174855980E-02,2.44803495711508E-02
1.44000000000000E+00,2.81620029894881E-01,4.50348996755461E-03,3.37278569053999E-02,1.60671323845535E-02,4.47130681163972E-02
1.56000000000000E+00,3.40117429671154E-01,7.32370354665785E-03,4.26282838238298E-02,1.99000380502837E-02,6.98667585946159E-02
1.68000000000000E+00,3.91313418203087E-01,1.08678042072938E-02,5.19254964125232E-02,2.38909832764468E-02,9.92301687785896E-02
1.80000000000000E+00,4.35544534141984E-01,1.51734119336555E-02,6.18309046651610E-02,2.81921551753212E-02,1.32100642064219E-01
1.92000000000000E+00,4.73170710016108E-01,2.02857762535477E-02,7.25189408793923E-02,3.29279110383606E-02,1.67789628984420E-01
2.04000000000000E+00,5.04573429778401E-01,2.62563730087649E-02,8.41258453076172E-02,3.81976098231585E-02,2.05627403429168E-01
2.16000000000000E+00,5.30151097966726E-01,3.31410952701512E-02,9.67528137338918E-02,4.40789152745892E-02,2.44968682400111E-01
2.28000000000000E+00,5.50314107452621E-01,4.09978300442771E-02,1.10468514136739E-01,5.06311973144292E-02,2.85199041332253E-01
2.40000000000000E+00,5.65483117954977E-01,4.98846039937309E-02,1.25308594877003E-01,5.78971425290885E-02,3.25737691403527E-01
2.52000000000000E+00,5.76085375644047E-01,5.98573661086896E-02,1.41277827838235E-01,6.59046983496249E-02,3.66040952241029E-01
2.64000000000000E+00,5.82550998984333E-01,7.09676311362672E-02,1.58352445692050E-01,7.46690793020162E-02,4.05605560813640E-01
2.76000000000000E+00,5.85307977180622E-01,8.32594469446522E-02,1.76483768168625E-01,8.41950287328423E-02,4.43972146969123E-01
2.88000000000000E+00,5.84783755678779E-01,9.67703357264293E-02,1.95597002221077E-01,9.44761181771892E-02,4.80724181684239E-01
3.00000000000000E+00,5.81394625178236E-01,1.11524449831262E-01,2.15597852713034E-01,1.05500195483926E-01,5.15494508278798E-01
3.12000000000000E+00,5.75554474129328E-01,1.27538119548558E-01,2.36366819088461E-01,1.17245022233157E-01,5.47959561651468E-01
3.24000000000000E+00,5.67658306271382E-01,1.44810789760098E-01,2.57775447595289E-01,1.29683146690499E-01,5.77846874707917E-01
3.36000000000000E+00,5.58089023976245E-01,1.63328539352647E-01,2.79678916225866E-01,1.42780321552105E-01,6.04932013326570E-01
3.48000000000000E+00,5.47210582911326E-01,1.83061105186531E-01,3.01922942463452E-01,1.56498328534479E-01,6.29038115560782E-01
3.60000000000000E+00,5.35365001620759E-01,2.03959928245132E-01,3.24346891029173E-01,1.70795356463682E-01,6.50038474438311E-01
3.72000000000000E+00,5.22874885183760E-01,2.25961149832554E-01,3.46783215586096E-01,1.85625413193009E-01,6.67849700662915E-01
3.84000000000000E+00,5.10037520445505E-01,2.48982081554738E-01,3.69062562181899E-01,2.00940399014993E-01,6.82434789533074E-01
3.96000000000000E+00,4.97127765264271E-01,2.72924552312918E-01,3.91014197930102E-01,2.16688590179539E-01,6.93797200920967E-01
4.08000000000000E+00,4.84395225017695E-01,2.97673680867917E-01,4.12468714928621E-01,2.32815868211708E-01,7.01980205440519E-01
4.20000000000000E+00,4.72063750138871E-01,3.23099478389670E-01,4.33261819619677E-01,2.49265308680562E-01,7.07064024183888E-01
4.32000000000000E+00,4.60331334716633E-01,3.49057632108694E-01,4.53235663502839E-01,2.65977160652941E-01,7.09162639591264E-01
4.44000000000000E+00,4.49369338348164E-01,3.75391050801945E-01,4.72241665831490E-01,2.82889694550941E-01,7.08421238567519E-01
4.56000000000000E+00,4.39322320256209E-01,4.01931166501197E-01,4.90143184310067E-01,2.99938768323266E-01,7.05012900145113E-01
4.68000000000000E+00,4.30309080119786E-01,4.28500303729226E-01,5.06815639566946E-01,3.17058765572862E-01,6.99134825412333E-01
4.80000000000000E+00,4.22422433761976E-01,4.54913502176140E-01,5.22149436788216E-01,3.34182684107610E-01,6.91005003954890E-01
4.92000000000000E+00,4.15730746708869E-01,4.80980775518388E-01,5.36049811883391E-01,3.51242437350336E-01,6.80858422444993E-01
5.04000000000000E+00,4.10279001383946E-01,5.06509947234082E-01,5.48437940642263E-01,3.68169442445530E-01,6.68942888156093E-01
5.16000000000000E+00,4.06089457524692E-01,5.31308217193603E-01,5.59252190475850E-01,3.84894632275609E-01,6.55516209579941E-01
5.28000000000000E+00,4.03164006074838E-01,5.55185574798179E-01,5.68447599564816E-01,4.01349000168151E-01,6.40841545383862E-01
5.40000000000000E+00,4.01484480642829E-01,5.77956224397035E-01,5.75997449820751E-01,4.17463913523936E-01,6.25184969615672E-01
5.52000000000000E+00,4.01015261611756E-01,5.99441732042703E-01,5.81892503952926E-01,4.33171436072863E-01,6.08811438017065E-01
5.64000000000000E+00,4.01705155621795E-01,6.19472407370557E-01,5.86139873714686E-01,4.48405192584962E-01,5.91983185769512E-01
5.76000000000000E+00,4.03488700983697E-01,6.37890171317469E-01,5.88764090750860E-01,4.63100476101551E-01,5.74955441959687E-01
5.88000000000000E+00,4.06285430864951E-01,6.54551422963383E-01,5.89810962818797E-01,4.77194095980982E-01,5.57970552653783E-01
6.00000000000000E+00,4.10005620662590E-01,6.69326980747279E-01,5.89338300139177E-01,4.90626289435058E-01,5.41261695602264E-01
6.12000000000000E+00,4.14552441754845E-01,6.82103694674496E-01,5.87413953597301E-01,5.03341462743496E-01,5.25051211096698E-01
6.24000000000000E+00,4.19815456630342E-01,6.92792170278374E-01,5.84135862007620E-01,5.15285433226673E-01,5.09532413840953E-01
6.36000000000000E+00,4.25682222054178E-01,7.01321728091511E-01,5.79609002132426E-01,5.26409244087165E-01,4.94883868652797E-01
6.48000000000000E+00,4.32051263353309E-01,7.07633594631125E-01,5.73924622905418E-01,5.36671889382688E-01,4.81282354765081E-01
6.60000000000000E+00,4.38803697517331E-01,7.11706212423018E-01,5.67217349481571E-01,5.46033909175375E-01,4.68855657544047E-01
6.72000000000000E+00,4.45826733140036E-01,7.13539467611746E-01,5.59622197223841E-01,5.54462839562638E-01,4.57713181304696E-01
6.84000000000000E+00,4.53000372529595E-01,7.13133841075201E-01,5.51262931217064E-01,5.61931550555909E-01,4.47973019381691E-01
