"time","In1"
0.000000,0.000000
0.001000,0.001000
0.002000,0.002000
0.003000,0.003000
0.004000,0.004000
0.005000,0.005000
0.006000,0.006000
0.007000,0.007000
0.008000,0.008000
0.009000,0.009000
0.010000,0.010000
0.011000,0.011000
0.012000,0.012000
0.013000,0.013000
0.014000,0.014000
0.015000,0.014999
0.016000,0.015999
0.017000,0.016999
0.018000,0.017999
0.019000,0.018999
0.020000,0.019999
0.021000,0.020998
0.022000,0.021998
0.023000,0.022998
0.024000,0.023998
0.025000,0.024997
0.026000,0.025997
0.027000,0.026997
0.028000,0.027996
0.029000,0.028996
0.030000,0.029996
0.031000,0.030995
0.032000,0.031995
0.033000,0.032994
0.034000,0.033993
0.035000,0.034993
0.036000,0.035992
0.037000,0.036992
0.038000,0.037991
0.039000,0.038990
0.040000,0.039989
0.041000,0.040989
0.042000,0.041988
0.043000,0.042987
0.044000,0.043986
0.045000,0.044985
0.046000,0.045984
0.047000,0.046983
0.048000,0.047982
0.049000,0.048980
0.050000,0.049979
0.051000,0.050978
0.052000,0.051977
0.053000,0.052975
0.054000,0.053974
0.055000,0.054972
0.056000,0.055971
0.057000,0.056969
0.058000,0.057967
0.059000,0.058966
0.060000,0.059964
0.061000,0.060962
0.062000,0.061960
0.063000,0.062958
0.064000,0.063956
0.065000,0.064954
0.066000,0.065952
0.067000,0.066950
0.068000,0.067948
0.069000,0.068945
0.070000,0.069943
0.071000,0.070940
0.072000,0.071938
0.073000,0.072935
0.074000,0.073932
0.075000,0.074930
0.076000,0.075927
0.077000,0.076924
0.078000,0.077921
0.079000,0.078918
0.080000,0.079915
0.081000,0.080911
0.082000,0.081908
0.083000,0.082905
0.084000,0.083901
0.085000,0.084898
0.086000,0.085894
0.087000,0.086890
0.088000,0.087886
0.089000,0.088883
0.090000,0.089879
0.091000,0.090874
0.092000,0.091870
0.093000,0.092866
0.094000,0.093862
0.095000,0.094857
0.096000,0.095853
0.097000,0.096848
0.098000,0.097843
0.099000,0.098838
0.100000,0.099833
0.101000,0.100828
0.102000,0.101823
0.103000,0.102818
0.104000,0.103813
0.105000,0.104807
0.106000,0.105802
0.107000,0.106796
0.108000,0.107790
0.109000,0.108784
0.110000,0.109778
0.111000,0.110772
0.112000,0.111766
0.113000,0.112760
0.114000,0.113753
0.115000,0.114747
0.116000,0.115740
0.117000,0.116733
0.118000,0.117726
0.119000,0.118719
0.120000,0.119712
0.121000,0.120705
0.122000,0.121698
0.123000,0.122690
0.124000,0.123682
0.125000,0.124675
0.126000,0.125667
0.127000,0.126659
0.128000,0.127651
0.129000,0.128643
0.130000,0.129634
0.131000,0.130626
0.132000,0.131617
0.133000,0.132608
0.134000,0.133599
0.135000,0.134590
0.136000,0.135581
0.137000,0.136572
0.138000,0.137562
0.139000,0.138553
0.140000,0.139543
0.141000,0.140533
0.142000,0.141523
0.143000,0.142513
0.144000,0.143503
0.145000,0.144492
0.146000,0.145482
0.147000,0.146471
0.148000,0.147460
0.149000,0.148449
0.150000,0.149438
0.151000,0.150427
0.152000,0.151415
0.153000,0.152404
0.154000,0.153392
0.155000,0.154380
0.156000,0.155368
0.157000,0.156356
0.158000,0.157343
0.159000,0.158331
0.160000,0.159318
0.161000,0.160305
0.162000,0.161292
0.163000,0.162279
0.164000,0.163266
0.165000,0.164252
0.166000,0.165239
0.167000,0.166225
0.168000,0.167211
0.169000,0.168197
0.170000,0.169182
0.171000,0.170168
0.172000,0.171153
0.173000,0.172138
0.174000,0.173123
0.175000,0.174108
0.176000,0.175093
0.177000,0.176077
0.178000,0.177062
0.179000,0.178046
0.180000,0.179030
0.181000,0.180013
0.182000,0.180997
0.183000,0.181980
