"time","x","der(x)"
0,1,-1
0.001,0.998739,-0.998739
0.002,0.997783,-0.997783
0.003,0.996826,-0.996826
0.004,0.99587,-0.99587
0.005,0.994914,-0.994914
0.006,0.993958,-0.993958
0.007,0.993002,-0.993002
0.008,0.992045,-0.992045
0.009,0.991089,-0.991089
0.01,0.990133,-0.990133
0.011,0.989177,-0.989177
0.012,0.988221,-0.988221
0.013,0.987265,-0.987265
0.014,0.986308,-0.986308
0.015,0.985352,-0.985352
0.016,0.984396,-0.984396
0.017,0.98344,-0.98344
0.018,0.982484,-0.982484
0.019,0.981527,-0.981527
0.02,0.980571,-0.980571
0.021,0.979615,-0.979615
0.022,0.978659,-0.978659
0.023,0.977703,-0.977703
0.024,0.976747,-0.976747
0.025,0.97579,-0.97579
0.026,0.974834,-0.974834
0.027,0.973878,-0.973878
0.028,0.972922,-0.972922
0.029,0.971966,-0.971966
0.03,0.971009,-0.971009
0.031,0.970053,-0.970053
0.032,0.969097,-0.969097
0.033,0.968141,-0.968141
0.034,0.967185,-0.967185
0.035,0.966229,-0.966229
0.036,0.965272,-0.965272
0.037,0.964316,-0.964316
0.038,0.96336,-0.96336
0.039,0.962404,-0.962404
0.04,0.961448,-0.961448
0.041,0.960492,-0.960492
0.042,0.959535,-0.959535
0.043,0.958579,-0.958579
0.044,0.957623,-0.957623
0.045,0.956667,-0.956667
0.046,0.955711,-0.955711
0.047,0.954754,-0.954754
0.048,0.953798,-0.953798
0.049,0.952842,-0.952842
0.05,0.951886,-0.951886
0.051,0.95093,-0.95093
0.052,0.949974,-0.949974
0.053,0.949017,-0.949017
0.054,0.948061,-0.948061
0.055,0.947105,-0.947105
0.056,0.946149,-0.946149
0.057,0.945193,-0.945193
0.058,0.944236,-0.944236
0.059,0.94328,-0.94328
0.06,0.942324,-0.942324
0.061,0.941368,-0.941368
0.062,0.940412,-0.940412
0.063,0.939456,-0.939456
0.064,0.938499,-0.938499
0.065,0.937543,-0.937543
0.066,0.936587,-0.936587
0.067,0.935631,-0.935631
0.068,0.934675,-0.934675
0.069,0.933719,-0.933719
0.07,0.932762,-0.932762
0.071,0.931806,-0.931806
0.072,0.93085,-0.93085
0.073,0.929894,-0.929894
0.074,0.928938,-0.928938
0.075,0.927981,-0.927981
0.076,0.927025,-0.927025
0.077,0.926069,-0.926069
0.078,0.925113,-0.925113
0.079,0.924157,-0.924157
0.08,0.923201,-0.923201
0.081,0.922244,-0.922244
0.082,0.921288,-0.921288
0.083,0.920332,-0.920332
0.084,0.919376,-0.919376
0.085,0.91842,-0.91842
0.086,0.917463,-0.917463
0.087,0.916507,-0.916507
0.088,0.915551,-0.915551
0.089,0.914595,-0.914595
0.09,0.913639,-0.913639
0.091,0.912683,-0.912683
0.092,0.911726,-0.911726
0.093,0.91077,-0.91077
0.094,0.909814,-0.909814
0.095,0.908858,-0.908858
0.096,0.907902,-0.907902
0.097,0.906945,-0.906945
0.098,0.905989,-0.905989
0.099,0.905033,-0.905033
0.1,0.904382,-0.904382
0.101,0.903204,-0.903204
0.102,0.90234,-0.90234
0.103,0.901475,-0.901475
0.104,0.90061,-0.90061
0.105,0.899745,-0.899745
0.106,0.898881,-0.898881
0.107,0.898016,-0.898016
0.108,0.897151,-0.897151
0.109,0.896286,-0.896286
0.11,0.895422,-0.895422
0.111,0.894557,-0.894557
0.112,0.893692,-0.893692
0.113,0.892827,-0.892827
0.114,0.891963,-0.891963
0.115,0.891098,-0.891098
0.116,0.890233,-0.890233
0.117,0.889368,-0.889368
0.118,0.888504,-0.888504
0.119,0.887639,-0.887639
0.12,0.886774,-0.886774
0.121,0.885909,-0.885909
0.122,0.885045,-0.885045
0.123,0.88418,-0.88418
0.124,0.883315,-0.883315
0.125,0.88245,-0.88245
0.126,0.881586,-0.881586
0.127,0.880721,-0.880721
0.128,0.879856,-0.879856
0.129,0.878991,-0.878991
0.13,0.878127,-0.878127
0.131,0.877262,-0.877262
0.132,0.876397,-0.876397
0.133,0.875532,-0.875532
0.134,0.874668,-0.874668
0.135,0.873803,-0.873803
0.136,0.872938,-0.872938
0.137,0.872073,-0.872073
0.138,0.871209,-0.871209
