"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6[1]","Out6[2]","Out6[3]","Out6[4]","Out6[5]","Out6[6]","Out7","Out8[1]","Out8[2]","Out9","Out10","Out11"
0,0,0,0,0,12,12,1,0,1,0,1,0,0,0,0,0,0,6
0.001,0,0.001,0,0,12,12,1,0,1,0,1,0,0,0.001,0,0,0,6
0.002,0,0.001999999,0,0,12,12,1,0,1,0,1,0,0,0.001999999,0,0,0,6
0.003,0,0.002999996,0,0,12,12,1,0,1,0,1,0,0,0.002999996,0,0,0,6
0.004,0,0.003999989,0,0,12,12,1,0,1,0,1,0,0,0.003999989,0,0,0,6
0.005,0,0.004999979,0,0,12,12,1,0,1,0,1,0,0,0.004999979,0,0,0,6
0.006,0,0.005999964,0,0,12,12,1,0,1,0,1,0,0,0.005999964,0,0,0,6
0.007,0,0.006999943,0,0,12,12,1,0,1,0,1,0,0,0.006999943,0,0,0,6
0.008,0,0.007999915,0,0,12,12,1,0,1,0,1,0,0,0.007999915,0,0,0,6
0.009,0,0.008999879,0,0,12,12,1,0,1,0,1,0,0,0.008999879,0,0,0,6
0.01,0,0.009999833,0,0,12,12,1,0,1,0,1,0,0,0.009999833,0,0,0,6
0.011,0,0.010999778,0,0,12,12,1,0,1,0,1,0,0,0.010999778,0,0,0,6
0.012,0,0.011999712,0,0,12,12,1,0,1,0,1,0,0,0.011999712,0,0,0,6
0.013,0,0.012999634,0,0,12,12,1,0,1,0,1,0,0,0.012999634,0,0,0,6
0.014,0,0.013999543,0,0,12,12,1,0,1,0,1,0,0,0.013999543,0,0,0,6
0.015,0,0.014999438,0,0,12,12,1,0,1,0,1,0,0,0.014999438,0,0,0,6
0.016,0,0.015999317,0,0,12,12,1,0,1,0,1,0,0,0.015999317,0,0,0,6
0.017,0,0.016999181,0,0,12,12,1,0,1,0,1,0,0,0.016999181,0,0,0,6
0.018,0,0.017999028,0,0,12,12,1,0,1,0,1,0,0,0.017999028,0,0,0,6
0.019,0,0.018998857,0,0,12,12,1,0,1,0,1,0,0,0.018998857,0,0,0,6
0.02,0,0.019998667,0,0,12,12,1,0,1,0,1,0,0,0.019998667,0,0,0,6
0.021,0,0.020998457,0,0,12,12,1,0,1,0,1,0,0,0.020998457,0,0,0,6
0.022,0,0.021998225,0,0,12,12,1,0,1,0,1,0,0,0.021998225,0,0,0,6
0.023,0,0.022997972,0,0,12,12,1,0,1,0,1,0,0,0.022997972,0,0,0,6
0.024,0,0.023997696,0,0,12,12,1,0,1,0,1,0,0,0.023997696,0,0,0,6
