"time","egsCarSpeed","   egsGear","  egsState","egsTargetGear","tShiftStart","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","valves_mv1","valves_mv2","valves_mv3"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,2,-2,0,0
0.02,0,0,0,0,0,0.02,0.02,0,0,2.2371e-65,2,-2,0,0
0.03,0,0,0,0,0,0.04,0.04,0,0,4.012e-65,2,-2,0,0
0.04,0,0,0,0,0,0.06,0.06,0,0,2.3723e-65,2,-2,0,0
0.05,0,0,0,0,0,0.08,0.08,0,0,3.8886e-65,2,-2,0,0
0.06,0,0,0,0,0,0.1,0.1,0,0,2.4572e-65,2,-2,0,0
0.07,0,0,0,0,0,0.12,0.12,0,0,-6.7358e-66,2,-2,0,0
0.08,0,0,0,0,0,0.14,0.14,0,0,-8.5104e-66,2,-2,0,0
0.09,0,0,0,0,0,0.16,0.16,0,0,-1.3465e-64,2,-2,0,0
0.1,0,0,0,0,0,0.18,0.18,0,0,-2.1952e-66,2,-2,0,0
0.11,0,0,0,0,0,0.2,0.2,0,0,-5.2065e-66,2,-2,0,0
0.12,0,0,0,0,0,0.22,0.22,0,0,-2.1659e-64,2,-2,0,0
0.13,0,0,0,0,0,0.24,0.24,0,0,1.2232e-64,2,-2,0,0
0.14,0,0,0,0,0,0.26,0.26,0,0,8.7013e-65,2,-2,0,0
0.15,0,0,0,0,0,0.28,0.28,0,0,8.3716e-65,2,-2,0,0
0.16,0,0,0,0,0,0.3,0.3,0,0,-7.7107e-65,2,-2,0,0
0.17,0,0,0,0,0,0.32,0.32,0,0,-4.3482e-66,2,-2,0,0
0.18,0,0,0,0,0,0.34,0.34,0,0,2.6276e-12,2,-2,0,0
0.19,0,0,0,0,0,0.36,0.36,0,0,-2.5779e-13,2,-2,0,0
0.2,0,0,0,0,0,0.38,0.38,0,0,-2.1212e-13,2,-2,0,0
0.21,0,0,0,0,0,0.4,0.4,0,0,-1.9406e-14,2,-2,0,0
0.22,0,0,0,0,0,0.42,0.42,0,0,1.4184e-14,2,-2,0,0
0.23,0,0,0,0,0,0.44,0.44,0,0,-3.2218e-14,2,-2,0,0
0.24,0,0,0,0,0,0.46,0.46,0,0,-9.483e-15,2,-2,0,0
0.25,0,0,0,0,0,0.48,0.48,0,0,3.6579e-15,2,-2,0,0
0.26,0,0,0,0,0,0.5,0.5,0,0,-9.859e-15,2,-2,0,0
0.27,0,0,0,0,0,0.52,0.52,0,0,-1.1441e-15,2,-2,0,0
0.28,0,0,0,0,0,0.54,0.54,0,0,1.0166e-15,2,-2,0,0
0.29,0,0,0,0,0,0.56,0.56,0,0,8.9848e-16,2,-2,0,0
0.3,0,0,0,0,0,0.58,0.58,0,0,1.1379e-15,2,-2,0,0
0.31,0,0,0,0,0,0.6,0.6,0,0,1.3595e-15,2,-2,0,0
