Time,step2,J1_w,J2_w,J3_w,J4_w,
0,0,2.68208e-310,9.89472e-315,9.89472e-315,9.89472e-315,
0.003,0,9.97142,0.0299999,-2.31759e-015,-2.31984e-015,
0.006,0,9.94565,0.0599994,-1.86656e-015,-1.86918e-015,
0.009,0,9.92263,0.0899982,-2.2482e-015,-2.25227e-015,
0.012,0,9.90232,0.119996,-3.8719e-015,-3.87778e-015,
0.015,0,9.88463,0.149992,-1.38778e-015,-1.39429e-015,
0.018,0,9.86945,0.179985,-2.38698e-015,-2.39348e-015,
0.021,0,9.85664,0.209977,-1.4988e-015,-1.50552e-015,
0.024,0,9.84607,0.239965,-2.77556e-015,-2.78233e-015,
0.027,0,9.83756,0.26995,1.05471e-015,1.0477e-015,
0.03,0,9.83094,0.299932,-3.88578e-016,-3.95781e-016,
0.033,0,9.82603,0.329909,-1.44329e-015,-1.45062e-015,
0.036,0,9.82258,0.359882,-1.38778e-015,-1.39514e-015,
0.039,0,9.82034,0.38985,-5.55112e-017,-6.28076e-017,
0.042,0,9.81907,0.419813,1.9984e-015,1.99127e-015,
0.045,0,9.81849,0.449769,6.66134e-016,6.5919e-016,
0.048,0,9.81835,0.479719,1.66533e-016,1.59812e-016,
0.051,0,9.81839,0.509663,1.9984e-015,1.99192e-015,
0.054,0,9.81835,0.539599,1.33227e-015,1.32599e-015,
0.057,0,9.81797,0.569528,9.99201e-016,9.93089e-016,
0.06,0,9.81698,0.599448,3.33067e-016,3.27086e-016,
0.063,0,9.81514,0.629361,7.77156e-016,7.71253e-016,
0.066,0,9.81218,0.659264,-6.66134e-016,-6.72024e-016,
0.069,0,9.80789,0.689158,9.99201e-016,9.93246e-016,
0.072,0,9.80203,0.719043,-5.55112e-016,-5.61225e-016,
0.075,0,9.79436,0.748917,0,-6.33914e-018,
0.078,0,9.78473,0.778781,-7.77156e-016,-7.83494e-016,
0.081,0,9.77294,0.808633,5.55112e-016,5.49028e-016,
0.084,0,9.75879,0.838475,-5.55112e-016,-5.60573e-016,
0.087,0,9.74221,0.868304,9.99201e-016,9.9396e-016,
0.09,0,9.72303,0.898122,-1.66533e-015,-1.67066e-015,
0.093,0,9.70117,0.927926,-3.33067e-016,-3.39017e-016,
0.096,0,9.67656,0.957718,3.33067e-016,3.26087e-016,
0.099,0,9.64917,0.987496,-5.55112e-016,-5.63743e-016,
0.102,0,9.61895,1.01726,-2.22045e-016,-2.33129e-016,
0.105,0,9.58592,1.04701,-2.22045e-016,-2.3574e-016,
0.108,0,9.55012,1.07674,2.22045e-015,2.20431e-015,
0.111,0,9.51159,1.10646,1.33227e-015,1.31408e-015,
0.114,0,9.47041,1.13617,6.66134e-016,6.46286e-016,
0.117,0,9.42669,1.16586,8.88178e-016,8.67089e-016,
0.12,0,9.38055,1.19553,2.22045e-016,2.00505e-016,
0.123,0,9.33213,1.22518,2.44249e-015,2.42133e-015,
0.126,0,9.28161,1.25482,1.55431e-015,1.53423e-015,
0.129,0,9.22917,1.28444,1.9984e-015,1.98026e-015,
0.132,0,9.17502,1.31404,1.11022e-015,1.09436e-015,
0.135,0,9.11935,1.34362,8.88178e-016,8.7304e-016,
0.138,0,9.06243,1.37319,1.33227e-015,1.31591e-015,
0.141,0,9.00449,1.40273,-2.22045e-016,-2.42176e-016,
0.144,0,8.94576,1.43226,-8.88178e-016,-9.12117e-016,
0.147,0,8.88653,1.46176,2.22045e-016,1.93259e-016,
0.15,0,8.82706,1.49124,8.88178e-016,8.5381e-016,
0.153,0,8.76759,1.52071,6.66134e-016,6.25528e-016,
0.156,0,8.70841,1.55015,1.11022e-015,1.06326e-015,
0.159,0,8.64981,1.57957,8.88178e-016,8.35261e-016,
0.162,0,8.59198,1.60896,2.44249e-015,2.38351e-015,
0.165,0,8.53522,1.63834,2.66454e-015,2.59981e-015,
0.168,0,8.47979,1.66769,2.22045e-015,2.15059e-015,
0.171,0,8.42588,1.69701,4.44089e-016,3.70115e-016,
0.174,0,8.37372,1.72632,-2.22045e-016,-2.9879e-016,
0.177,0,8.32354,1.7556,8.88178e-016,8.10328e-016,
0.18,0,8.2755,1.78485,2.22045e-016,1.43552e-016,
0.183,0,8.22975,1.81408,1.33227e-015,1.25226e-015,
0.186,0,8.18648,1.84328,4.44089e-016,3.61311e-016,
0.189,0,8.1458,1.87246,1.33227e-015,1.24582e-015,
0.192,0,8.1078,1.90161,6.66134e-016,5.7657e-016,
0.195,0,8.07256,1.93073,2.22045e-015,2.12765e-015,
0.198,0,8.04016,1.95983,1.55431e-015,1.45835e-015,
0.201,0,8.01059,1.98889,1.11022e-015,1.01131e-015,
0.204,0,7.98389,2.01793,1.33227e-015,1.23101e-015,
0.207,0,7.96003,2.04695,8.88178e-016,7.85356e-016,
0.21,0,7.93895,2.07593,1.33227e-015,1.22766e-015,
0.213,0,7.92059,2.10488,1.33227e-015,1.22599e-015,
0.216,0,7.90486,2.1338,0,-1.07986e-016,
0.219,0,7.89164,2.1627,-4.44089e-016,-5.53238e-016,
