"time","egsCarSpeed","egsGear","egsTargetGear","valves_mv1","valves_mv2","valves_mv3","valves_eds1","tShiftStart","valves_eds","valves_eds2","valves_eds3","valves_eds4","valves_eds5"
0.000000E+000,0.000000E+000,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000
6.712000E-003,0.000000E+000,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000
1.342400E-002,0.000000E+000,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000
2.013600E-002,0.000000E+000,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,2.000000E-002,2.000000E-002,0.000000E+000,0.000000E+000
2.684800E-002,0.000000E+000,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,2.000000E-002,2.000000E-002,0.000000E+000,0.000000E+000
3.356000E-002,0.000000E+000,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,4.000000E-002,4.000000E-002,0.000000E+000,0.000000E+000
4.027200E-002,0.000000E+000,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,6.000000E-002,6.000000E-002,0.000000E+000,0.000000E+000
4.698400E-002,0.000000E+000,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,6.000000E-002,6.000000E-002,0.000000E+000,0.000000E+000
5.369600E-002,0.000000E+000,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,8.000000E-002,8.000000E-002,0.000000E+000,0.000000E+000
6.040800E-002,0.000000E+000,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,1.000000E-001,1.000000E-001,0.000000E+000,0.000000E+000
6.712000E-002,0.000000E+000,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,1.000000E-001,1.000000E-001,0.000000E+000,0.000000E+000
7.383200E-002,0.000000E+000,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,1.200000E-001,1.200000E-001,0.000000E+000,0.000000E+000
