"time","valves_eds1","egsTargetGear","valves_eds3","valves_eds2","valves_eds5","valves_eds4","tShiftStart","egsCarSpeed","egsState","valves_eds","valves_mv3","valves_mv2","valves_mv1"
0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,2.00000000000000E-02,2.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.23710573288708E-65,2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
3.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,4.00000000000000E-02,4.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,4.01198710335573E-65,2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
4.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,6.00000000000000E-02,6.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.37229089710688E-65,2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
5.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,8.00000000000000E-02,8.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,3.88858796552202E-65,2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
6.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E-01,1.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.45718038798512E-65,2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
7.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,1.20000000000000E-01,1.20000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-6.73579251223133E-66,2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
8.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,1.40000000000000E-01,1.40000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-8.51044578748374E-66,2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
9.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,1.60000000000000E-01,1.60000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.34654703702547E-64,2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.80000000000000E-01,1.80000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-2.19522741376823E-66,2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.10000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,2.00000000000000E-01,2.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-5.20653966359503E-66,2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.20000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,2.20000000000000E-01,2.20000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-2.16587365939099E-64,2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
