"time","x_coor","y_coor"
0.0000000000000000E+000,9.9399999999999999E-001,0.0000000000000000E+000
2.0000000000017934E-001,8.5840403897105289E-001,-3.9866010679325624E-002
4.0000099999621597E-001,7.4763846255258504E-001,1.7750553920185193E-004
6.0000099999641598E-001,6.3211111393202424E-001,8.4766216410833331E-002
8.0000000000216709E-001,4.9418171690969692E-001,2.0781169334948696E-001
1.0000000000079181E+000,3.1186507194261098E-001,3.4818439336080603E-001
1.2000009999914647E+000,8.3345348005133144E-002,4.5946943099710158E-001
1.4000009999750114E+000,-1.4616349028118877E-001,5.1494051677237784E-001
1.6000009999585580E+000,-3.3594863452801443E-001,5.4055231407498439E-001
1.8000009999421047E+000,-4.7955227967759162E-001,5.6702568466537751E-001
2.0000009999256516E+000,-5.8246424480830972E-001,6.0763293434045518E-001
2.2000009999536072E+000,-6.4985334360612967E-001,6.6438598297440343E-001
2.4000009999815628E+000,-6.8514138462495255E-001,7.3422678943584263E-001
2.6000000000095183E+000,-6.9088748424304014E-001,8.1200219465225298E-001
2.8000000000374738E+000,-6.6964174394290543E-001,8.9184799831114792E-001
3.0000000000654294E+000,-6.2446563520321619E-001,9.6792403325861975E-001
3.2000000000933850E+000,-5.5917697345066142E-001,1.0348835884800749E+000
3.4000000001213406E+000,-4.7840047002356834E-001,1.0882067838940417E+000
3.6000000001492962E+000,-3.8748603194665449E-001,1.1244441540265251E+000
3.8000000001772518E+000,-2.9233997019558944E-001,1.1413794917517364E+000
4.0000000002052074E+000,-1.9920512602738219E-001,1.1381082241329359E+000
4.2000000002331630E+000,-1.1442135579922247E-001,1.1150217348441935E+000
4.4000000002611186E+000,-4.4195352161117092E-002,1.0736826337718395E+000
4.6000000002890742E+000,5.5943771222769058E-003,1.0165654681073506E+000
4.8000000003170298E+000,2.9541214991931530E-002,9.4661404899636092E-001
5.0000000003449854E+000,2.2820284222424478E-002,8.6651781887062995E-001
5.2000000003729410E+000,-1.8604540286929087E-002,7.7752309929802144E-001
5.4000000004008966E+000,-9.7184569706882148E-002,6.7752571619059920E-001
5.6000000004288522E+000,-2.1096660835954623E-001,5.5867101486580728E-001
5.8000000004568077E+000,-3.4654782275149393E-001,4.0804139146562873E-001
6.0000000004847633E+000,-4.7375777925741897E-001,2.2184974981308686E-001
6.2000000005127189E+000,-5.6660374874024022E-001,2.4854344260099165E-002
6.4000000005406745E+000,-6.3071920233713030E-001,-1.4894443155463494E-001
6.6000000005686301E+000,-6.8627928827252460E-001,-2.8425323178647366E-001
6.8000000005965857E+000,-7.4635023604923434E-001,-3.7983645392478754E-001
7.0000000006245413E+000,-8.1493957455239308E-001,-4.3830438471804212E-001
7.2000000006524969E+000,-8.9067985584453635E-001,-4.6254682298118610E-001
7.4000000006804525E+000,-9.6958909036829943E-001,-4.5535617467549033E-001
7.6000000007084081E+000,-1.0466314173009836E+000,-4.1975768285421572E-001
7.8000000007363637E+000,-1.1166173299736768E+000,-3.5931978009194743E-001
8.0000000007643184E+000,-1.1747749487991666E+000,-2.7830835442333318E-001
8.2000000006146383E+000,-1.2171433545433585E+000,-1.8169267496875025E-001
8.4000000004649582E+000,-1.2408498183823049E+000,-7.5036954512610596E-002
8.6000000003152781E+000,-1.2442938569135678E+000,3.5687897461427857E-002
8.8000000001655980E+000,-1.2272453021194305E+000,1.4434079610728270E-001
9.0000000000159179E+000,-1.1908580114486427E+000,2.4486591496174298E-001
9.2000009998662371E+000,-1.1375989816918495E+000,3.3153889458307667E-001
9.4000009997165570E+000,-1.0710936090222680E+000,3.9917242041512185E-001
9.6000009995668769E+000,-9.9587799638129437E-001,4.4325682906638841E-001
9.8000009994171968E+000,-9.1704724458813058E-001,4.5999337438616322E-001
1.0000000999267517E+001,-8.3974980376446695E-001,4.4619184596271688E-001
1.0200000999117837E+001,-7.6841389341252797E-001,3.9900834164092014E-001
1.0400000998968157E+001,-7.0544226621223305E-001,3.1559094957754569E-001
1.0600000998818476E+001,-6.4888207021890465E-001,1.9309105212721445E-001
1.0800000998668796E+001,-5.8880771793223652E-001,3.0820316323220919E-002
1.1000000998519116E+001,-5.0607409244278401E-001,-1.6162313675944703E-001
1.1200000998369436E+001,-3.8725649213947244E-001,-3.5466650290428520E-001
1.1400000998219756E+001,-2.4972381950250722E-001,-5.1658881185051808E-001
1.1600000998070076E+001,-1.2628425214948427E-001,-6.4342035007441467E-001
1.1800000997920396E+001,-3.5644266218934406E-002,-7.4774624249656174E-001
1.2000000997770716E+001,1.7683343596611136E-002,-8.3948916946032148E-001
1.2200000997621036E+001,3.5256970801661298E-002,-9.2230491310460927E-001
1.2400000997471356E+001,2.0758143350500184E-002,-9.9573543456562297E-001
1.2600000997321676E+001,-2.1208531674175784E-002,-1.0573662014584952E+000
1.2800000997171995E+001,-8.5417842544858680E-002,-1.1042156401877643E+000
1.3000000997022315E+001,-1.6613656424880360E-001,-1.1335799698176254E+000
1.3200000996872635E+001,-2.5724940496870685E-001,-1.1435504698906491E+000
1.3400000996722955E+001,-3.5243742586110205E-001,-1.1333239221631635E+000
1.3600000996573275E+001,-4.4539894587806922E-001,-1.1033667996423258E+000
1.3800000996423595E+001,-5.3008880987966112E-001,-1.0554640370072574E+000
1.4000000996273915E+001,-6.0094767855636166E-001,-9.9266969081034162E-001
1.4200000996124235E+001,-6.5309069678487408E-001,-9.1917039799893496E-001
1.4400000995974555E+001,-6.8242124946512384E-001,-8.4006736087495870E-001
1.4600000995824875E+001,-6.8562803662521765E-001,-7.6107259388520287E-001
1.4800000995675195E+001,-6.6000972819367765E-001,-6.8808940734517532E-001
1.5000000995525514E+001,-6.0305132237679704E-001,-6.2657897255149897E-001
1.5200000995375834E+001,-5.1167596308984598E-001,-5.8043524415939407E-001
1.5400000995226154E+001,-3.8128920530754529E-001,-5.4964167287162424E-001
1.5600000995076474E+001,-2.0599667875753302E-001,-5.2519989547915791E-001
1.5800000994926794E+001,1.3676698280408116E-002,-4.8156432422196827E-001
1.6000000994777114E+001,2.4811581292066301E-001,-3.8587317482375794E-001
1.6200000994982705E+001,4.4574102260900772E-001,-2.4762294372939900E-001
1.6400000995188297E+001,5.9418693407846390E-001,-1.1492101916619482E-001
1.6600000995393888E+001,7.1387996303863965E-001,-1.7019420756795068E-002
1.6800000995599479E+001,8.2414335278611539E-001,3.7542344978788084E-002
1.7000000995805070E+001,9.4319583748279368E-001,3.9340904472701471E-002
1.7200000996010662E+001,9.0697914639925648E-001,-5.1460762319106158E-002
