"time","lca@PUMP01","x1@INJ01","q@INJ01","volume@INJ01","p1@PUMP01","pa@DVALV01","sacp@INJ01"
0.0,0.0,1e-09,0.0,0.0,2.5,10.0,50.0
1e-05,1.27440361253e-08,1e-09,-9.83160228167e-09,-1.63795529211e-15,2.49986684998,9.93545898554,49.9999999869
2e-05,2.95592945299e-08,1e-09,-9.83160926571e-09,-3.27655638339e-15,2.5000491493,9.93592207186,49.9999999869
3e-05,5.17386635689e-08,1e-09,-9.83160926571e-09,-4.91515758123e-15,2.50009695704,9.97453417692,49.9999999869
4e-05,8.05750315976e-08,1e-09,-9.83160228167e-09,-6.55375887766e-15,2.49998893536,9.96174792294,49.9999999869
5e-05,1.17361286971e-07,1e-09,-9.83161624975e-09,-8.19236026007e-15,2.50000678805,9.94001550951,49.9999999869
6e-05,1.63390318045e-07,1e-09,-9.83160926571e-09,-9.8309617166e-15,2.50010803181,9.95700591331,49.9999999869
7e-05,2.19955013173e-07,1e-09,-9.83161624975e-09,-1.14695632321e-14,2.50004512065,9.96741990556,49.9999999869
8e-05,2.88348260712e-07,1e-09,-9.83161624975e-09,-1.31081647909e-14,2.50002919603,9.95312675243,49.9999999869
9e-05,3.69862949016e-07,1e-09,-9.83161624975e-09,-1.47467663769e-14,2.50011229929,9.95221141466,49.9999999869
0.0001,4.65791966441e-07,1e-09,-9.83160926571e-09,-1.63853679732e-14,2.50015840937,9.96351677402,49.9999999869
0.00011,5.77428201342e-07,1e-09,-9.83161624975e-09,-1.80239695657e-14,2.50012664047,9.96114591406,49.9999999869
0.00012,7.06064542074e-07,1e-09,-9.83163720187e-09,-1.96625711392e-14,2.50020468609,9.95595557517,49.9999999869
0.00013,8.52993876992e-07,1e-09,-9.83160228167e-09,-2.13011726857e-14,2.50032198355,9.96121640447,49.9999999869
0.00014,1.01950858254e-06,1e-09,-9.83157434551e-09,-2.29397741933e-14,2.50034717623,9.96442186463,49.9999999869
0.00015,1.20639117005e-06,1e-09,-9.83159529763e-09,-2.45783756543e-14,2.50041053543,9.96155135609,49.9999999869
0.00016,1.41295752083e-06,1e-09,-9.83160228167e-09,-2.62169770679e-14,2.50055172446,9.96227187212,49.9999999869
0.00017,1.63826141685e-06,1e-09,-9.83161624975e-09,-2.78555784316e-14,2.50064369968,9.96584007236,49.9999999869
0.00018,1.88135664007e-06,1e-09,-9.83160228167e-09,-2.94941797481e-14,2.50069929364,9.96601634853,49.9999999869
0.00019,2.14129697247e-06,1e-09,-9.83160926571e-09,-3.11327810208e-14,2.50081510868,9.96543473078,49.9999999869
0.0002,2.41713619601e-06,1e-09,-9.83158132955e-09,-3.27713822581e-14,2.50093492974,9.96748697623,49.9999999869
0.00021,2.70792809266e-06,1e-09,-9.83160926571e-09,-3.44099834634e-14,2.50100742079,9.96902171302,49.9999999869
0.00022,3.01272644439e-06,1e-09,-9.83160926571e-09,-3.60485846507e-14,2.50109284751,9.96893937162,49.9999999869
0.00023,3.33058503317e-06,1e-09,-9.83160228167e-09,-3.76871858285e-14,2.50120850662,9.96987080646,49.9999999869
0.00024,3.66055764097e-06,1e-09,-9.83163720187e-09,-3.93257870049e-14,2.50129095707,9.97154711151,49.9999999869
0.00025,4.00169804975e-06,1e-09,-9.83161624975e-09,-4.09643881926e-14,2.50135739525,9.97211879801,49.9999999869
0.00026,4.3530600415e-06,1e-09,-9.83163720187e-09,-4.26029893982e-14,2.50144561188,9.97247024695,49.9999999869
0.00027,4.71369739816e-06,1e-09,-9.83133688812e-09,-4.42415906423e-14,2.50152958297,9.9737697914,49.9999999869
0.00028,5.08266609416e-06,1e-09,-9.83161624975e-09,-4.58801918993e-14,2.50158066039,9.97477461079,49.9999999869
0.00029,5.45937810051e-06,1e-09,-9.83160228167e-09,-4.75187932066e-14,2.50164681908,9.97500936775,49.9999999869
0.0003,5.84399191234e-06,1e-09,-9.83161624975e-09,-4.91573945586e-14,2.50173188558,9.97591244253,49.9999999869
0.00031,6.23676002541e-06,1e-09,-9.83160926571e-09,-5.07959959608e-14,2.50179798169,9.97700120445,49.9999999869
0.00032,6.6379349355e-06,1e-09,-9.83160228167e-09,-5.24345974185e-14,2.50186661696,9.97738693896,49.9999999869
0.00033,7.04776913838e-06,1e-09,-9.83160926571e-09,-5.4073198938e-14,2.50195819508,9.97777787182,49.9999999869
0.00034,7.4665151298e-06,1e-09,-9.83160926571e-09,-5.57118005302e-14,2.50205149771,9.97870669863,49.9999999869
0.00035,7.89442540555e-06,1e-09,-9.83160926571e-09,-5.73504022081e-14,2.5021312004,9.97944732688,49.9999999869
0.00036,8.33175246139e-06,1e-09,-9.83160926571e-09,-5.8989003993e-14,2.50222288739,9.97964084648,49.9999999869
0.00037,8.77874879309e-06,1e-09,-9.83161624975e-09,-6.06276059138e-14,2.5023368168,9.98020522661,49.9999999869
0.00038,9.23566689642e-06,1e-09,-9.83161624975e-09,-6.22662080125e-14,2.50243451808,9.98105540231,49.9999999869
0.00039,9.70275926715e-06,1e-09,-9.83160228167e-09,-6.3904810345e-14,2.50253533808,9.98128892797,49.9999999869
0.0004,1.0180278401e-05,1e-09,-9.83161624975e-09,-6.5543412986e-14,2.50266030635,9.98155082938,49.9999999869
0.00041,1.06684767939e-05,1e-09,-9.83161624975e-09,-6.71820160352e-14,2.50278597442,9.98228434927,49.9999999869
0.00042,1.11676049892e-05,1e-09,-9.83161624975e-09,-6.88206196196e-14,2.5029000743,9.98279635196,49.9999999869
0.00043,1.16777963969e-05,1e-09,-9.83161624975e-09,-7.04592239011e-14,2.50302705293,9.98289964707,49.9999999869
0.00044,1.21990028697e-05,1e-09,-9.83163021783e-09,-7.20978290809e-14,2.50317044343,9.9833021993,49.9999999869
0.00045,1.27311606427e-05,1e-09,-9.83163720187e-09,-7.37364354104e-14,2.50329806366,9.98403515425,49.9999999869
0.00046,1.32742059507e-05,1e-09,-9.83164418592e-09,-7.53750431957e-14,2.50342031839,9.98416123274,49.9999999869
0.00047,1.38280750288e-05,1e-09,-9.831658154e-09,-7.70136528089e-14,2.50357257676,9.98434815079,49.9999999869
0.00048,1.43927041118e-05,1e-09,-9.83168609016e-09,-7.86522647227e-14,2.50370830295,9.98506696622,49.9999999869
0.00049,1.49680294348e-05,1e-09,-9.83170005824e-09,-8.02908794259e-14,2.50383762588,9.98528744743,49.9999999869
0.0005,1.55539872327e-05,1e-09,-9.83172799441e-09,-8.19294975692e-14,2.50399008652,9.98547816431,49.9999999869
0.00051,1.61505137404e-05,1e-09,-9.83174894653e-09,-8.35681198937e-14,2.5041352963,9.98611325992,49.9999999869
